Creation Time:	2023-01-18 21:46:41

INPUT:
File name:	crfe_v019_b2.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/random/random6.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.3
threshold type:	proportion
belief:	2.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.375
Maximal possible value for alpha and beta:	0.375
Probability parameter change:	0.2
seed for RNG:	1186442586

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	3511
Proportion perturbed genes:	0.2999829118250171

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3
beta (FNR):	0.375
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-7219.02670326015 +- 8.134767913360664e-13

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
69	31	12	0.00078	0.00234	4.345e+02	0.525	0.352	GO:0006206
70	42	20	0.00077	0.00232	6.951e+02	0.598	0.467	GO:0045861
71	31	15	0.00075	0.00224	3.776e+02	0.581	0.606	GO:0048663
72	26	11	0.00068	0.00141	2.917e+02	0.587	0.381	GO:0042133
73	22	9	0.00068	0.00152	2.148e+02	0.546	0.605	GO:2000401
74	25	10	0.00066	0.00135	2.798e+02	0.551	0.375	GO:0061217
75	50	23	0.00065	0.0013	1.004e+03	0.584	0.474	GO:0008630
76	22	8	0.00065	0.00196	2.298e+02	0.561	0.242	GO:0045622
77	22	9	0.00064	0.00128	2.148e+02	0.591	0.324	GO:0032862
78	31	13	0.00062	0.00187	4.146e+02	0.544	0.477	GO:0051445
79	23	11	0.00062	0.00153	2.118e+02	0.613	0.504	GO:0006270
80	24	10	0.00061	0.00182	2.518e+02	0.591	0.331	GO:0035162
81	51	21	0.00061	0.00182	1.119e+03	0.595	0.396	GO:0044070
82	30	15	0.00061	0.00124	3.457e+02	0.572	0.575	GO:0045104
83	37	16	0.0006	0.001	5.763e+02	0.549	0.35	GO:0071230
84	22	10	0.0006	0.00121	2.009e+02	0.57	0.473	GO:0061005
85	100	42	0.00059	0.00178	4.207e+03	0.551	0.405	GO:0045667
86	22	9	0.00058	0.00174	2.148e+02	0.562	0.291	GO:1901532
87	41	16	0.00053	0.00116	7.499e+02	0.588	0.306	GO:0060563
88	28	11	0.00052	0.00077	3.527e+02	0.576	0.337	GO:0046326
89	26	12	0.00052	0.00157	2.758e+02	0.641	0.475	GO:0048662
90	22	9	0.00049	0.00114	2.148e+02	0.58	0.443	GO:0000819
91	43	19	0.00048	0.00126	7.650e+02	0.598	0.443	GO:0048839
92	27	12	0.00048	0.00097	3.047e+02	0.563	0.474	GO:0055007
93	22	8	0.00045	0.00134	2.298e+02	0.605	0.335	GO:0006906
94	25	12	0.00043	0.00094	2.488e+02	0.565	0.627	GO:0060330
95	20	10	0.00039	0.00101	1.559e+02	0.625	0.548	GO:0016241
96	22	10	0.00038	0.00078	2.009e+02	0.615	0.378	GO:0048762
97	56	24	0.00037	0.00079	1.315e+03	0.602	0.402	GO:0045582
98	26	12	0.00036	0.00074	2.758e+02	0.592	0.532	GO:0021955
99	20	9	0.00036	0.00075	1.679e+02	0.579	0.49	GO:0021795
100	23	10	0.00035	0.00104	2.258e+02	0.575	0.522	GO:0034605
101	39	15	0.00034	0.00103	6.851e+02	0.544	0.438	GO:0002260
102	22	8	0.00034	0.00103	2.298e+02	0.544	0.49	GO:0018200
103	54	22	0.00034	0.00101	1.261e+03	0.576	0.33	GO:0001649
104	33	15	0.00033	0.001	4.455e+02	0.543	0.609	GO:0007131
105	24	9	0.00032	0.00096	2.678e+02	0.541	0.384	GO:0006111
106	25	12	0.00031	0.00067	2.488e+02	0.572	0.53	GO:0060998
107	60	25	0.0003	0.00062	1.533e+03	0.607	0.435	GO:1901616
108	41	15	0.0003	0.0009	7.769e+02	0.537	0.417	GO:0045839
109	20	9	0.0003	0.0007	1.679e+02	0.539	0.506	GO:0015721
110	32	15	0.00029	0.0006	4.106e+02	0.57	0.514	GO:0033628
111	66	28	0.00027	0.00082	1.832e+03	0.582	0.435	GO:0006304
112	29	12	0.00027	0.00066	3.666e+02	0.577	0.476	GO:0051402
113	26	12	0.00027	0.00066	2.758e+02	0.592	0.419	GO:0018022
114	30	12	0.00025	0.00074	3.996e+02	0.547	0.264	GO:0050433
115	31	11	0.00024	0.00049	4.555e+02	0.518	0.299	GO:0072529
116	29	11	0.00024	0.00072	3.856e+02	0.558	0.314	GO:0001975
117	22	10	0.00022	0.00056	2.009e+02	0.534	0.491	GO:0030325
118	20	8	0.00022	0.00066	1.809e+02	0.555	0.425	GO:0001782
119	30	10	0.00021	0.00064	4.405e+02	0.536	0.314	GO:0032856
120	22	9	0.0002	0.0005	2.148e+02	0.544	0.416	GO:0090189
121	34	14	0.00019	0.00033	5.024e+02	0.551	0.425	GO:0045841
122	53	24	0.00018	0.00055	1.139e+03	0.586	0.487	GO:0050807
123	24	11	0.00018	0.00043	2.368e+02	0.591	0.384	GO:0003279
124	32	13	0.00017	0.00032	4.495e+02	0.585	0.407	GO:0010828
125	24	9	0.00017	0.0005	2.678e+02	0.568	0.39	GO:0014031
126	20	9	0.00016	0.00038	1.679e+02	0.501	0.534	GO:0031102
127	23	9	0.00013	0.00027	2.408e+02	0.543	0.401	GO:0044062
128	20	7	0.00013	0.00038	1.948e+02	0.541	0.474	GO:0002262
129	37	15	0.00013	0.00038	5.992e+02	0.524	0.474	GO:0071479
130	22	9	0.00012	0.00026	2.148e+02	0.539	0.553	GO:0001909
131	44	20	0.00012	0.00037	7.859e+02	0.62	0.543	GO:0002920
132	21	8	0.00012	0.00029	2.048e+02	0.531	0.294	GO:0035710
133	30	11	0.00012	0.00037	4.195e+02	0.546	0.258	GO:2000514
134	30	11	0.00012	0.00035	4.195e+02	0.547	0.466	GO:0048864
135	60	25	0.00011	0.00034	1.533e+03	0.582	0.42	GO:0002673
136	27	11	0.00011	0.00032	3.217e+02	0.52	0.451	GO:0032855
137	28	12	0.00011	0.00018	3.347e+02	0.633	0.497	GO:0033077
138	30	10	0.0001	0.00031	4.405e+02	0.54	0.462	GO:0006370
139	24	11	0.0001	0.00029	2.368e+02	0.562	0.536	GO:0006658
140	21	7	0.0001	0.00023	2.198e+02	0.539	0.42	GO:0045823
141	30	14	0.0001	0.00029	3.627e+02	0.609	0.542	GO:0050766
142	21	7	9e-05	0.00026	2.198e+02	0.491	0.499	GO:0060412
143	20	9	8e-05	0.00025	1.679e+02	0.567	0.577	GO:0010714
144	27	10	8e-05	0.00025	3.397e+02	0.564	0.41	GO:0045923
145	36	16	8e-05	0.00025	5.364e+02	0.591	0.51	GO:0070997
146	23	8	8e-05	0.00024	2.568e+02	0.515	0.439	GO:0010574
147	33	11	8e-05	0.00023	5.313e+02	0.543	0.435	GO:0010770
148	20	6	8e-05	0.00023	2.098e+02	0.623	0.355	GO:0097035
149	27	12	7e-05	0.00022	3.047e+02	0.578	0.517	GO:0019674
150	26	10	7e-05	0.00022	3.087e+02	0.572	0.611	GO:0033209
151	20	7	7e-05	0.00022	1.948e+02	0.489	0.603	GO:0033574
152	47	16	7e-05	0.0002	1.055e+03	0.563	0.284	GO:0019229
153	22	8	7e-05	0.0002	2.298e+02	0.497	0.525	GO:0045686
154	39	13	6e-05	0.00019	7.379e+02	0.529	0.435	GO:0007041
155	30	12	6e-05	0.00018	3.996e+02	0.526	0.457	GO:0032508
156	34	14	6e-05	0.00018	5.024e+02	0.528	0.547	GO:0035019
157	23	9	6e-05	0.00017	2.408e+02	0.55	0.351	GO:0030316
158	27	9	5e-05	0.00016	3.586e+02	0.585	0.463	GO:0001960
159	23	7	5e-05	0.00014	2.737e+02	0.556	0.314	GO:0000060
160	23	8	5e-05	0.00014	2.568e+02	0.505	0.524	GO:0006536
161	39	19	5e-05	0.00013	5.913e+02	0.606	0.56	GO:0032104
162	24	12	5e-05	0.00014	2.228e+02	0.587	0.627	GO:0060334
163	48	19	4e-05	0.00013	1.015e+03	0.545	0.504	GO:0030838
164	20	6	4e-05	0.00012	2.098e+02	0.601	0.417	GO:0007031
165	23	11	4e-05	0.00012	2.118e+02	0.595	0.593	GO:0019835
166	21	9	4e-05	0.00012	1.909e+02	0.569	0.472	GO:0033081
167	66	26	4e-05	0.00012	1.913e+03	0.588	0.41	GO:0055067
168	25	7	4e-05	0.00012	3.336e+02	0.465	0.559	GO:0090311
169	47	20	4e-05	0.00011	9.336e+02	0.556	0.411	GO:0001776
170	34	14	4e-05	0.00011	5.024e+02	0.563	0.386	GO:0045646
171	46	18	4e-05	0.00011	9.395e+02	0.549	0.431	GO:0046324
172	36	13	4e-05	0.00011	6.052e+02	0.53	0.323	GO:0046631
173	20	6	4e-05	0.00011	2.098e+02	0.535	0.451	GO:2000779
174	35	13	3e-05	0.0001	5.643e+02	0.534	0.336	GO:0002762
175	25	8	3e-05	0.0001	3.147e+02	0.479	0.472	GO:0031952
176	21	7	3e-05	0.0001	2.198e+02	0.445	0.455	GO:0045616
177	34	14	3e-05	7e-05	5.024e+02	0.596	0.522	GO:1901028
178	29	11	3e-05	8e-05	3.856e+02	0.547	0.533	GO:0022029
179	38	15	3e-05	8e-05	6.412e+02	0.547	0.377	GO:0030049
180	33	15	3e-05	8e-05	4.455e+02	0.556	0.414	GO:0090199
181	67	26	3e-05	8e-05	1.987e+03	0.543	0.389	GO:1902106
182	56	25	2e-05	6e-05	1.282e+03	0.558	0.514	GO:0007033
183	31	12	2e-05	6e-05	4.345e+02	0.577	0.423	GO:0010977
184	23	10	2e-05	6e-05	2.258e+02	0.584	0.471	GO:0045581
185	21	6	2e-05	5e-05	2.358e+02	0.487	0.404	GO:0002040
186	32	12	2e-05	5e-05	4.705e+02	0.553	0.422	GO:0006488
187	26	10	2e-05	5e-05	3.087e+02	0.516	0.569	GO:0007212
188	48	20	2e-05	5e-05	9.854e+02	0.574	0.493	GO:0010822
189	20	7	2e-05	5e-05	1.948e+02	0.54	0.454	GO:0045940
190	27	8	2e-05	5e-05	3.786e+02	0.511	0.331	GO:0050663
191	26	10	2e-05	5e-05	3.087e+02	0.534	0.405	GO:0051602
192	27	9	2e-05	5e-05	3.586e+02	0.576	0.508	GO:1903018
193	57	21	1e-05	4e-05	1.484e+03	0.513	0.428	GO:0007202
194	50	20	1e-05	4e-05	1.094e+03	0.556	0.458	GO:0009267
195	20	7	1e-05	4e-05	1.948e+02	0.546	0.514	GO:0030149
196	22	9	1e-05	4e-05	2.148e+02	0.551	0.539	GO:0042430
197	31	12	1e-05	4e-05	4.345e+02	0.58	0.366	GO:0045124
198	25	10	1e-05	2e-05	2.798e+02	0.565	0.488	GO:0001937
199	30	11	1e-05	2e-05	4.195e+02	0.524	0.432	GO:0007040
200	35	13	1e-05	2e-05	5.643e+02	0.573	0.382	GO:0034308
201	27	12	1e-05	2e-05	3.047e+02	0.584	0.488	GO:0042310
202	20	9	1e-05	2e-05	1.679e+02	0.556	0.594	GO:0046839
203	29	12	1e-05	2e-05	3.666e+02	0.607	0.493	GO:0050853
204	24	8	0.0	1e-05	2.847e+02	0.482	0.431	GO:0001892
205	31	13	0.0	1e-05	4.146e+02	0.559	0.48	GO:0030501
206	23	11	0.0	1e-05	2.118e+02	0.574	0.58	GO:0032965
207	22	7	0.0	1e-05	2.458e+02	0.564	0.462	GO:0033344
208	20	8	0.0	1e-05	1.809e+02	0.608	0.45	GO:2000108
