Entrez Gene id	Prediction confidence (1 for BKZ HDFs)
1350	0.813441
1349	0.813441
9377	0.813441
1351	0.813441
1340	0.81344
1337	0.81344
64105	0.812473
54821	0.812395
11130	0.81227
57405	0.811935
23122	0.811784
5093	0.811772
25936	0.811737
79172	0.811504
79682	0.811373
1062	0.811347
57082	0.81079
11004	0.810524
4715	0.810421
55143	0.809752
9735	0.809512
81930	0.808297
79003	0.807919
79980	0.807919
6917	0.807741
2968	0.807029
2967	0.807029
64946	0.806218
5685	0.806211
6881	0.806173
1345	0.805732
539	0.805596
1058	0.805416
5698	0.805027
23332	0.80359
9167	0.803167
1329	0.802776
1161	0.80274
54820	0.802222
220134	0.801589
2068	0.80041
10213	0.80027
1063	0.800225
151648	0.800112
83540	0.799928
5716	0.799724
50628	0.799472
5714	0.799241
3619	0.799015
498	0.798724
5701	0.797459
2072	0.79723
5905	0.797131
1327	0.796329
6829	0.796236
5719	0.796199
151246	0.795367
25929	0.794256
332	0.794101
9329	0.793281
2975	0.79328
6923	0.792637
55920	0.792447
5713	0.792158
80152	0.791531
5700	0.7915
11168	0.791446
5707	0.791135
2074	0.790116
284119	0.789662
6749	0.788675
5693	0.788584
79833	0.787665
11243	0.78668
6874	0.786307
2110	0.785982
5902	0.785117
10403	0.785096
5691	0.784392
5709	0.784261
4967	0.784112
9184	0.784049
5720	0.783683
3032	0.782491
56949	0.780931
5687	0.780764
5048	0.780219
9491	0.780145
22919	0.780055
25885	0.779021
701	0.777818
9212	0.777701
3030	0.777158
509	0.777121
9551	0.776929
6391	0.776368
6392	0.776368
10726	0.77453
8379	0.774359
661	0.773926
55703	0.773926
2976	0.773254
9328	0.772504
96764	0.772472
8815	0.772413
9883	0.770512
79760	0.767493
55718	0.766974
6389	0.766936
6837	0.765819
6618	0.764221
7702	0.764221
6621	0.764221
902	0.763405
4085	0.762686
6396	0.762383
9688	0.762044
51497	0.761793
11178	0.759828
6872	0.759769
1022	0.759308
51082	0.758572
5689	0.758175
5708	0.757737
6232	0.756942
4331	0.7556
6619	0.755559
6617	0.755559
54700	0.755269
2971	0.754548
5501	0.753908
10073	0.752827
7508	0.752563
171568	0.752352
5887	0.750837
10112	0.75
54797	0.75
9013	0.749747
81565	0.749252
5469	0.74755
2959	0.745825
6880	0.74572
79084	0.745385
11218	0.744933
1025	0.744055
3978	0.743934
9533	0.743614
84172	0.741583
991	0.741293
1973	0.741138
6390	0.740879
9015	0.740075
7270	0.739761
140890	0.737919
3842	0.736058
6218	0.735356
2972	0.734441
80227	0.734236
6157	0.734122
1981	0.733992
6202	0.733482
51371	0.733302
6233	0.733056
6206	0.733055
6192	0.733054
6228	0.733019
1643	0.733014
9014	0.733011
6155	0.732753
6207	0.732485
6209	0.732125
6229	0.73197
7311	0.731686
9045	0.731685
6170	0.731683
6167	0.731683
51121	0.731681
6123	0.731681
23521	0.7315
6193	0.730978
6139	0.730526
6222	0.73045
6171	0.730173
6156	0.729991
6191	0.729666
6137	0.72964
8662	0.729555
23708	0.729491
5717	0.729361
8661	0.729155
6143	0.728729
8664	0.728677
6138	0.728667
6130	0.728636
6230	0.728431
6168	0.728348
6210	0.728299
6224	0.728161
6173	0.727828
6227	0.727814
6164	0.727787
2109	0.727699
1983	0.727583
79171	0.727492
6234	0.727324
6146	0.727001
6235	0.726987
7458	0.726779
9669	0.726638
8666	0.726543
1964	0.726302
6201	0.72625
6161	0.726153
6128	0.726108
6134	0.725146
10197	0.725046
9169	0.724998
6154	0.724941
6181	0.72484
6132	0.724737
23421	0.724572
6188	0.724392
8890	0.724217
6187	0.72411
27335	0.724069
8663	0.723515
6135	0.723458
6129	0.723354
6124	0.723269
6152	0.723226
11224	0.722767
6165	0.722227
1968	0.722183
25873	0.722082
6133	0.721925
6204	0.721646
6158	0.72076
5901	0.720676
8892	0.720669
6205	0.720615
6203	0.720545
8891	0.720379
6194	0.719738
6169	0.719689
10302	0.719431
7507	0.719078
6176	0.718981
3633	0.718969
10395	0.718967
6159	0.718604
6175	0.718416
64422	0.718285
1975	0.718238
9886	0.718034
54509	0.718031
23221	0.718029
171177	0.718029
6142	0.717898
6873	0.717692
388	0.717654
1977	0.7176
6223	0.717377
3921	0.716917
8669	0.71689
6217	0.716863
55288	0.716484
6125	0.716474
393	0.715943
29	0.715929
5981	0.715893
6160	0.715659
221472	0.715594
9908	0.715429
3159	0.715183
6208	0.714863
8668	0.71483
89941	0.714758
5881	0.714713
9349	0.71454
9938	0.714513
80728	0.714512
94134	0.714512
85360	0.714512
91614	0.714512
9754	0.714512
79822	0.714512
89839	0.714512
64411	0.714511
55635	0.71451
57569	0.71451
57514	0.71451
55789	0.71451
58504	0.71451
4650	0.714509
51306	0.714509
395	0.714509
4983	0.714509
23526	0.714507
257106	0.714507
10144	0.714506
116984	0.714506
158763	0.714506
117289	0.714506
1738	0.714437
57804	0.714135
10714	0.714134
5983	0.713674
1938	0.713212
399	0.712955
6122	0.712952
58480	0.712825
8233	0.712751
8894	0.712632
93663	0.71248
84986	0.712417
89846	0.71213
64857	0.712129
6655	0.712129
5924	0.712129
57449	0.712128
50650	0.712127
23263	0.712125
1894	0.712125
1965	0.711919
83478	0.711464
398	0.711443
9824	0.711407
5984	0.711393
23779	0.710933
9901	0.710921
9912	0.710474
55114	0.710454
51291	0.710227
50649	0.710209
8997	0.710125
1124	0.71012
9828	0.709765
57381	0.709761
23229	0.709682
121512	0.709654
79658	0.709378
4649	0.709287
728343	0.70923
5982	0.708537
57580	0.708289
2909	0.708214
5985	0.707987
397	0.707713
64333	0.707513
10276	0.707413
8665	0.70739
55843	0.707381
9411	0.70703
389	0.706707
2245	0.706686
51529	0.706188
51434	0.706188
64682	0.706188
29945	0.706188
27237	0.706125
23092	0.705703
57522	0.705501
4952	0.704904
6189	0.704291
4168	0.704187
5923	0.703581
10451	0.703098
23380	0.702916
2664	0.702803
116985	0.702616
391	0.702586
2108	0.702156
5880	0.702038
84033	0.701557
81669	0.700455
1933	0.700068
51433	0.70001
23658	0.699323
9181	0.699015
1123	0.698489
7204	0.697907
2665	0.697307
23433	0.697278
9826	0.697195
394	0.696704
6908	0.6963
5424	0.696297
1967	0.695302
7343	0.694409
3646	0.69394
9541	0.692795
7410	0.692595
10393	0.692198
9232	0.691951
55806	0.691334
8697	0.690597
7555	0.689955
90627	0.689888
404672	0.689827
6732	0.689791
5425	0.689272
9412	0.688339
9459	0.6881
9322	0.687557
26986	0.687152
8881	0.686488
1936	0.686201
5361	0.683151
291	0.682987
8148	0.682652
396	0.68188
10533	0.681207
6119	0.680528
6879	0.6805
9985	0.680169
1104	0.680169
10274	0.680168
8874	0.679382
5940	0.67912
5427	0.678412
64431	0.678317
51564	0.677316
392	0.676398
7321	0.676026
6453	0.67562
6607	0.675434
727738	0.675123
29127	0.674918
7074	0.674908
10084	0.673981
996	0.673509
4751	0.671629
6733	0.671226
10419	0.671055
292	0.670803
6814	0.66923
387	0.667983
23326	0.667932
83933	0.667083
55588	0.666667
9779	0.666667
23223	0.666667
25862	0.666667
8548	0.666667
23209	0.666667
56938	0.666667
3354	0.666667
1723	0.666667
6294	0.666667
29107	0.665397
10915	0.663956
4841	0.663331
7409	0.663277
998	0.66299
79885	0.662803
1937	0.659704
5496	0.659674
6421	0.657599
23192	0.657126
1982	0.656779
5879	0.655968
55269	0.655907
91746	0.655037
11260	0.654729
6118	0.654122
4113	0.652622
1915	0.651319
5296	0.650586
3516	0.650179
293	0.649465
1105	0.648896
6117	0.648856
2935	0.648378
10735	0.647613
9734	0.646759
5451	0.646405
1642	0.644957
79718	0.644678
4791	0.644618
10273	0.643661
6654	0.643473
10285	0.643399
9970	0.643374
2801	0.64277
6097	0.64073
11171	0.640125
6434	0.639834
51741	0.639511
9697	0.63942
345	0.638869
344	0.638869
993	0.638152
51343	0.63801
5884	0.63772
3276	0.637658
202559	0.637022
84232	0.63672
3182	0.636442
654364	0.636189
9092	0.636103
51386	0.635637
6790	0.635484
116449	0.634937
8027	0.63472
55290	0.634718
23633	0.634513
11157	0.634032
10254	0.633474
11033	0.632508
891	0.632259
9367	0.631806
4869	0.631654
24140	0.63104
84993	0.630928
9601	0.63018
6638	0.630029
84271	0.629718
55869	0.629629
60489	0.62937
11047	0.629087
246330	0.628733
81631	0.628506
4350	0.628464
2	0.628459
51606	0.628065
9546	0.627837
34	0.627607
6780	0.627372
9474	0.627262
27044	0.6272
5916	0.62704
5558	0.62702
5111	0.626981
161	0.626922
9532	0.626742
337	0.626663
4176	0.626556
10289	0.626377
995	0.625714
26019	0.625172
51657	0.625093
6199	0.624914
9878	0.624766
9406	0.62444
79096	0.624254
56000	0.624119
7153	0.624058
4793	0.623785
6782	0.623495
10972	0.623151
5557	0.623028
6868	0.622276
2237	0.621422
10849	0.621178
65110	0.620499
51377	0.620496
196	0.620073
7520	0.619563
2688	0.61956
7314	0.619478
26523	0.619273
8856	0.6188
3836	0.618472
54984	0.618262
64421	0.617824
2733	0.617777
10204	0.617665
641	0.617625
2035	0.617386
26277	0.616829
9360	0.616692
8396	0.616664
80304	0.616393
4171	0.616217
53615	0.616011
11140	0.615676
5422	0.615039
55183	0.614512
4998	0.614322
994	0.614219
3117	0.613697
23118	0.613469
8672	0.613387
2077	0.613244
1326	0.613232
4172	0.61323
3364	0.612975
10551	0.612946
4214	0.612641
4173	0.612623
54386	0.612564
63967	0.612352
1869	0.612261
2060	0.61221
2058	0.611816
6662	0.611791
84515	0.611337
23595	0.610944
10664	0.610912
8780	0.610882
25777	0.610865
8412	0.610182
685	0.609721
731247	0.609621
3123	0.60962
688	0.60954
1175	0.609289
10252	0.60888
5753	0.608747
545	0.608472
3115	0.608454
3125	0.608454
3112	0.608453
4999	0.608371
1656	0.60834
23649	0.608263
55553	0.608174
1797	0.608077
6257	0.607984
1871	0.60785
3910	0.607502
29935	0.607465
3297	0.607321
4683	0.607267
27250	0.607175
10605	0.607069
4175	0.606817
8318	0.60678
51654	0.606728
10397	0.606607
171017	0.606431
8189	0.605926
7465	0.605919
23594	0.605872
3118	0.605747
9670	0.605534
5047	0.605483
26058	0.605336
144715	0.605311
7428	0.605301
58513	0.605194
7536	0.605048
10111	0.604789
2079	0.604488
55824	0.604474
6198	0.604435
8793	0.604244
51765	0.604178
580	0.604144
25913	0.603957
3615	0.603821
5564	0.603762
8408	0.603311
5893	0.603274
4174	0.603143
3113	0.602991
2956	0.602788
25855	0.602517
9821	0.602378
602	0.601885
3702	0.601881
873	0.601823
138065	0.601553
5917	0.601519
1111	0.601495
5062	0.601396
7050	0.601326
5000	0.601057
84254	0.600938
8517	0.600796
10926	0.600373
51747	0.600372
26271	0.600272
8317	0.600228
254170	0.600204
8945	0.600015
5001	0.599943
7965	0.599872
7155	0.599589
91647	0.599575
983	0.599331
6256	0.599254
3310	0.598915
3035	0.598851
84126	0.598795
7916	0.598259
3275	0.598219
3839	0.598086
347733	0.597945
37	0.597901
5883	0.597705
57455	0.597474
7812	0.597429
1400	0.597282
9641	0.597169
27040	0.597051
6184	0.59695
51729	0.596897
5914	0.596632
10284	0.596522
3119	0.596441
642	0.596407
55437	0.596395
33	0.596308
35	0.596308
3109	0.596092
11052	0.59593
9519	0.595899
4267	0.595826
5277	0.595821
80254	0.595528
163	0.59548
1875	0.595215
23385	0.595103
10133	0.594923
10856	0.594744
7067	0.594637
64689	0.594472
3315	0.594362
23214	0.594314
51593	0.594278
3108	0.594221
7189	0.594054
9185	0.594035
5757	0.593577
367	0.593573
115509	0.593481
837	0.593383
3326	0.593352
47	0.593311
9183	0.593248
699	0.592994
3301	0.592976
7376	0.592887
56950	0.592797
751867	0.592241
23243	0.592183
9775	0.592077
59343	0.592075
5468	0.59189
8991	0.591581
11161	0.591445
3608	0.591364
9759	0.591308
55851	0.591187
4163	0.591157
5587	0.590947
102	0.590913
56616	0.590845
84662	0.590602
5928	0.590312
58477	0.59023
10014	0.590159
8818	0.589858
5810	0.58983
83464	0.589798
51107	0.589797
9837	0.589578
5591	0.589519
78987	0.589506
9782	0.58946
65057	0.589373
5214	0.589007
1071	0.588928
51659	0.588652
1892	0.588344
29109	0.588248
2620	0.588225
3692	0.588088
9146	0.587853
9134	0.587794
2908	0.586263
1674	0.586167
29110	0.586132
22803	0.586059
142	0.585915
1027	0.58589
5966	0.585663
10013	0.585622
990	0.585427
81559	0.585234
1195	0.584983
6418	0.584972
4794	0.584921
8805	0.584584
3066	0.584559
5971	0.584512
8819	0.584478
51678	0.584471
2099	0.58438
7013	0.584373
472	0.584373
3174	0.584214
83481	0.584133
3251	0.584035
9325	0.584017
387082	0.584001
5335	0.583759
864	0.583725
9402	0.583718
51755	0.583655
4193	0.583615
3122	0.583463
9794	0.583391
7407	0.583384
3312	0.583357
55916	0.583337
51013	0.583297
57805	0.583287
1213	0.583277
8531	0.583208
5478	0.583188
5245	0.583097
9656	0.583039
334	0.583011
11184	0.582862
2242	0.582856
1874	0.58285
23524	0.582803
3320	0.582743
136319	0.58264
27161	0.58258
728860	0.582575
5970	0.582407
2886	0.582268
3660	0.582249
10527	0.582216
5829	0.582216
915	0.582198
5049	0.582158
2948	0.582092
22888	0.582049
54165	0.581948
6945	0.58172
57510	0.581647
8651	0.581608
6996	0.581589
3305	0.581499
7763	0.581292
5465	0.581279
23424	0.581183
836	0.580992
7323	0.580904
382	0.580762
5358	0.580589
9126	0.580427
4287	0.580421
85415	0.580232
5336	0.580048
1452	0.580003
4854	0.579905
93436	0.579725
10750	0.57968
23043	0.579609
4637	0.579581
3855	0.579514
118460	0.57938
10480	0.579232
4194	0.5792
3304	0.579159
842	0.579072
10128	0.579031
2100	0.578882
5170	0.578856
9527	0.57884
22827	0.578805
1017	0.578772
1787	0.578761
5931	0.578692
8878	0.5786
3313	0.57859
6773	0.57858
9088	0.578326
317	0.578169
4303	0.578122
5058	0.578068
8031	0.578036
1978	0.577921
5788	0.577883
3309	0.577827
7337	0.577727
11331	0.577725
9133	0.577714
80232	0.577671
4792	0.577617
11200	0.577554
5589	0.577423
8932	0.577383
7015	0.577287
23327	0.577255
26994	0.577202
83734	0.577117
30011	0.577109
10574	0.577087
898	0.577038
5037	0.576949
9733	0.576802
9101	0.576784
2475	0.576688
7316	0.576668
7278	0.576585
8837	0.576578
825	0.576469
5050	0.576428
8905	0.576428
57521	0.576334
23039	0.57617
7414	0.576163
27101	0.576127
9978	0.576118
1917	0.575923
8792	0.575914
9276	0.575886
5163	0.575837
92609	0.575753
840	0.575626
5218	0.575576
5569	0.575412
7750	0.57539
2317	0.575385
8767	0.575217
86	0.575104
5208	0.575001
23420	0.574989
55720	0.574984
302	0.574868
10454	0.574727
22894	0.574715
51588	0.574664
81620	0.574627
6009	0.574562
4488	0.574414
6100	0.574381
1385	0.574256
10155	0.574236
3551	0.574205
8887	0.574091
1653	0.574038
890	0.574033
124402	0.573972
917	0.573904
5393	0.573738
25778	0.573697
5925	0.573662
1434	0.573559
2887	0.573504
10422	0.573465
57003	0.573464
55178	0.573444
2091	0.57336
2549	0.573335
80125	0.573259
10320	0.573189
5036	0.573098
689	0.57304
84970	0.5727
23097	0.572668
8761	0.572579
1019	0.572436
904	0.572322
3939	0.572305
10758	0.572264
9500	0.572238
6446	0.572193
3845	0.571647
8204	0.571627
7077	0.571623
4141	0.571572
329	0.571459
8443	0.571429
8737	0.571406
2597	0.57135
9493	0.571232
9947	0.571195
55969	0.571151
1730	0.57106
9141	0.570982
916	0.570912
2175	0.570905
4221	0.570897
8290	0.570884
29843	0.570853
1736	0.570778
4855	0.570581
3069	0.57042
55388	0.570419
10526	0.570324
6767	0.570285
1997	0.570167
1639	0.570123
6596	0.570101
10459	0.569991
8446	0.569682
1830	0.569594
85021	0.569488
4803	0.569346
9188	0.569337
10489	0.569282
5110	0.569204
26574	0.569051
23612	0.569027
3055	0.568988
64223	0.568984
4734	0.568959
54464	0.568951
10627	0.568812
647099	0.56862
3064	0.568518
6185	0.568486
6667	0.568441
1994	0.56844
5610	0.568389
5467	0.568387
660	0.568364
7088	0.568347
10952	0.568347
1174	0.568336
5272	0.568312
5290	0.568299
3559	0.568289
8522	0.56826
284403	0.568177
859	0.568172
4628	0.568146
230	0.568035
5034	0.567916
1147	0.567897
1026	0.567888
7133	0.567764
1876	0.567722
5364	0.567677
5588	0.567526
203068	0.567455
6774	0.567419
4690	0.567391
229	0.567289
6314	0.567218
2888	0.567171
7538	0.567134
7535	0.56711
471	0.566986
595	0.566836
57448	0.56665
4850	0.566564
5933	0.56652
9611	0.566485
8440	0.566395
4678	0.566346
84617	0.566227
6461	0.566206
7027	0.566185
3914	0.566145
4436	0.566127
578	0.565995
7486	0.565966
22913	0.56572
9021	0.565683
5921	0.565673
57562	0.565638
1460	0.565505
6598	0.565469
30827	0.565433
10062	0.565273
5300	0.565257
6748	0.565252
84433	0.565198
708	0.565092
22820	0.565069
9513	0.56499
10063	0.564942
23244	0.564887
9112	0.564797
55145	0.564782
6950	0.564776
4609	0.564729
55738	0.564657
4739	0.564605
4893	0.564532
11035	0.564482
7094	0.564477
3336	0.564434
1457	0.5644
8676	0.564331
4691	0.564229
83985	0.564084
1315	0.564084
3420	0.564008
54512	0.563915
51247	0.563898
8454	0.563781
22907	0.563735
5519	0.563692
29117	0.563605
7157	0.563493
5744	0.563305
1445	0.563277
7531	0.563239
4627	0.563207
10524	0.563172
2547	0.563055
10445	0.563011
10010	0.563009
8648	0.562923
2342	0.562865
1212	0.562809
170961	0.562668
868	0.562664
388646	0.562634
10912	0.562617
576	0.56259
9846	0.562586
2906	0.562585
55922	0.562536
1031	0.562525
1829	0.562495
11156	0.562478
10519	0.562448
834	0.562386
373156	0.562369
546	0.562368
5521	0.562253
55161	0.562249
1999	0.562195
57664	0.562131
8802	0.562047
8570	0.561988
4234	0.561987
6095	0.561982
7415	0.561936
10813	0.561648
10746	0.561594
8880	0.561468
8202	0.561443
829	0.561399
3895	0.56135
2353	0.561282
6456	0.56126
4306	0.561258
7454	0.56112
4137	0.561107
55233	0.561074
6741	0.561068
11164	0.56105
162	0.560944
3932	0.560877
9829	0.560848
4087	0.560719
7026	0.560717
3611	0.560658
5337	0.560647
25942	0.560558
3795	0.560366
3918	0.560331
1870	0.560326
55379	0.560133
10514	0.560049
23063	0.559924
10892	0.559889
10382	0.559888
3014	0.55968
5927	0.55967
7203	0.559642
84335	0.559569
9891	0.559484
7068	0.559349
5678	0.559156
3428	0.5591
4100	0.559099
5303	0.559042
29903	0.558864
1314	0.55885
54567	0.558835
8882	0.55883
2332	0.55875
3267	0.558562
51429	0.558511
54919	0.558362
333	0.55833
94	0.558159
7462	0.558097
7132	0.558048
4673	0.558031
5411	0.557972
7416	0.557958
57820	0.557896
8841	0.557849
3226	0.557836
6304	0.557832
60412	0.557752
4522	0.55772
8650	0.557684
23047	0.557592
598	0.557541
7532	0.557196
55210	0.557163
9391	0.557156
8831	0.557081
55054	0.557013
55147	0.556882
1655	0.556793
7158	0.556646
7128	0.556581
5747	0.556495
9600	0.556484
2289	0.556366
22818	0.556288
7294	0.556168
11040	0.556159
79624	0.556137
8899	0.556104
5771	0.55608
309	0.556051
10253	0.556017
3073	0.555977
5371	0.555941
9051	0.555905
5770	0.555859
8717	0.555841
908	0.555767
5201	0.555472
177	0.555411
4926	0.555249
10002	0.555227
1459	0.555203
51690	0.555196
1051	0.555162
5295	0.555097
27342	0.555069
4192	0.555031
5934	0.554898
55534	0.55488
84441	0.55488
8471	0.554817
10087	0.554803
8975	0.554711
55646	0.554704
7185	0.554694
138046	0.55449
8900	0.554462
3556	0.554388
7430	0.554385
7919	0.55435
1488	0.554283
4215	0.554226
3093	0.554224
817	0.554146
8673	0.554127
2287	0.553974
2101	0.553781
8826	0.553779
23468	0.553756
728641	0.553719
3667	0.553637
7086	0.553628
10053	0.553534
84676	0.553457
2947	0.553387
7534	0.553367
27257	0.553338
328	0.553247
10961	0.553229
27252	0.553198
3981	0.553164
2931	0.553076
23560	0.553039
3172	0.553018
54544	0.552996
324	0.552925
4088	0.552873
6867	0.552787
23085	0.552701
4282	0.552633
5663	0.552623
6464	0.552608
79155	0.552574
2932	0.552551
3674	0.55252
2821	0.552503
23517	0.552408
71	0.552359
5594	0.552314
23028	0.552306
6772	0.552218
3298	0.552211
57333	0.552153
5863	0.552144
8065	0.552097
56005	0.551858
5932	0.551733
5495	0.551694
29080	0.55155
7089	0.551549
84164	0.5514
642558	0.55117
4547	0.551157
8848	0.551117
10989	0.551104
8850	0.550997
208	0.550933
4851	0.550911
2661	0.550909
1786	0.550634
29911	0.550632
7464	0.550631
7098	0.550594
148022	0.550514
64210	0.550504
8295	0.550461
6624	0.550453
4296	0.550392
8988	0.550372
27043	0.550291
84833	0.550271
9587	0.550217
4076	0.550117
6387	0.550024
5888	0.549961
8738	0.549814
3621	0.549765
467	0.549751
3654	0.54962
816	0.549609
6503	0.549596
7248	0.549523
23513	0.549458
7879	0.549412
23404	0.549372
8615	0.549297
3714	0.549231
3718	0.54918
50807	0.549174
196513	0.549116
118	0.5491
11316	0.549049
4487	0.548992
5202	0.548948
2934	0.548942
25902	0.548937
2026	0.548917
10783	0.548894
2010	0.548816
637	0.548773
6688	0.548757
25843	0.548669
4853	0.548608
9479	0.548589
4801	0.548234
2902	0.548132
3659	0.547882
5898	0.547847
5631	0.547818
81704	0.547785
23647	0.547745
9039	0.547639
10318	0.547627
9025	0.547596
919	0.547579
3163	0.547578
253260	0.54754
8915	0.547533
9094	0.547518
1454	0.547446
7283	0.547425
6258	0.547374
1070	0.547235
2048	0.547149
8536	0.547123
843	0.54708
8764	0.54707
9793	0.547068
867	0.547057
5599	0.547057
10971	0.547048
8521	0.547008
896	0.546883
1080	0.546845
5338	0.546771
7249	0.546538
10980	0.546525
25	0.546454
4688	0.546323
