Creation Time:	2022-12-29 20:46:35

INPUT:
File name:	crfe_v018.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_10_seed_5.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	10.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	1040431945

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4952
Proportion perturbed genes:	0.4231032125768968

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3548387096774194
beta (FNR):	0.3548387096774194
q (penalization parameter):	0.001


Best log-likelihood value (mean +- standard deviation across replicates):	-8452.33885930203 +- 6.569174409680363

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	32	27	1.0	0.0	1.509e+02	0.319	0.481	GO:0030101
2	48	38	0.98871	0.03388	4.357e+02	0.253	0.488	GO:0006939
3	22	15	0.96035	0.11894	1.339e+02	0.258	0.377	GO:0043576
4	55	31	0.95862	0.11787	1.043e+03	0.098	0.412	GO:0045727
5	186	154	0.92089	0.22893	5.444e+03	0.402	0.366	GO:2000116
6	44	36	0.90529	0.18322	3.248e+02	0.366	0.386	GO:0035872
7	125	68	0.88954	0.29815	5.509e+03	0.053	0.461	GO:0043543
8	30	17	0.88592	0.18602	3.127e+02	0.092	0.395	GO:0018410
9	29	24	0.8	0.4	1.359e+02	0.359	0.395	GO:0045777
10	104	60	0.77137	0.39456	3.620e+03	0.042	0.456	GO:0016049
11	61	38	0.74474	0.36707	1.149e+03	0.131	0.464	GO:0051705
12	129	63	0.70175	0.32468	6.346e+03	-0.004	0.452	GO:0008277
13	113	58	0.68592	0.31948	4.713e+03	-0.014	0.462	GO:0006865
14	29	24	0.67107	0.44333	1.359e+02	0.341	0.442	GO:0009394
15	92	68	0.66476	0.44109	1.930e+03	0.236	0.438	GO:0030595
16	84	45	0.6596	0.38881	2.529e+03	0.027	0.433	GO:0033365
