Creation Time:	2022-12-29 20:19:10

INPUT:
File name:	crfe_v018.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_10_seed_17.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	10.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	2013776455

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4805
Proportion perturbed genes:	0.4105434039644566

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3548387096774194
beta (FNR):	0.3548387096774194
q (penalization parameter):	0.001


Best log-likelihood value (mean +- standard deviation across replicates):	-8484.230675984825 +- 5.91458120326211

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	29	21	1.0	0.0	2.049e+02	0.235	0.369	GO:0050805
2	39	36	1.0	0.0	1.150e+02	0.47	0.419	GO:0060411
3	74	43	0.99602	0.01194	1.826e+03	0.108	0.424	GO:0032481
4	52	25	0.9542	0.09346	1.054e+03	-0.02	0.377	GO:0015748
5	87	51	0.9	0.3	2.497e+03	0.057	0.484	GO:1903046
6	73	52	0.894	0.29854	1.322e+03	0.236	0.459	GO:0090305
7	26	16	0.86619	0.11182	2.158e+02	0.197	0.397	GO:0016339
8	33	23	0.77524	0.29104	2.858e+02	0.207	0.445	GO:0043550
9	133	77	0.77429	0.31989	5.887e+03	0.056	0.492	GO:0044703
10	139	65	0.74849	0.28948	7.574e+03	-0.014	0.439	GO:0051656
11	22	15	0.68757	0.18929	1.339e+02	0.13	0.451	GO:0018200
12	33	19	0.65335	0.37643	3.716e+02	0.088	0.399	GO:0042339
13	62	50	0.60564	0.40836	6.784e+02	0.355	0.413	GO:0032874
14	49	30	0.5963	0.39452	7.600e+02	0.088	0.474	GO:0006998
15	128	65	0.59076	0.30766	6.087e+03	-0.016	0.499	GO:0071826
16	40	22	0.56078	0.36209	5.673e+02	0.02	0.406	GO:0048639
17	61	35	0.5603	0.45303	1.260e+03	0.097	0.412	GO:0010631
18	119	57	0.54734	0.42081	5.475e+03	0.011	0.419	GO:0050954
19	115	71	0.53179	0.28683	4.103e+03	0.093	0.497	GO:0048562
20	118	58	0.51693	0.3896	5.292e+03	0.011	0.424	GO:0000184
21	150	98	0.47957	0.43028	6.452e+03	0.173	0.407	GO:0050670
22	22	17	0.46569	0.26564	1.010e+02	0.33	0.362	GO:0010799
23	69	35	0.44568	0.41146	1.782e+03	-0.0	0.441	GO:0060606
24	103	50	0.38673	0.35435	4.072e+03	-0.008	0.422	GO:0006414
25	116	56	0.38302	0.42807	5.177e+03	0.017	0.416	GO:0007605
26	63	35	0.37941	0.25606	1.384e+03	0.056	0.458	GO:0043484
27	39	24	0.34061	0.27482	4.805e+02	0.074	0.46	GO:0071322
28	53	28	0.32202	0.26059	1.024e+03	-0.014	0.503	GO:0044801
29	94	57	0.30736	0.30339	2.806e+03	0.121	0.406	GO:0042035
30	49	28	0.30602	0.43129	8.188e+02	0.085	0.404	GO:0043542
31	51	27	0.29716	0.17184	9.474e+02	-0.011	0.507	GO:0007200
32	81	39	0.29327	0.26552	2.539e+03	0.001	0.443	GO:0051216
33	23	16	0.27338	0.25396	1.409e+02	0.236	0.359	GO:0001990
34	28	16	0.25426	0.34024	2.708e+02	0.103	0.357	GO:0018146
35	46	23	0.21714	0.20353	8.047e+02	0.009	0.41	GO:0097306
36	60	38	0.21695	0.24045	1.088e+03	0.141	0.425	GO:0042108
37	151	98	0.21543	0.33064	6.602e+03	0.165	0.407	GO:0032944
38	37	23	0.21185	0.342	4.276e+02	0.072	0.492	GO:0007077
39	103	53	0.21071	0.29162	3.913e+03	0.04	0.455	GO:0050808
40	68	34	0.20376	0.27205	1.748e+03	-0.007	0.441	GO:0001843
41	63	51	0.19918	0.29544	6.904e+02	0.359	0.411	GO:0070304
42	57	30	0.17406	0.13253	1.187e+03	-0.018	0.525	GO:0061025
43	92	54	0.17103	0.16754	2.787e+03	0.046	0.535	GO:0042476
44	106	75	0.15624	0.31985	2.816e+03	0.218	0.403	GO:0042129
45	22	12	0.15232	0.15035	1.759e+02	0.019	0.363	GO:0046688
46	122	62	0.15154	0.2371	5.529e+03	-0.016	0.501	GO:0022618
47	60	31	0.15093	0.16459	1.332e+03	0.026	0.44	GO:0033013
48	156	86	0.14844	0.31848	8.466e+03	0.072	0.438	GO:0032872
49	78	41	0.14544	0.20086	2.215e+03	0.025	0.467	GO:0006479
