Creation Time:	2022-12-29 17:59:19

INPUT:
File name:	crfe_v018.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_10_seed_24.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	10.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	2849225426

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4875
Proportion perturbed genes:	0.41652426520847574

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3548387096774194
beta (FNR):	0.3548387096774194
q (penalization parameter):	0.001


Best log-likelihood value (mean +- standard deviation across replicates):	-8548.16419232402 +- 3.6244988502736453

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	51	36	0.96954	0.09139	6.603e+02	0.198	0.456	GO:0051952
2	24	18	0.95477	0.10549	1.299e+02	0.263	0.443	GO:0008089
3	111	94	0.94787	0.1564	1.750e+03	0.396	0.394	GO:0060191
4	100	47	0.94228	0.17315	3.921e+03	0.004	0.388	GO:0050906
5	24	14	0.92364	0.15542	1.959e+02	0.115	0.331	GO:0042537
6	61	44	0.81639	0.31851	9.009e+02	0.206	0.459	GO:0000723
7	76	54	0.7689	0.36161	1.440e+03	0.188	0.475	GO:0009913
8	28	17	0.69612	0.30042	2.538e+02	0.167	0.386	GO:0042036
9	68	35	0.69392	0.37887	1.713e+03	0.033	0.38	GO:0009100
10	37	21	0.67602	0.38564	4.725e+02	0.091	0.272	GO:0032755
11	46	25	0.52215	0.28138	7.559e+02	0.066	0.364	GO:0007266
12	60	35	0.48675	0.43694	1.199e+03	0.101	0.456	GO:0030148
13	79	38	0.47726	0.27825	2.417e+03	-0.001	0.432	GO:0031570
14	29	20	0.46551	0.42298	2.258e+02	0.21	0.412	GO:0051893
15	134	78	0.42461	0.4354	5.942e+03	0.057	0.471	GO:0002221
16	20	14	0.42239	0.23269	1.059e+02	0.214	0.378	GO:0006949
17	27	18	0.41798	0.28625	2.079e+02	0.216	0.348	GO:0048536
18	66	36	0.41719	0.28863	1.543e+03	0.051	0.462	GO:0034340
19	37	24	0.41356	0.45844	4.036e+02	0.172	0.409	GO:1901888
20	22	15	0.40901	0.29163	1.339e+02	0.25	0.346	GO:0033344
21	121	65	0.3834	0.32518	5.217e+03	0.025	0.469	GO:0010721
22	121	64	0.37145	0.38886	5.282e+03	0.021	0.473	GO:0006665
23	72	34	0.35536	0.37468	2.035e+03	-0.013	0.401	GO:2000736
24	23	15	0.34613	0.28137	1.569e+02	0.239	0.285	GO:0060760
25	143	77	0.34496	0.40972	7.262e+03	0.038	0.47	GO:2000027
26	28	23	0.33362	0.28702	1.309e+02	0.221	0.511	GO:0035567
27	94	51	0.32435	0.29848	3.131e+03	0.026	0.459	GO:0050768
