Creation Time:	2023-01-18 21:49:26

INPUT:
File name:	crfe_v019_b2.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/random/random3.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.3
threshold type:	proportion
belief:	2.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.375
Maximal possible value for alpha and beta:	0.375
Probability parameter change:	0.2
seed for RNG:	2984509333

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	3511
Proportion perturbed genes:	0.2999829118250171

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3
beta (FNR):	0.375
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-7219.026703260148 +- 7.609378613179393e-13

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	21	12	0.03638	0.10465	1.539e+02	0.647	0.346	GO:2000351
2	38	18	0.01196	0.01973	5.723e+02	0.596	0.432	GO:0030049
3	22	11	0.00801	0.0168	1.879e+02	0.547	0.397	GO:0035924
4	20	10	0.00687	0.01425	1.559e+02	0.583	0.413	GO:0051953
5	25	15	0.00594	0.01227	2.059e+02	0.61	0.67	GO:0060444
6	23	12	0.00574	0.01408	1.989e+02	0.614	0.448	GO:0030316
7	20	9	0.00391	0.01174	1.679e+02	0.601	0.387	GO:0052652
8	31	18	0.00374	0.00888	3.257e+02	0.631	0.572	GO:0072529
9	20	9	0.00248	0.0054	1.679e+02	0.58	0.432	GO:0051954
10	20	11	0.00203	0.00424	1.449e+02	0.686	0.528	GO:0002861
11	21	9	0.00183	0.0055	1.909e+02	0.609	0.364	GO:0043299
12	27	13	0.00164	0.00493	2.888e+02	0.551	0.475	GO:0040020
13	22	10	0.0016	0.00398	2.009e+02	0.573	0.409	GO:0050856
14	21	10	0.00148	0.00443	1.779e+02	0.616	0.482	GO:0046135
15	40	19	0.00129	0.00386	6.322e+02	0.621	0.477	GO:0007159
16	22	10	0.00114	0.0023	2.009e+02	0.591	0.521	GO:0060071
17	22	10	0.00091	0.00183	2.009e+02	0.558	0.478	GO:0032862
18	20	9	0.00087	0.00237	1.679e+02	0.571	0.4	GO:0072676
19	31	13	0.00084	0.00173	4.146e+02	0.575	0.318	GO:0006730
20	20	8	0.00074	0.00223	1.809e+02	0.551	0.408	GO:0090342
21	36	17	0.00074	0.0015	5.154e+02	0.603	0.485	GO:0050999
22	34	15	0.00072	0.00217	4.815e+02	0.571	0.467	GO:0034121
23	26	11	0.0007	0.00209	2.917e+02	0.55	0.359	GO:0000188
24	31	15	0.00062	0.00186	3.776e+02	0.578	0.459	GO:0051445
25	24	10	0.00055	0.00166	2.518e+02	0.526	0.44	GO:0006890
26	31	14	0.00051	0.00136	3.956e+02	0.587	0.444	GO:0010977
