Creation Time:	2023-01-18 21:48:02

INPUT:
File name:	crfe_v019_b2.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/random/random7.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.3
threshold type:	proportion
belief:	2.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.375
Maximal possible value for alpha and beta:	0.375
Probability parameter change:	0.2
seed for RNG:	3180691921

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	3511
Proportion perturbed genes:	0.2999829118250171

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3
beta (FNR):	0.375
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-7219.026703260148 +- 7.609378613179393e-13

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	43	22	0.11351	0.23286	6.932e+02	0.627	0.408	GO:0030516
2	22	11	0.02219	0.04464	1.879e+02	0.584	0.3	GO:0001909
3	27	13	0.01997	0.04829	2.888e+02	0.635	0.412	GO:0008625
4	20	11	0.01265	0.02954	1.449e+02	0.621	0.485	GO:2000677
5	37	19	0.01199	0.02416	5.135e+02	0.626	0.48	GO:1901264
6	51	25	0.01118	0.02931	1.002e+03	0.598	0.411	GO:0061387
7	47	24	0.00928	0.02485	8.279e+02	0.614	0.562	GO:0061097
8	20	10	0.00654	0.01341	1.559e+02	0.636	0.438	GO:0045773
9	25	13	0.00581	0.01207	2.348e+02	0.628	0.479	GO:0030212
10	35	17	0.00457	0.01171	4.785e+02	0.541	0.47	GO:0002712
11	25	12	0.00429	0.01288	2.488e+02	0.587	0.459	GO:0060444
12	20	11	0.00404	0.00831	1.449e+02	0.576	0.528	GO:0000381
13	31	15	0.00367	0.01102	3.776e+02	0.592	0.41	GO:0051966
14	20	10	0.00322	0.00967	1.559e+02	0.622	0.528	GO:0008210
15	22	9	0.0032	0.00644	2.148e+02	0.598	0.298	GO:0006699
16	33	15	0.00291	0.00872	4.455e+02	0.603	0.392	GO:0032648
17	22	11	0.00288	0.00576	1.879e+02	0.586	0.387	GO:0019933
18	24	12	0.00255	0.00554	2.228e+02	0.612	0.567	GO:0000045
19	32	16	0.00237	0.00607	3.926e+02	0.566	0.576	GO:0050732
20	49	23	0.00219	0.00656	9.526e+02	0.607	0.439	GO:0060485
21	21	10	0.00216	0.00647	1.779e+02	0.598	0.484	GO:0043029
22	40	18	0.00196	0.00587	6.552e+02	0.553	0.452	GO:1902930
23	27	13	0.00194	0.00581	2.888e+02	0.638	0.47	GO:0032570
24	23	10	0.00174	0.00521	2.258e+02	0.553	0.486	GO:0050927
25	26	12	0.00157	0.0047	2.758e+02	0.59	0.374	GO:0009954
26	23	11	0.00152	0.00335	2.118e+02	0.618	0.422	GO:0006270
27	20	10	0.00152	0.00307	1.559e+02	0.668	0.513	GO:0046839
28	26	13	0.00144	0.00295	2.608e+02	0.605	0.475	GO:0007215
29	20	9	0.00142	0.0037	1.679e+02	0.56	0.483	GO:0007140
30	26	13	0.00136	0.00407	2.608e+02	0.572	0.583	GO:0010862
31	26	12	0.00132	0.00312	2.758e+02	0.629	0.484	GO:0044060
32	28	13	0.0013	0.0039	3.177e+02	0.576	0.548	GO:0051145
33	45	21	0.0013	0.00323	8.079e+02	0.532	0.461	GO:0000096
34	50	25	0.00118	0.00345	9.497e+02	0.606	0.558	GO:0007498
35	29	12	0.00114	0.0024	3.666e+02	0.582	0.328	GO:0022029
36	23	10	0.00114	0.00342	2.258e+02	0.569	0.578	GO:0045581
37	52	22	0.001	0.00301	1.144e+03	0.587	0.392	GO:0097191
38	42	18	0.00098	0.00293	7.440e+02	0.525	0.351	GO:0007249
39	24	10	0.00096	0.00215	2.518e+02	0.535	0.486	GO:0050926
40	21	9	0.00096	0.00287	1.909e+02	0.525	0.488	GO:0014003
