Creation Time:	2023-01-11 15:49:29

INPUT:
File name:	crfe_v019_b10.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_5_seed_1.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	10.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	10000
MCMC steps:	20000
Maximal value for alpha and beta:	0.275
Maximal possible value for alpha and beta:	0.275
Probability parameter change:	0.2
seed for RNG:	975209012

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4906
Proportion perturbed genes:	0.4191729323308271

OUTPUT:
Learnt parameters:
alpha (FPR):	0.275
beta (FNR):	0.275
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-8795.605374413934 +- 4.011698710972996

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	187	166	0.98158	0.05528	3.712e+03	0.439	0.399	GO:0031396
2	185	146	0.94638	0.16086	6.457e+03	0.275	0.464	GO:0098609
3	55	34	0.91701	0.13896	9.446e+02	0.064	0.506	GO:0007224
4	69	41	0.79912	0.28014	1.552e+03	0.062	0.513	GO:0042886
5	100	52	0.73972	0.39314	3.661e+03	-0.002	0.383	GO:0043524
6	123	60	0.73884	0.20154	5.777e+03	-0.031	0.465	GO:0051028
7	110	62	0.6	0.4899	4.139e+03	0.049	0.483	GO:0006633
8	50	26	0.58266	0.37206	9.235e+02	0.137	0.335	GO:0006826
9	40	23	0.58134	0.33446	5.443e+02	0.126	0.325	GO:0010717
10	21	16	0.57906	0.38874	9.596e+01	0.21	0.506	GO:0006342
11	39	21	0.52929	0.28994	5.493e+02	0.119	0.356	GO:0008088
12	25	17	0.52862	0.36777	1.729e+02	0.127	0.487	GO:0050691
13	50	27	0.46329	0.42504	8.966e+02	0.023	0.469	GO:0008630
14	64	45	0.4592	0.47324	1.045e+03	0.141	0.516	GO:0030509
15	113	62	0.44456	0.41961	4.473e+03	0.046	0.439	GO:0010212
16	175	98	0.44406	0.47141	1.050e+04	0.038	0.484	GO:0090092
