Creation Time:	2023-01-11 15:40:53

INPUT:
File name:	crfe_v019_b10.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_5_seed_5.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	10.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	10000
MCMC steps:	20000
Maximal value for alpha and beta:	0.275
Maximal possible value for alpha and beta:	0.275
Probability parameter change:	0.2
seed for RNG:	776838771

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4873
Proportion perturbed genes:	0.41635338345864664

OUTPUT:
Learnt parameters:
alpha (FPR):	0.275
beta (FNR):	0.275
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-8835.399304006893 +- 5.44225070822104

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	32	29	1.0	0.0	9.397e+01	0.319	0.535	GO:0030101
2	23	19	0.96236	0.06704	8.697e+01	0.271	0.502	GO:0051180
3	61	36	0.9046	0.21981	1.224e+03	0.064	0.448	GO:0006733
4	80	43	0.90265	0.15694	2.289e+03	0.085	0.406	GO:0044848
5	186	150	0.86883	0.25726	6.051e+03	0.339	0.39	GO:2000116
6	36	22	0.82647	0.17138	4.136e+02	0.159	0.391	GO:0043473
7	22	13	0.78486	0.3088	1.629e+02	0.145	0.331	GO:0006400
8	24	15	0.74086	0.32061	1.809e+02	0.12	0.384	GO:0006658
9	44	36	0.72506	0.34301	3.248e+02	0.304	0.441	GO:0035872
10	42	28	0.64668	0.36739	4.975e+02	0.168	0.501	GO:0010332
11	36	21	0.53945	0.23271	4.355e+02	0.047	0.487	GO:0007339
12	69	41	0.53255	0.33802	1.552e+03	0.056	0.459	GO:0042102
13	34	23	0.49094	0.45096	3.197e+02	0.119	0.488	GO:0030282
14	41	25	0.49003	0.39631	5.364e+02	0.189	0.36	GO:0051588
15	64	38	0.48727	0.46445	1.338e+03	0.064	0.523	GO:0031214
16	28	22	0.46948	0.31949	1.539e+02	0.195	0.504	GO:2001238
17	46	27	0.45473	0.37057	7.031e+02	0.087	0.44	GO:0021782
18	22	13	0.45449	0.27424	1.629e+02	0.156	0.394	GO:0046847
19	32	20	0.45026	0.42527	3.187e+02	0.21	0.351	GO:0046928
