Creation Time:	2023-01-03 12:45:43

INPUT:
File name:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/result/real/crfe_v019_b1_real.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/real/random.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.3
threshold type:	proportion
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.5
Maximal possible value for alpha and beta:	0.5
Probability parameter change:	0.2
seed for RNG:	70750154

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	1390
Total number of genes:	5752
Number of perturbed genes:	1726
Proportion perturbed genes:	0.30006954102920724

OUTPUT:
Learnt parameters:
alpha (FPR):	0.30000000000000004
beta (FNR):	0.5
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-3515.421080027584 +- 4.547473508864641e-13

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
68	22	9	0.00055	0.00138	2.147e+02	0.553	0.477	GO:0060444
69	20	9	0.00054	0.0015	1.678e+02	0.521	0.596	GO:0045987
70	25	12	0.00053	0.00116	2.486e+02	0.612	0.353	GO:0032508
71	34	13	0.0005	0.00108	5.237e+02	0.487	0.463	GO:0006879
72	27	12	0.0005	0.00097	3.045e+02	0.583	0.449	GO:0070423
73	20	10	0.0005	0.001	1.558e+02	0.527	0.618	GO:0001958
74	24	11	0.00049	0.00097	2.366e+02	0.556	0.493	GO:0045104
75	53	22	0.00047	0.00129	1.200e+03	0.572	0.494	GO:0007254
76	20	8	0.00046	0.00089	1.807e+02	0.597	0.43	GO:0002828
77	23	10	0.00046	0.00138	2.256e+02	0.558	0.377	GO:0048278
78	32	14	0.00046	0.00099	4.291e+02	0.51	0.57	GO:0043618
79	20	10	0.00045	0.00079	1.558e+02	0.611	0.584	GO:0048701
80	23	10	0.00045	0.0009	2.256e+02	0.573	0.425	GO:0060135
81	22	9	0.00045	0.0009	2.147e+02	0.565	0.562	GO:0048008
82	58	24	0.00045	0.00134	1.436e+03	0.528	0.482	GO:0071482
83	40	16	0.00044	0.00101	7.030e+02	0.56	0.342	GO:0008637
84	20	8	0.00042	0.00077	1.807e+02	0.57	0.471	GO:0050663
85	23	11	0.00042	0.00097	2.117e+02	0.536	0.547	GO:0030901
86	30	12	0.00042	0.00112	3.992e+02	0.551	0.484	GO:0042044
87	40	16	0.0004	0.00085	7.030e+02	0.52	0.399	GO:0030521
88	71	29	0.0004	0.00078	2.161e+03	0.559	0.453	GO:0034134
89	23	7	0.0004	0.00079	2.735e+02	0.493	0.539	GO:0048747
90	24	11	0.00039	0.00083	2.366e+02	0.609	0.504	GO:0045058
91	27	11	0.00039	0.00092	3.214e+02	0.573	0.512	GO:0001906
92	36	14	0.00038	0.0009	5.805e+02	0.513	0.544	GO:0031058
93	50	22	0.00038	0.00083	1.032e+03	0.557	0.509	GO:0046330
94	26	10	0.00038	0.00077	3.084e+02	0.511	0.42	GO:0051893
95	47	19	0.00038	0.0008	9.609e+02	0.56	0.578	GO:0001816
96	51	21	0.00037	0.00087	1.117e+03	0.547	0.467	GO:0000077
97	33	13	0.00037	0.00097	4.859e+02	0.525	0.677	GO:0021987
98	20	8	0.00036	0.00076	1.807e+02	0.562	0.474	GO:0033003
