Creation Time:	2022-12-29 19:51:57

INPUT:
File name:	crfe_v018.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_10_seed_28.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	5.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	759540110

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4990
Proportion perturbed genes:	0.42634996582365003

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3548387096774194
beta (FNR):	0.3548387096774194
q (penalization parameter):	0.001


Best log-likelihood value (mean +- standard deviation across replicates):	-8273.37913101472 +- 4.014100269504969

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	100	77	1.0	0.0	2.044e+03	0.3	0.409	GO:0048705
2	184	133	0.97523	0.0743	8.080e+03	0.251	0.425	GO:0048002
3	135	67	0.94688	0.11471	6.872e+03	-0.011	0.455	GO:0006470
4	105	57	0.94128	0.07519	3.900e+03	0.026	0.461	GO:0032479
5	121	94	0.91853	0.2444	2.911e+03	0.26	0.476	GO:0010721
6	69	50	0.9	0.3	1.139e+03	0.258	0.425	GO:0051897
7	40	30	0.84316	0.19072	3.557e+02	0.228	0.48	GO:0031018
8	60	35	0.76813	0.27716	1.199e+03	0.072	0.451	GO:0006672
9	158	85	0.76179	0.26211	8.863e+03	0.051	0.426	GO:0090287
10	106	75	0.63532	0.457	2.816e+03	0.258	0.423	GO:0061061
11	133	75	0.56807	0.42947	6.038e+03	0.044	0.473	GO:0006986
12	82	72	0.53939	0.42168	7.754e+02	0.417	0.42	GO:0051443
13	25	15	0.53283	0.27115	2.058e+02	0.127	0.411	GO:0006893
14	38	29	0.52755	0.38225	3.068e+02	0.252	0.473	GO:1901800
15	49	29	0.51936	0.45141	7.899e+02	0.108	0.381	GO:0000724
16	79	40	0.51828	0.39984	2.335e+03	0.033	0.416	GO:0009566
17	49	29	0.48976	0.3307	7.899e+02	0.13	0.322	GO:0048588
18	50	30	0.46523	0.43808	8.098e+02	0.108	0.398	GO:0000725
19	110	60	0.43413	0.3243	4.261e+03	0.025	0.488	GO:0008360
20	140	78	0.43222	0.42953	6.761e+03	0.043	0.466	GO:0035966
21	32	18	0.40851	0.28461	3.576e+02	0.121	0.367	GO:0030101
22	107	66	0.38963	0.42062	3.558e+03	0.098	0.505	GO:0006613
23	107	66	0.37648	0.38817	3.558e+03	0.102	0.5	GO:0045047
24	102	74	0.3648	0.4569	2.474e+03	0.271	0.428	GO:0007517
25	24	14	0.29788	0.16165	1.959e+02	0.113	0.384	GO:0055090
26	39	25	0.28225	0.23397	4.555e+02	0.173	0.382	GO:0048678
27	86	74	0.25581	0.34234	9.661e+02	0.392	0.429	GO:0051351
28	24	16	0.21906	0.15513	1.649e+02	0.221	0.41	GO:0051385
29	126	67	0.19389	0.32417	5.701e+03	-0.014	0.48	GO:0000302
30	68	40	0.17841	0.15266	1.524e+03	0.041	0.481	GO:0045598
31	36	23	0.17578	0.18921	3.906e+02	0.185	0.338	GO:0048675
32	75	42	0.16592	0.18343	1.944e+03	0.044	0.471	GO:0006892
33	40	21	0.15672	0.14162	5.892e+02	0.062	0.395	GO:0007259
34	27	15	0.15612	0.23907	2.588e+02	0.062	0.412	GO:0050663
35	96	79	0.15585	0.32226	1.495e+03	0.363	0.429	GO:0051438
36	105	65	0.12342	0.20231	3.411e+03	0.096	0.506	GO:0006614
37	34	18	0.12089	0.12848	4.245e+02	0.036	0.402	GO:0015909
38	45	23	0.11442	0.09485	7.588e+02	-0.034	0.459	GO:0046717
39	108	66	0.1107	0.29812	3.665e+03	0.099	0.5	GO:0072599
40	46	22	0.10766	0.14737	8.296e+02	0.004	0.367	GO:0035036
41	53	31	0.10498	0.23074	9.345e+02	0.03	0.505	GO:0044801
42	142	82	0.10329	0.13481	6.723e+03	0.046	0.501	GO:0051924
43	31	17	0.10033	0.12821	3.437e+02	0.033	0.456	GO:0006730
44	96	61	0.1	0.3	2.759e+03	0.136	0.455	GO:0051896
45	40	22	0.0904	0.1095	5.673e+02	-0.021	0.481	GO:0010676
46	20	14	0.0837	0.10911	1.059e+02	0.253	0.424	GO:0051412
47	36	27	0.08167	0.10894	2.888e+02	0.238	0.476	GO:0032436
48	94	74	0.08147	0.2444	1.688e+03	0.279	0.459	GO:0050768
49	56	36	0.07447	0.11815	9.296e+02	0.145	0.411	GO:2000106
50	23	15	0.07146	0.12519	1.569e+02	0.284	0.323	GO:0034405
51	29	17	0.06743	0.07834	2.827e+02	0.096	0.477	GO:0019370
52	57	32	0.06719	0.10132	1.124e+03	-0.003	0.511	GO:0061025
