Creation Time:	2022-12-29 18:42:00

INPUT:
File name:	crfe_v018.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_10_seed_20.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	5.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	2911992636

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4883
Proportion perturbed genes:	0.4172077922077922

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3548387096774194
beta (FNR):	0.3548387096774194
q (penalization parameter):	0.001


Best log-likelihood value (mean +- standard deviation across replicates):	-8290.709490508467 +- 3.4487909033779536

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	111	81	1.0	0.0	2.890e+03	0.236	0.453	GO:0008544
2	84	58	1.0	0.0	1.857e+03	0.14	0.501	GO:0031099
3	139	87	0.95447	0.1366	5.882e+03	0.126	0.437	GO:0051656
4	69	59	0.93995	0.16038	6.455e+02	0.356	0.436	GO:0048514
5	91	50	0.92812	0.14458	2.904e+03	0.104	0.413	GO:0007162
6	176	89	0.92125	0.23626	1.151e+04	0.026	0.449	GO:0009617
7	75	41	0.90273	0.17568	1.985e+03	0.091	0.433	GO:0006892
8	44	37	0.88725	0.29818	2.878e+02	0.436	0.372	GO:0051785
9	43	28	0.85913	0.14103	5.404e+02	0.209	0.432	GO:0007270
10	66	33	0.8575	0.20069	1.647e+03	0.081	0.388	GO:0006304
11	80	47	0.66912	0.39082	2.108e+03	0.076	0.424	GO:0001568
12	104	60	0.64434	0.3111	3.620e+03	0.072	0.48	GO:0016049
13	42	27	0.6173	0.23539	5.254e+02	0.121	0.495	GO:0023021
14	60	35	0.523	0.46886	1.199e+03	0.186	0.327	GO:0055001
15	31	23	0.51256	0.42835	2.209e+02	0.281	0.357	GO:0035065
16	50	31	0.45633	0.44867	7.789e+02	0.219	0.336	GO:0055002
17	49	30	0.45476	0.42106	7.600e+02	0.15	0.417	GO:0045740
18	89	47	0.4377	0.29197	2.870e+03	0.033	0.472	GO:0006814
19	27	19	0.39804	0.38622	1.889e+02	0.188	0.426	GO:0090329
20	36	17	0.37095	0.13575	5.153e+02	0.026	0.308	GO:0022406
21	24	14	0.35978	0.24237	1.959e+02	0.057	0.42	GO:0042537
22	31	19	0.30724	0.2907	3.067e+02	0.142	0.474	GO:0033619
23	191	92	0.27415	0.4065	1.398e+04	0.019	0.418	GO:0010639
