Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
455	37	16	0.00021	0.00062	5.762e+02	-0.052	0.462	GO:0007077
456	30	16	0.0002	0.00057	3.297e+02	0.096	0.407	GO:0010660
457	46	21	0.0002	0.00061	8.555e+02	-0.01	0.425	GO:0060041
458	35	26	0.0002	0.0006	2.798e+02	0.297	0.374	GO:0002712
459	41	28	0.0002	0.0006	4.556e+02	0.191	0.467	GO:0032652
460	21	11	0.0002	0.0006	1.659e+02	-0.04	0.534	GO:0032673
461	43	33	0.0002	0.0006	3.857e+02	0.32	0.368	GO:0050771
462	26	14	0.0002	0.00059	2.468e+02	-0.026	0.594	GO:0015807
463	28	11	0.0002	0.00059	3.526e+02	-0.063	0.342	GO:0046058
464	57	25	0.00019	0.00058	1.342e+03	-0.06	0.41	GO:0006497
465	26	14	0.00019	0.00058	2.468e+02	0.136	0.374	GO:0010862
466	46	20	0.00019	0.00058	8.824e+02	-0.053	0.477	GO:0043604
467	36	23	0.00019	0.00056	3.906e+02	0.141	0.459	GO:0002711
468	89	53	0.00019	0.00056	2.569e+03	0.047	0.533	GO:0048520
469	22	11	0.00018	0.00054	1.878e+02	-0.062	0.567	GO:0018200
470	20	10	0.00018	0.00054	1.559e+02	-0.021	0.402	GO:0060479
471	104	56	0.00018	0.00054	3.852e+03	0.077	0.412	GO:0070665
472	22	11	0.00017	0.0005	1.878e+02	0.027	0.47	GO:0033032
473	41	25	0.00017	0.00039	5.364e+02	0.086	0.464	GO:0046637
474	47	21	0.00016	0.00049	9.054e+02	-0.106	0.5	GO:0005977
475	25	11	0.00016	0.00049	2.637e+02	0.004	0.367	GO:0031952
476	45	22	0.00016	0.00049	7.828e+02	-0.008	0.48	GO:0048592
477	64	34	0.00016	0.00048	1.483e+03	0.019	0.52	GO:0031214
478	20	5	0.00016	0.00047	2.257e+02	-0.352	0.555	GO:0008210
479	29	20	0.00016	0.00047	2.258e+02	0.261	0.371	GO:0014014
480	37	18	0.00016	0.00047	5.333e+02	-0.019	0.544	GO:0071230
481	27	18	0.00015	0.00046	2.079e+02	0.189	0.45	GO:0042517
482	125	57	0.00015	0.00046	6.231e+03	-0.053	0.452	GO:0046488
483	29	16	0.00015	0.00044	2.997e+02	-0.038	0.543	GO:0006476
484	22	9	0.00015	0.00044	2.148e+02	-0.258	0.629	GO:0033108
485	70	37	0.00015	0.00044	1.779e+03	-0.049	0.511	GO:0097529
486	25	7	0.00014	0.00043	3.336e+02	-0.18	0.32	GO:0010226
487	64	47	0.00014	0.00043	9.518e+02	0.231	0.484	GO:1900274
488	30	14	0.00014	0.00042	3.626e+02	-0.12	0.587	GO:0018208
489	45	19	0.00014	0.00041	8.605e+02	-0.09	0.48	GO:0031110
490	47	22	0.00014	0.00041	8.785e+02	-0.015	0.473	GO:0051146
491	28	15	0.00014	0.00041	2.867e+02	0.1	0.437	GO:0051702
492	27	15	0.00013	0.0004	2.588e+02	0.065	0.514	GO:0043516
493	37	17	0.00013	0.00038	5.542e+02	0.022	0.401	GO:0061351
494	101	55	0.00013	0.00038	3.601e+03	0.076	0.414	GO:0032946
495	23	9	0.00013	0.00038	2.408e+02	-0.095	0.43	GO:0090207
496	30	14	0.00012	0.00036	3.626e+02	0.009	0.544	GO:0048864
497	31	18	0.00012	0.00035	3.257e+02	0.044	0.529	GO:0043666
498	93	50	0.00011	0.00034	3.088e+03	0.006	0.436	GO:0030307
499	32	15	0.00011	0.00034	4.105e+02	-0.069	0.566	GO:0071331
500	22	13	0.00011	0.00032	1.629e+02	0.033	0.526	GO:0035924
501	32	21	0.00011	0.00032	2.978e+02	0.143	0.471	GO:0048521
502	77	48	0.00011	0.00032	1.824e+03	0.072	0.529	GO:0050921
503	23	11	0.0001	0.00031	2.118e+02	0.01	0.32	GO:0007176
504	35	19	0.0001	0.00031	4.405e+02	0.003	0.479	GO:0048871
505	60	37	0.0001	0.0003	1.126e+03	0.041	0.518	GO:0002698
506	22	14	0.0001	0.00029	1.489e+02	0.004	0.671	GO:0043536
507	29	13	0.0001	0.00029	3.486e+02	-0.073	0.561	GO:0048278
508	87	47	9e-05	0.00028	2.694e+03	0.003	0.484	GO:0003018
509	32	14	9e-05	0.00028	4.295e+02	-0.117	0.562	GO:0016486
510	63	33	9e-05	0.00028	1.453e+03	0.025	0.461	GO:0043255
511	113	63	9e-05	0.00028	4.411e+03	0.11	0.418	GO:0071216
512	37	17	9e-05	0.00028	5.542e+02	-0.077	0.567	GO:1901264
513	34	25	9e-05	0.00026	2.708e+02	0.286	0.379	GO:0002889
514	31	13	9e-05	0.00026	4.145e+02	-0.085	0.491	GO:0006891
515	48	25	9e-05	0.00026	8.506e+02	0.054	0.426	GO:0007189
516	22	10	9e-05	0.00026	2.008e+02	-0.13	0.493	GO:0016338
517	42	22	9e-05	0.00026	6.501e+02	-0.092	0.542	GO:0023021
518	21	18	9e-05	0.00026	6.098e+01	0.445	0.388	GO:1901099
519	21	11	8e-05	0.0002	1.659e+02	0.11	0.404	GO:0002040
520	21	10	8e-05	0.00025	1.779e+02	-0.079	0.585	GO:0034502
521	52	23	8e-05	0.00025	1.113e+03	-0.066	0.41	GO:0042180
522	28	10	8e-05	0.00024	3.715e+02	-0.147	0.518	GO:0043462
523	86	48	8e-05	0.00024	2.559e+03	0.027	0.487	GO:0045995
524	43	19	8e-05	0.00023	7.647e+02	-0.048	0.379	GO:0008015
525	25	8	7e-05	0.00022	3.146e+02	-0.216	0.625	GO:0001937
526	21	12	7e-05	0.00022	1.539e+02	0.033	0.553	GO:0002675
527	32	18	7e-05	0.0002	3.576e+02	0.01	0.513	GO:0045931
528	20	10	7e-05	0.0002	1.559e+02	-0.091	0.549	GO:0046640
529	46	20	6e-05	0.00017	8.824e+02	-0.076	0.514	GO:0021782
530	20	10	6e-05	0.00017	1.559e+02	-0.086	0.603	GO:0048477
531	27	12	5e-05	0.00016	3.047e+02	-0.086	0.454	GO:0009220
532	41	19	5e-05	0.00016	6.750e+02	-0.028	0.485	GO:0048168
533	53	28	5e-05	0.00016	1.024e+03	-0.016	0.545	GO:0060359
534	28	11	5e-05	0.00014	3.526e+02	0.031	0.323	GO:0005979
535	26	12	5e-05	0.00014	2.757e+02	-0.116	0.463	GO:0033209
536	94	51	5e-05	0.00014	3.131e+03	0.133	0.37	GO:0042035
537	35	17	4e-05	0.00013	4.784e+02	0.05	0.411	GO:0007205
538	34	20	4e-05	0.00013	3.856e+02	0.036	0.496	GO:0010812
539	21	9	4e-05	0.00013	1.908e+02	-0.08	0.62	GO:0046320
540	44	20	4e-05	0.00013	7.857e+02	-0.076	0.455	GO:1901216
541	45	28	4e-05	0.00012	6.292e+02	0.106	0.466	GO:0002709
542	67	33	4e-05	0.00012	1.715e+03	-0.013	0.476	GO:0007009
543	20	12	4e-05	0.00012	1.329e+02	0.081	0.504	GO:0016241
544	88	39	4e-05	0.00011	3.157e+03	-0.076	0.432	GO:0000079
545	30	12	4e-05	0.00011	3.995e+02	-0.079	0.404	GO:0050873
546	27	13	3e-05	0.0001	2.887e+02	-0.063	0.491	GO:0031111
547	21	12	3e-05	0.0001	1.539e+02	0.062	0.457	GO:0035813
548	124	69	3e-05	0.0001	5.316e+03	0.039	0.464	GO:0050679
549	67	33	3e-05	8e-05	1.715e+03	-0.022	0.408	GO:0010469
550	22	9	2e-05	7e-05	2.148e+02	-0.174	0.52	GO:0002886
551	20	10	2e-05	7e-05	1.559e+02	0.021	0.537	GO:0030902
552	24	10	2e-05	7e-05	2.517e+02	-0.163	0.486	GO:0070098
553	53	27	2e-05	6e-05	1.052e+03	-0.02	0.449	GO:0001938
554	42	29	2e-05	6e-05	4.685e+02	0.196	0.413	GO:0002718
555	37	18	2e-05	6e-05	5.333e+02	-0.059	0.558	GO:0003151
556	25	14	2e-05	6e-05	2.208e+02	0.006	0.592	GO:0006611
557	38	19	2e-05	6e-05	5.513e+02	-0.066	0.506	GO:0030593
558	29	18	2e-05	5e-05	2.648e+02	0.109	0.417	GO:0031128
559	51	26	2e-05	5e-05	9.743e+02	0.015	0.46	GO:0032945
560	106	58	2e-05	5e-05	3.948e+03	0.055	0.457	GO:1901215
561	50	26	2e-05	5e-05	9.235e+02	0.082	0.448	GO:2000177
562	28	15	1e-05	4e-05	2.867e+02	0.003	0.475	GO:0032845
563	57	31	1e-05	2e-05	1.156e+03	0.005	0.517	GO:0003143
564	26	17	0.0	1e-05	1.989e+02	0.143	0.506	GO:0007212
565	21	9	0.0	1e-05	1.908e+02	-0.079	0.352	GO:0046834
566	24	10	0.0	1e-05	2.517e+02	-0.055	0.44	GO:0051568
