Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	48	38	1.0	0.0	4.357e+02	0.253	0.488	GO:0006939
2	32	27	1.0	0.0	1.509e+02	0.319	0.481	GO:0030101
3	44	36	1.0	0.0	3.248e+02	0.366	0.386	GO:0035872
4	186	154	0.95564	0.1003	5.444e+03	0.402	0.366	GO:2000116
5	29	24	0.94508	0.16408	1.359e+02	0.359	0.395	GO:0045777
6	92	68	0.85438	0.30197	1.930e+03	0.236	0.438	GO:0030595
7	22	15	0.7486	0.34773	1.339e+02	0.258	0.377	GO:0043576
8	31	26	0.74822	0.32069	1.459e+02	0.351	0.444	GO:0019692
9	92	79	0.58959	0.45214	1.118e+03	0.368	0.434	GO:0019886
10	23	15	0.57089	0.37797	1.569e+02	0.179	0.343	GO:0051180
11	89	54	0.54801	0.47185	2.515e+03	0.152	0.368	GO:0050707
12	36	25	0.51808	0.34456	3.417e+02	0.159	0.436	GO:0003007
13	41	25	0.50336	0.29983	5.364e+02	0.118	0.485	GO:0008542
14	55	31	0.42493	0.35458	1.043e+03	0.098	0.412	GO:0045727
15	49	29	0.4096	0.3334	7.899e+02	0.07	0.41	GO:0048588
16	104	60	0.39456	0.4372	3.620e+03	0.042	0.456	GO:0016049
17	84	45	0.38301	0.35666	2.529e+03	0.027	0.433	GO:0033365
18	94	79	0.33419	0.42601	1.304e+03	0.35	0.434	GO:0002495
19	26	18	0.32718	0.41803	1.809e+02	0.342	0.272	GO:0050710
20	33	24	0.30334	0.19081	2.618e+02	0.191	0.385	GO:0032370
21	23	19	0.28515	0.3135	8.697e+01	0.217	0.567	GO:0019098
22	61	38	0.28171	0.33262	1.149e+03	0.131	0.464	GO:0051705
23	125	68	0.28118	0.26396	5.509e+03	0.053	0.461	GO:0043543
24	30	17	0.23777	0.21691	3.127e+02	0.092	0.395	GO:0018410
25	22	15	0.18562	0.23536	1.339e+02	0.103	0.463	GO:0051181
26	40	25	0.15837	0.20144	4.955e+02	0.212	0.416	GO:0007422
27	29	24	0.15078	0.25011	1.359e+02	0.341	0.442	GO:0009394
28	46	27	0.15018	0.19772	7.030e+02	0.093	0.478	GO:0007632
29	114	79	0.14581	0.30244	3.387e+03	0.194	0.43	GO:0060326
30	22	18	0.13418	0.24354	8.297e+01	0.201	0.58	GO:0044705
31	39	25	0.12605	0.13504	4.555e+02	0.091	0.531	GO:0006691
32	25	14	0.12505	0.16494	2.208e+02	0.053	0.405	GO:0006501
33	24	15	0.12351	0.1651	1.809e+02	0.185	0.406	GO:0071514
34	29	21	0.11932	0.12586	2.049e+02	0.141	0.554	GO:0019370
35	44	27	0.10573	0.20596	6.122e+02	0.187	0.399	GO:0060078
36	34	27	0.10152	0.15564	2.179e+02	0.259	0.473	GO:0009262
37	65	39	0.08396	0.10523	1.363e+03	0.033	0.551	GO:0006368
38	60	38	0.07173	0.05726	1.088e+03	0.206	0.366	GO:0032088
39	45	29	0.06902	0.0875	6.003e+02	0.047	0.505	GO:0046456
40	53	29	0.06714	0.09942	9.953e+02	0.021	0.427	GO:0044801
41	41	25	0.06468	0.13989	5.364e+02	0.172	0.381	GO:0050709
42	29	18	0.06066	0.08664	2.648e+02	0.053	0.516	GO:0006099
43	20	15	0.055	0.05591	9.096e+01	0.318	0.366	GO:0019724
44	21	13	0.05044	0.06242	1.409e+02	0.157	0.377	GO:0021522
45	26	18	0.04989	0.08764	1.809e+02	0.21	0.456	GO:0033209
46	25	15	0.04944	0.0625	2.058e+02	0.021	0.464	GO:0043043
47	27	16	0.0475	0.07707	2.428e+02	0.091	0.458	GO:1901685
48	137	77	0.04647	0.13942	6.425e+03	0.096	0.407	GO:0050708
49	175	144	0.0457	0.1026	4.950e+03	0.399	0.361	GO:0043281
50	77	40	0.04175	0.08202	2.178e+03	-0.002	0.423	GO:0051099
51	28	18	0.04149	0.06132	2.358e+02	0.101	0.43	GO:2000242
52	20	12	0.03943	0.10902	1.329e+02	0.079	0.388	GO:0072337
53	49	31	0.03622	0.05924	7.290e+02	0.048	0.503	GO:0006636
54	42	25	0.03498	0.05364	5.783e+02	0.028	0.522	GO:0033762
55	113	58	0.03492	0.10389	4.713e+03	-0.014	0.462	GO:0006865
