Creation Time:	2022-12-29 18:19:47

INPUT:
File name:	crfe_v018.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_10_seed_19.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	2611015053

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4862
Proportion perturbed genes:	0.41541353383458646

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3548387096774194
beta (FNR):	0.24838709677419354
q (penalization parameter):	0.001


Best log-likelihood value (mean +- standard deviation across replicates):	-7909.029879135099 +- 2.97962052831052

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	48	38	1.0	0.0	4.357e+02	0.318	0.414	GO:0006939
2	22	22	1.0	0.0	1.000e+00	0.556	0.397	GO:0048873
3	32	29	1.0	0.0	9.397e+01	0.284	0.566	GO:0071277
4	28	22	0.85642	0.18016	1.539e+02	0.215	0.498	GO:0060348
5	92	63	0.83291	0.31462	2.258e+03	0.143	0.492	GO:0006721
6	148	104	0.68819	0.3428	5.550e+03	0.171	0.482	GO:0045216
7	130	102	0.65098	0.36824	3.256e+03	0.333	0.376	GO:0010951
8	45	39	0.61562	0.41925	2.559e+02	0.434	0.385	GO:0006094
9	37	26	0.47044	0.28469	3.527e+02	0.136	0.496	GO:0018210
10	29	23	0.40846	0.1838	1.599e+02	0.277	0.449	GO:0050805
11	33	22	0.38467	0.27836	3.087e+02	0.178	0.496	GO:0033692
12	133	103	0.34926	0.36838	3.548e+03	0.315	0.378	GO:0010466
13	176	119	0.31336	0.34585	8.404e+03	0.148	0.481	GO:0034330
14	54	43	0.24494	0.31605	5.395e+02	0.345	0.401	GO:0046364
15	20	15	0.23317	0.1633	9.096e+01	0.269	0.449	GO:0045773
16	109	70	0.15538	0.30463	3.501e+03	0.115	0.48	GO:0006720
17	34	24	0.12754	0.21891	2.958e+02	0.151	0.468	GO:0018107
18	23	16	0.1233	0.16076	1.409e+02	0.091	0.582	GO:0009595
19	47	29	0.09813	0.15018	6.931e+02	0.123	0.467	GO:0005977
20	26	18	0.09143	0.10359	1.809e+02	0.162	0.463	GO:0048662
21	49	39	0.08685	0.26054	4.457e+02	0.369	0.385	GO:0019319
22	48	29	0.08558	0.17252	7.410e+02	0.109	0.467	GO:0006073
23	69	43	0.07208	0.15652	1.467e+03	0.084	0.461	GO:0048660
24	28	18	0.06374	0.10875	2.358e+02	0.132	0.427	GO:0018146
25	115	76	0.05328	0.12246	3.735e+03	0.197	0.413	GO:0016051
26	20	14	0.05145	0.06129	1.059e+02	0.112	0.583	GO:0098581
27	33	20	0.04299	0.06607	3.517e+02	0.085	0.43	GO:0042339
28	41	28	0.02727	0.05148	4.556e+02	0.165	0.482	GO:0046889
29	34	22	0.02506	0.06111	3.427e+02	0.164	0.496	GO:0000271
30	45	28	0.01925	0.0534	6.292e+02	0.075	0.55	GO:0007416
31	28	18	0.01779	0.04264	2.358e+02	0.114	0.567	GO:0043470
32	23	15	0.01708	0.03768	1.569e+02	0.139	0.504	GO:0044773
33	26	17	0.01605	0.04012	1.989e+02	0.163	0.477	GO:0044774
34	34	22	0.0143	0.03598	3.427e+02	0.15	0.421	GO:2001021
35	65	37	0.014	0.0318	1.440e+03	0.097	0.45	GO:0044264
36	20	13	0.01278	0.03652	1.199e+02	0.058	0.602	GO:0002861
37	26	16	0.01245	0.02259	2.158e+02	-0.031	0.64	GO:0032350
38	82	54	0.0124	0.03719	1.915e+03	0.113	0.502	GO:0016101
39	40	23	0.0114	0.02279	5.443e+02	0.068	0.496	GO:0048639
40	20	13	0.01048	0.01301	1.199e+02	0.181	0.414	GO:0000413
41	26	15	0.00875	0.01812	2.318e+02	0.104	0.459	GO:0016339
42	42	26	0.00862	0.02586	5.524e+02	0.103	0.451	GO:0034644
43	26	17	0.00764	0.02293	1.989e+02	0.108	0.43	GO:0046503
44	37	22	0.00678	0.01827	4.505e+02	-0.029	0.653	GO:0050830
45	28	16	0.00614	0.01265	2.708e+02	-0.047	0.593	GO:0045055
46	37	19	0.00545	0.01636	5.134e+02	0.031	0.406	GO:0071479
47	33	19	0.00521	0.01564	3.716e+02	-0.024	0.614	GO:0065002
48	21	14	0.005	0.01356	1.269e+02	0.215	0.381	GO:0000272
