Creation Time:	2022-12-29 18:46:02

INPUT:
File name:	crfe_v018.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_10_seed_22.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	710915209

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4714
Proportion perturbed genes:	0.4027682843472317

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3548387096774194
beta (FNR):	0.3016129032258065
q (penalization parameter):	0.001


Best log-likelihood value (mean +- standard deviation across replicates):	-7933.45553809913 +- 1.4684358736818741

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	36	28	0.98231	0.0383	2.608e+02	0.274	0.46	GO:0042312
2	22	18	0.74926	0.21318	8.297e+01	0.343	0.397	GO:0090103
3	66	44	0.69817	0.30606	1.220e+03	0.141	0.496	GO:0002687
4	32	23	0.65774	0.21277	2.528e+02	0.168	0.548	GO:0032414
5	26	20	0.5517	0.16326	1.419e+02	0.262	0.457	GO:0070373
6	26	20	0.47642	0.15204	1.419e+02	0.292	0.389	GO:0043113
7	27	20	0.46936	0.22334	1.689e+02	0.318	0.399	GO:0043489
8	41	27	0.43654	0.30934	4.835e+02	0.129	0.535	GO:0008593
9	53	34	0.35452	0.18665	8.359e+02	0.109	0.51	GO:0042509
10	46	30	0.34866	0.13918	6.163e+02	0.106	0.499	GO:0042531
11	28	20	0.2395	0.1734	1.969e+02	0.154	0.528	GO:0060674
12	26	19	0.1237	0.14669	1.619e+02	0.21	0.447	GO:0044060
13	24	19	0.12251	0.18544	1.110e+02	0.312	0.357	GO:0070098
14	89	56	0.12202	0.20065	2.405e+03	0.107	0.509	GO:0002685
15	24	17	0.0758	0.08679	1.479e+02	0.139	0.518	GO:0009190
16	89	54	0.05804	0.099	2.515e+03	0.097	0.476	GO:0048520
17	25	18	0.05472	0.07303	1.549e+02	0.198	0.446	GO:0050691
18	29	19	0.04303	0.05636	2.458e+02	0.062	0.591	GO:0050853
19	22	17	0.03692	0.07171	1.010e+02	0.282	0.455	GO:2000401
20	46	27	0.0354	0.04683	7.031e+02	0.098	0.485	GO:0060041
21	39	24	0.03094	0.03145	4.805e+02	0.06	0.522	GO:0048806
22	44	27	0.03009	0.04343	6.123e+02	0.167	0.441	GO:0043487
23	34	20	0.02562	0.02525	3.856e+02	0.109	0.429	GO:0001569
24	135	74	0.02392	0.04004	6.380e+03	0.01	0.508	GO:0048754
25	43	26	0.02344	0.0263	5.953e+02	0.072	0.567	GO:0032677
26	53	30	0.02225	0.03587	9.655e+02	-0.054	0.579	GO:0043038
27	31	20	0.02052	0.0382	2.868e+02	0.185	0.381	GO:0060325
28	32	20	0.01836	0.03929	3.187e+02	0.124	0.5	GO:0032722
29	35	21	0.01832	0.04007	3.996e+02	0.045	0.566	GO:0002637
30	39	25	0.01808	0.03915	4.555e+02	0.098	0.54	GO:0032411
31	28	17	0.01681	0.02605	2.538e+02	0.061	0.586	GO:0033077
32	22	14	0.01666	0.01683	1.489e+02	0.089	0.459	GO:0001702
33	30	19	0.01644	0.02224	2.758e+02	0.098	0.503	GO:0010596
34	22	14	0.01602	0.01704	1.489e+02	0.081	0.482	GO:0061337
35	35	21	0.01533	0.01154	3.996e+02	0.057	0.557	GO:0006284
36	43	24	0.01451	0.01929	6.462e+02	0.06	0.454	GO:0007369
37	52	34	0.01448	0.03835	7.830e+02	0.114	0.496	GO:0002690
38	93	53	0.0138	0.02347	2.933e+03	0.043	0.499	GO:0032412
39	25	16	0.01291	0.01836	1.899e+02	0.176	0.425	GO:0090311
40	45	26	0.01228	0.0248	6.841e+02	0.027	0.474	GO:0031110
41	26	17	0.01205	0.01607	1.989e+02	0.193	0.331	GO:0097028
42	63	34	0.0115	0.02126	1.419e+03	0.029	0.503	GO:0010863
43	23	16	0.01058	0.01774	1.409e+02	0.094	0.576	GO:0032731
44	34	21	0.00923	0.0153	3.647e+02	0.057	0.526	GO:0010633
45	61	39	0.00884	0.02405	1.110e+03	0.1	0.522	GO:0002688
46	20	12	0.0088	0.01163	1.329e+02	0.049	0.514	GO:0051881
47	33	18	0.00778	0.00806	3.906e+02	0.1	0.482	GO:0030809
48	20	13	0.00762	0.01122	1.199e+02	0.128	0.442	GO:0002833
49	64	34	0.00758	0.01588	1.483e+03	0.026	0.503	GO:1900274
50	23	13	0.00682	0.01366	1.859e+02	0.005	0.523	GO:0086001
51	21	13	0.00678	0.01993	1.409e+02	0.061	0.6	GO:0045823
52	56	33	0.00659	0.01224	1.034e+03	0.031	0.577	GO:0045582
53	26	17	0.00654	0.00836	1.989e+02	0.101	0.479	GO:0002286
54	41	23	0.00634	0.00971	5.853e+02	0.082	0.419	GO:0050764
55	20	12	0.00626	0.00888	1.329e+02	0.048	0.611	GO:0032757
56	104	59	0.00588	0.0119	3.680e+03	-0.007	0.56	GO:0070665
57	69	39	0.0058	0.01739	1.633e+03	-0.011	0.575	GO:0042102
58	62	34	0.00565	0.01193	1.356e+03	0.031	0.528	GO:0002027
59	50	28	0.00561	0.00878	8.687e+02	-0.061	0.589	GO:0006418
60	26	15	0.00545	0.00751	2.318e+02	0.005	0.572	GO:0016339
61	100	56	0.0053	0.01527	3.445e+03	-0.028	0.58	GO:0050671
62	26	15	0.00517	0.01034	2.318e+02	0.075	0.51	GO:0002702
63	28	16	0.00508	0.01017	2.708e+02	0.034	0.514	GO:0035637
64	43	24	0.00501	0.01142	6.462e+02	0.038	0.48	GO:0030521
65	35	21	0.00494	0.00808	3.996e+02	0.041	0.508	GO:0002762
66	20	12	0.00485	0.00667	1.329e+02	-0.001	0.517	GO:0008210
67	42	24	0.00454	0.00808	6.032e+02	0.01	0.544	GO:0001658
68	20	10	0.00417	0.01066	1.559e+02	-0.148	0.643	GO:0045648
69	34	22	0.00415	0.00708	3.427e+02	0.101	0.607	GO:0032729
70	27	17	0.00393	0.00713	2.258e+02	0.082	0.476	GO:0048010
71	20	14	0.00378	0.00617	1.059e+02	0.174	0.485	GO:0052652
72	30	17	0.00362	0.01087	3.127e+02	-0.023	0.564	GO:0060135
73	24	13	0.00361	0.00526	2.098e+02	-0.048	0.519	GO:0006111
74	65	36	0.00354	0.0052	1.477e+03	-0.047	0.577	GO:0045639
75	27	16	0.0034	0.00825	2.428e+02	0.045	0.524	GO:0042517
76	28	18	0.0034	0.0074	2.358e+02	0.163	0.456	GO:0031663
77	96	50	0.00334	0.00529	3.372e+03	-0.041	0.546	GO:0002504
78	20	12	0.00328	0.00527	1.329e+02	0.037	0.513	GO:0046640
79	32	18	0.00322	0.00605	3.576e+02	-0.015	0.523	GO:0016445
80	21	12	0.00309	0.00504	1.539e+02	0.085	0.506	GO:0034502
81	38	22	0.00304	0.00494	4.885e+02	0.037	0.525	GO:0043392
82	97	55	0.0028	0.00836	3.205e+03	0.037	0.509	GO:0022898
83	43	25	0.0028	0.00369	6.212e+02	0.084	0.482	GO:0001910
84	24	14	0.00279	0.00838	1.959e+02	0.073	0.445	GO:0060343
