Creation Time:	2022-12-29 18:37:42

INPUT:
File name:	crfe_v018.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_10_seed_20.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	1247334580

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4883
Proportion perturbed genes:	0.4172077922077922

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3548387096774194
beta (FNR):	0.2838709677419355
q (penalization parameter):	0.001


Best log-likelihood value (mean +- standard deviation across replicates):	-7960.196521391944 +- 1.5151360795546407

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
68	24	19	0.00396	0.00589	1.110e+02	0.235	0.473	GO:0014031
69	21	14	0.00394	0.00977	1.269e+02	0.149	0.501	GO:0048665
70	31	17	0.0036	0.00678	3.437e+02	0.029	0.504	GO:0090278
71	31	19	0.00358	0.00543	3.067e+02	0.052	0.47	GO:0043666
72	24	13	0.0034	0.00682	2.098e+02	0.012	0.509	GO:0007492
73	50	33	0.00336	0.00682	7.141e+02	0.184	0.433	GO:0048489
74	41	22	0.00334	0.00969	6.082e+02	0.004	0.495	GO:0050764
75	29	16	0.00306	0.00918	2.997e+02	-0.035	0.423	GO:0000737
76	32	19	0.00298	0.00725	3.387e+02	-0.027	0.666	GO:0032720
77	27	17	0.00295	0.00757	2.258e+02	0.057	0.601	GO:0055007
78	21	10	0.00292	0.00377	1.779e+02	-0.099	0.564	GO:0071312
79	26	16	0.00286	0.00567	2.158e+02	0.125	0.48	GO:0010559
80	25	17	0.00285	0.00647	1.729e+02	0.095	0.526	GO:0060998
81	51	28	0.00278	0.00558	9.195e+02	0.063	0.411	GO:0051952
82	41	26	0.00275	0.00428	5.104e+02	0.076	0.548	GO:0008542
83	27	17	0.00273	0.00818	2.258e+02	0.113	0.396	GO:0051983
84	28	16	0.00272	0.00817	2.708e+02	0.089	0.432	GO:0030032
85	29	18	0.00268	0.0054	2.648e+02	0.082	0.49	GO:0051453
86	30	22	0.00256	0.00767	2.129e+02	0.164	0.46	GO:0048864
87	32	18	0.00249	0.00467	3.576e+02	0.035	0.514	GO:0002792
88	28	18	0.00245	0.0034	2.358e+02	0.094	0.479	GO:0043388
89	33	19	0.00243	0.00565	3.716e+02	0.046	0.483	GO:0042220
90	21	12	0.00243	0.00728	1.539e+02	0.229	0.309	GO:1901099
91	28	15	0.00232	0.00647	2.867e+02	0.007	0.45	GO:0046189
92	39	22	0.0023	0.00426	5.274e+02	0.012	0.493	GO:0030004
93	23	12	0.00226	0.00454	1.988e+02	0.02	0.485	GO:0072525
94	29	17	0.00225	0.00523	2.828e+02	0.103	0.465	GO:0008361
95	32	18	0.0022	0.00552	3.576e+02	-0.041	0.568	GO:0071320
96	49	30	0.00217	0.00652	7.600e+02	0.15	0.417	GO:0045740
97	42	26	0.00216	0.00649	5.524e+02	0.098	0.546	GO:0035051
98	24	13	0.00216	0.00429	2.098e+02	0.004	0.449	GO:0070588
99	36	23	0.00213	0.00438	3.906e+02	0.153	0.42	GO:0003007
100	26	16	0.00209	0.00423	2.158e+02	0.05	0.474	GO:0014910
101	25	16	0.00195	0.0047	1.899e+02	0.202	0.357	GO:0001659
102	20	11	0.00195	0.00586	1.449e+02	0.053	0.457	GO:0051954
103	47	28	0.00192	0.00577	7.220e+02	0.011	0.519	GO:0001776
104	21	13	0.00191	0.00385	1.409e+02	0.111	0.528	GO:0014003
105	26	19	0.00189	0.00568	1.619e+02	0.153	0.524	GO:0042246
106	23	14	0.00184	0.00326	1.719e+02	0.117	0.451	GO:0043030
107	41	24	0.00183	0.0055	5.613e+02	0.016	0.586	GO:0010464
108	56	33	0.0018	0.00495	1.034e+03	0.046	0.496	GO:0045582
109	30	21	0.00179	0.0053	2.348e+02	0.12	0.514	GO:0003156
110	58	32	0.00178	0.00421	1.182e+03	0.038	0.482	GO:0006521
111	41	27	0.00171	0.0024	4.835e+02	0.085	0.538	GO:0001709
