Creation Time:	2023-01-11 15:47:25

INPUT:
File name:	crfe_v019_b2.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_5_seed_2.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	2.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	10000
MCMC steps:	20000
Maximal value for alpha and beta:	0.375
Maximal possible value for alpha and beta:	0.375
Probability parameter change:	0.2
seed for RNG:	1700008564

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4711
Proportion perturbed genes:	0.40251196172248804

OUTPUT:
Learnt parameters:
alpha (FPR):	0.375
beta (FNR):	0.375
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-7966.07723475762 +- 2.13688411485633

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	66	48	0.99704	0.00886	1.035e+03	0.213	0.445	GO:0007043
2	40	29	0.92294	0.09613	3.857e+02	0.272	0.39	GO:0006383
3	20	17	0.82038	0.24838	5.798e+01	0.388	0.406	GO:0030902
4	58	44	0.72575	0.42417	7.213e+02	0.229	0.48	GO:0010955
5	32	21	0.28583	0.1966	2.978e+02	0.114	0.461	GO:0045931
6	161	94	0.2743	0.42422	8.539e+03	0.072	0.459	GO:0070613
7	34	20	0.20091	0.16234	3.856e+02	0.119	0.404	GO:0034121
8	57	31	0.08086	0.09409	1.156e+03	0.072	0.424	GO:0055092
9	30	19	0.07532	0.06611	2.758e+02	0.212	0.392	GO:0018149
10	25	16	0.06783	0.08207	1.899e+02	0.143	0.456	GO:0030206
11	34	20	0.0643	0.08909	3.856e+02	0.073	0.47	GO:0051865
12	21	15	0.06014	0.07969	1.119e+02	0.101	0.586	GO:0009084
13	117	64	0.0579	0.08723	4.807e+03	0.045	0.446	GO:0030178
14	56	30	0.0567	0.13108	1.130e+03	0.057	0.436	GO:0042632
15	40	24	0.05515	0.06066	5.204e+02	0.07	0.47	GO:0006953
16	51	30	0.04934	0.06572	8.608e+02	0.012	0.502	GO:2001252
17	30	19	0.04631	0.05512	2.758e+02	0.082	0.534	GO:0046632
18	104	58	0.04346	0.05234	3.739e+03	0.085	0.462	GO:0090316
19	183	97	0.04084	0.10507	1.202e+04	0.044	0.467	GO:0051222
20	26	18	0.03617	0.04563	1.809e+02	0.091	0.615	GO:0006298
21	38	22	0.02511	0.05259	4.885e+02	0.037	0.431	GO:1901800
22	43	24	0.02442	0.05057	6.462e+02	-0.023	0.505	GO:0031058
23	23	14	0.02386	0.05021	1.719e+02	0.068	0.49	GO:0002026
24	23	16	0.02269	0.02326	1.409e+02	0.16	0.49	GO:0045930
25	35	21	0.01912	0.03733	3.996e+02	0.138	0.491	GO:0043044
26	36	20	0.01738	0.03065	4.565e+02	-0.014	0.449	GO:0048024
27	40	22	0.01664	0.03459	5.673e+02	0.029	0.431	GO:0016126
28	34	19	0.01643	0.01905	4.056e+02	0.04	0.435	GO:0006695
29	22	12	0.01628	0.02136	1.759e+02	0.151	0.218	GO:0032728
30	86	49	0.01626	0.02889	2.511e+03	0.044	0.495	GO:0030217
31	27	17	0.01569	0.02611	2.258e+02	0.088	0.515	GO:0034446
32	23	13	0.01532	0.02668	1.859e+02	0.134	0.321	GO:0009595
33	26	16	0.01443	0.01291	2.158e+02	0.096	0.529	GO:0044060
34	111	61	0.01345	0.02962	4.312e+03	0.009	0.495	GO:0045787
35	44	26	0.01158	0.0141	6.392e+02	0.037	0.489	GO:0002920
36	30	17	0.00953	0.01465	3.127e+02	0.093	0.442	GO:0071827
37	25	14	0.00937	0.01533	2.208e+02	0.177	0.401	GO:0061217
38	31	17	0.00925	0.0107	3.437e+02	-0.004	0.406	GO:0031060
39	22	13	0.0084	0.01245	1.629e+02	0.044	0.514	GO:0035412
40	31	18	0.00811	0.01218	3.257e+02	0.097	0.458	GO:0071825
41	21	13	0.00799	0.01298	1.409e+02	0.122	0.479	GO:0045823
42	28	16	0.00795	0.01652	2.708e+02	0.048	0.479	GO:0045739
43	28	15	0.00768	0.01095	2.867e+02	0.025	0.458	GO:0035567
44	39	23	0.00758	0.01523	5.044e+02	0.14	0.41	GO:0048806
45	32	18	0.00754	0.01311	3.576e+02	0.117	0.448	GO:0000578
46	80	43	0.00747	0.0146	2.289e+03	-0.054	0.502	GO:0031056
47	25	13	0.00708	0.01543	2.348e+02	0.069	0.435	GO:0031055
48	23	14	0.00649	0.01312	1.719e+02	0.083	0.48	GO:0007530
49	35	18	0.00644	0.01526	4.595e+02	0.047	0.436	GO:0007205
50	31	18	0.00632	0.01588	3.257e+02	0.107	0.561	GO:0051004
