E-MTAB-7915		ERR3300738	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-7915		ERR3300738	characteristic	organism part	colon	http://purl.obolibrary.org/obo/UBERON_0001155
E-MTAB-7915		ERR3300738	factor	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-7915		ERR3300739	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-7915		ERR3300739	characteristic	individual	HC2
E-MTAB-7915		ERR3300739	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-7915		ERR3300739	characteristic	organism part	colon	http://purl.obolibrary.org/obo/UBERON_0001155
E-MTAB-7915		ERR3300739	factor	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-7915		ERR3300740	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-7915		ERR3300740	characteristic	individual	HC2
E-MTAB-7915		ERR3300740	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-7915		ERR3300740	characteristic	organism part	colon	http://purl.obolibrary.org/obo/UBERON_0001155
E-MTAB-7915		ERR3300740	factor	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-7915		ERR3300741	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-7915		ERR3300741	characteristic	individual	HC2
E-MTAB-7915		ERR3300741	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-7915		ERR3300741	characteristic	organism part	colon	http://purl.obolibrary.org/obo/UBERON_0001155
E-MTAB-7915		ERR3300741	factor	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-7915		ERR3300742	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-7915		ERR3300742	characteristic	individual	HC2
E-MTAB-7915		ERR3300742	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-7915		ERR3300742	characteristic	organism part	colon	http://purl.obolibrary.org/obo/UBERON_0001155
E-MTAB-7915		ERR3300742	factor	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-7915		ERR3300743	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-7915		ERR3300743	characteristic	individual	HC3-2
E-MTAB-7915		ERR3300743	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-7915		ERR3300743	characteristic	organism part	colon	http://purl.obolibrary.org/obo/UBERON_0001155
E-MTAB-7915		ERR3300743	factor	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-7915		ERR3300744	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-7915		ERR3300744	characteristic	individual	HC3-2
E-MTAB-7915		ERR3300744	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-7915		ERR3300744	characteristic	organism part	colon	http://purl.obolibrary.org/obo/UBERON_0001155
E-MTAB-7915		ERR3300744	factor	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-7915		ERR3300745	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-7915		ERR3300745	characteristic	individual	HC3-2
E-MTAB-7915		ERR3300745	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-7915		ERR3300745	characteristic	organism part	colon	http://purl.obolibrary.org/obo/UBERON_0001155
E-MTAB-7915		ERR3300745	factor	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-7915		ERR3300746	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-7915		ERR3300746	characteristic	individual	HC3-2
E-MTAB-7915		ERR3300746	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-7915		ERR3300746	characteristic	organism part	colon	http://purl.obolibrary.org/obo/UBERON_0001155
E-MTAB-7915		ERR3300746	factor	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-7915		ERR3300747	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
