Creation Time:	2023-01-11 15:47:21

INPUT:
File name:	crfe_v019_b1.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_5_seed_2.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	10000
MCMC steps:	20000
Maximal value for alpha and beta:	0.5
Maximal possible value for alpha and beta:	0.5
Probability parameter change:	0.2
seed for RNG:	933477966

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4711
Proportion perturbed genes:	0.40251196172248804

OUTPUT:
Learnt parameters:
alpha (FPR):	0.4
beta (FNR):	0.275
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-7873.512470241893 +- 1.7757132927835302

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
68	22	11	0.00072	0.00181	1.879e+02	0.007	0.516	GO:1901532
69	41	19	0.00069	0.00159	6.750e+02	-0.076	0.46	GO:0048168
70	38	19	0.00068	0.00206	5.513e+02	-0.057	0.55	GO:0030049
71	25	14	0.00068	0.00204	2.208e+02	0.059	0.519	GO:0060444
72	22	11	0.00068	0.00202	1.879e+02	0.05	0.378	GO:0006509
73	62	36	0.00068	0.00202	1.286e+03	0.035	0.542	GO:0009953
74	22	12	0.00068	0.00202	1.759e+02	0.099	0.306	GO:0048048
75	26	15	0.00065	0.00154	2.318e+02	0.056	0.527	GO:0045806
76	23	12	0.00064	0.0014	1.988e+02	-0.039	0.604	GO:0048713
77	22	12	0.00062	0.00187	1.759e+02	-0.032	0.577	GO:0006829
78	21	12	0.00062	0.00123	1.539e+02	0.003	0.523	GO:0035710
79	20	11	0.00062	0.00129	1.449e+02	0.054	0.387	GO:2000108
80	35	19	0.0006	0.00154	4.405e+02	-0.005	0.501	GO:0002637
81	23	12	0.00058	0.00173	1.988e+02	-0.046	0.56	GO:0043030
82	31	14	0.00056	0.00166	3.955e+02	-0.101	0.498	GO:0010977
83	39	20	0.0005	0.00151	5.703e+02	-0.01	0.524	GO:0060402
84	29	15	0.0005	0.0015	3.157e+02	-0.002	0.554	GO:0051496
85	24	13	0.0005	0.00149	2.098e+02	-0.033	0.611	GO:0060334
86	28	15	0.0005	0.00149	2.867e+02	0.115	0.417	GO:2000242
87	23	13	0.00049	0.00133	1.859e+02	0.079	0.466	GO:0034367
88	58	31	0.00048	0.00142	1.214e+03	0.047	0.481	GO:0050715
89	33	18	0.00047	0.00106	3.906e+02	-0.044	0.591	GO:0007131
90	21	11	0.00047	0.00141	1.659e+02	0.142	0.291	GO:0050704
91	20	9	0.00046	0.0014	1.679e+02	-0.11	0.525	GO:0072676
92	44	24	0.00046	0.00138	6.901e+02	-0.019	0.536	GO:0000018
93	32	15	0.00043	0.0013	4.105e+02	0.027	0.447	GO:0097194
94	34	20	0.00042	0.00128	3.856e+02	0.073	0.47	GO:0051865
95	56	30	0.00042	0.00126	1.130e+03	0.057	0.436	GO:0042632
96	85	45	0.00041	0.00123	2.614e+03	-0.071	0.515	GO:1903308
97	23	12	0.00039	0.00117	1.988e+02	0.013	0.544	GO:0061515
98	50	28	0.00038	0.00116	8.687e+02	0.038	0.525	GO:2000177
99	111	61	0.00038	0.00112	4.312e+03	0.009	0.495	GO:0045787
100	24	12	0.00038	0.00112	2.228e+02	-0.019	0.537	GO:0060397
101	31	16	0.00036	0.0011	3.606e+02	-0.066	0.518	GO:0051057
102	29	16	0.00036	0.00107	2.997e+02	-0.044	0.64	GO:0001954
103	22	12	0.00035	0.00105	1.759e+02	0.052	0.555	GO:0015985
104	24	10	0.00033	0.00099	2.518e+02	-0.271	0.589	GO:0071514
105	23	10	0.00032	0.00096	2.258e+02	-0.108	0.484	GO:0051180
106	23	11	0.00031	0.00093	2.118e+02	-0.09	0.431	GO:0007062
107	41	21	0.0003	0.00082	6.301e+02	0.006	0.483	GO:0050709
108	20	9	0.0003	0.0009	1.679e+02	-0.092	0.442	GO:0060479
109	21	10	0.0003	0.0009	1.779e+02	0.002	0.389	GO:2000351
110	22	10	0.00029	0.00087	2.008e+02	-0.065	0.538	GO:0034698
111	21	11	0.00028	0.00067	1.659e+02	-0.12	0.663	GO:0009651
112	28	16	0.00027	0.00082	2.708e+02	0.048	0.479	GO:0045739
113	26	13	0.00026	0.00078	2.608e+02	0.093	0.339	GO:0002088
114	30	17	0.00026	0.00078	3.127e+02	0.022	0.523	GO:0022400
115	39	21	0.00026	0.00056	5.493e+02	0.076	0.375	GO:0032104
116	21	10	0.00026	0.00053	1.779e+02	-0.062	0.462	GO:0035088
117	24	13	0.00025	0.00067	2.098e+02	0.112	0.46	GO:0003279
118	24	10	0.00025	0.0005	2.518e+02	-0.131	0.529	GO:0032228
119	23	10	0.00025	0.00075	2.258e+02	-0.12	0.466	GO:0042755
120	23	13	0.00025	0.00075	1.859e+02	-0.043	0.55	GO:0072595
121	23	12	0.00024	0.00074	1.988e+02	0.004	0.525	GO:1900449
122	20	10	0.00024	0.0006	1.559e+02	-0.008	0.581	GO:0046949
123	32	18	0.00024	0.00072	3.576e+02	0.117	0.448	GO:0000578
124	27	14	0.00024	0.00072	2.738e+02	-0.001	0.453	GO:0010470
125	28	14	0.00024	0.00072	3.017e+02	-0.072	0.44	GO:1903309
126	26	14	0.00024	0.0007	2.468e+02	0.093	0.519	GO:0090218
127	26	11	0.00022	0.00068	2.917e+02	-0.171	0.623	GO:0055013
128	21	8	0.00022	0.00068	2.048e+02	-0.112	0.507	GO:1901099
129	20	10	0.00022	0.00066	1.559e+02	-0.142	0.644	GO:0009208
130	37	17	0.00022	0.00064	5.543e+02	-0.08	0.488	GO:0018210
131	30	15	0.00022	0.00064	3.456e+02	0.032	0.463	GO:0043331
132	20	9	0.00021	0.00063	1.679e+02	-0.042	0.552	GO:0046461
133	20	9	0.00021	0.00063	1.679e+02	-0.08	0.546	GO:2000779
134	23	14	0.00021	0.00061	1.719e+02	0.068	0.49	GO:0002026
135	39	18	0.0002	0.0006	6.131e+02	0.073	0.393	GO:0060420
136	21	10	0.0002	0.00058	1.779e+02	-0.058	0.501	GO:0000272
137	28	14	0.0002	0.00058	3.017e+02	0.025	0.523	GO:0032845
138	21	10	0.00019	0.00057	1.779e+02	-0.032	0.519	GO:0000718
139	24	10	0.00018	0.00054	2.518e+02	-0.206	0.61	GO:0006261
140	30	12	0.00018	0.00054	3.995e+02	-0.107	0.519	GO:0018410
141	25	13	0.00018	0.00054	2.348e+02	0.069	0.435	GO:0031055
142	33	15	0.00018	0.00054	4.455e+02	0.086	0.224	GO:0032648
143	63	30	0.00018	0.00054	1.553e+03	-0.072	0.465	GO:0043484
144	34	17	0.00018	0.00054	4.425e+02	-0.044	0.576	GO:0046580
145	62	31	0.00017	0.00051	1.455e+03	-0.076	0.608	GO:0009142
146	28	14	0.00017	0.0004	3.017e+02	-0.11	0.549	GO:0043470
147	28	15	0.00016	0.0005	2.867e+02	-0.064	0.517	GO:0046579
148	56	30	0.00016	0.00048	1.130e+03	0.055	0.503	GO:0016266
149	39	20	0.00016	0.00048	5.703e+02	-0.002	0.418	GO:0051017
150	35	17	0.00016	0.00046	4.784e+02	0.048	0.393	GO:0042752
151	23	12	0.00016	0.00047	1.988e+02	-0.133	0.549	GO:1901661
152	28	13	0.00015	0.00045	3.177e+02	0.018	0.447	GO:0006309
153	23	14	0.00014	0.00042	1.719e+02	0.046	0.531	GO:0043278
154	23	9	0.00014	0.00042	2.408e+02	-0.165	0.538	GO:0044062
155	36	21	0.00014	0.00042	4.355e+02	0.026	0.547	GO:0046631
156	32	17	0.00014	0.00028	3.756e+02	0.055	0.473	GO:0009948
157	36	21	0.00014	0.0004	4.355e+02	0.053	0.431	GO:0032436
158	33	17	0.00014	0.0004	4.086e+02	0.063	0.468	GO:0043550
