E-MTAB-6975		ERR2685833	characteristic	cell line	H9
E-MTAB-6975		ERR2685833	characteristic	cell type	neuron	http://purl.obolibrary.org/obo/CL_0000540
E-MTAB-6975		ERR2685833	characteristic	developmental stage	embryo	http://purl.obolibrary.org/obo/UBERON_0000922
E-MTAB-6975		ERR2685833	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-6975		ERR2685833	characteristic	genotype	wild type genotype
E-MTAB-6975		ERR2685833	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-6975		ERR2685833	characteristic	progenitor cell type	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322
E-MTAB-6975		ERR2685833	factor	sampling time point	12 hour
E-MTAB-6975		ERR2685833	factor	stimulus	brain-derived neurotrophic factor
E-MTAB-6975		ERR2685834	characteristic	cell line	H9
E-MTAB-6975		ERR2685834	characteristic	cell type	neuron	http://purl.obolibrary.org/obo/CL_0000540
E-MTAB-6975		ERR2685834	characteristic	developmental stage	embryo	http://purl.obolibrary.org/obo/UBERON_0000922
E-MTAB-6975		ERR2685834	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-6975		ERR2685834	characteristic	genotype	wild type genotype
E-MTAB-6975		ERR2685834	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-6975		ERR2685834	characteristic	progenitor cell type	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322
E-MTAB-6975		ERR2685834	factor	sampling time point	12 hour
E-MTAB-6975		ERR2685834	factor	stimulus	brain-derived neurotrophic factor
E-MTAB-6975		ERR2685835	characteristic	cell line	H9
E-MTAB-6975		ERR2685835	characteristic	cell type	neuron	http://purl.obolibrary.org/obo/CL_0000540
E-MTAB-6975		ERR2685835	characteristic	developmental stage	embryo	http://purl.obolibrary.org/obo/UBERON_0000922
E-MTAB-6975		ERR2685835	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-6975		ERR2685835	characteristic	genotype	wild type genotype
E-MTAB-6975		ERR2685835	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-6975		ERR2685835	characteristic	progenitor cell type	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322
E-MTAB-6975		ERR2685835	factor	sampling time point	12 hour
E-MTAB-6975		ERR2685835	factor	stimulus	brain-derived neurotrophic factor
E-MTAB-6975		ERR2685836	characteristic	cell line	H9
E-MTAB-6975		ERR2685836	characteristic	cell type	neuron	http://purl.obolibrary.org/obo/CL_0000540
E-MTAB-6975		ERR2685836	characteristic	developmental stage	embryo	http://purl.obolibrary.org/obo/UBERON_0000922
E-MTAB-6975		ERR2685836	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-6975		ERR2685836	characteristic	genotype	wild type genotype
E-MTAB-6975		ERR2685836	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-6975		ERR2685836	characteristic	progenitor cell type	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322
E-MTAB-6975		ERR2685836	factor	sampling time point	12 hour
E-MTAB-6975		ERR2685836	factor	stimulus	brain-derived neurotrophic factor
E-MTAB-6975		ERR2685837	characteristic	cell line	H9
E-MTAB-6975		ERR2685837	characteristic	cell type	neuron	http://purl.obolibrary.org/obo/CL_0000540
E-MTAB-6975		ERR2685837	characteristic	developmental stage	embryo	http://purl.obolibrary.org/obo/UBERON_0000922
E-MTAB-6975		ERR2685837	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-6975		ERR2685837	characteristic	genotype	wild type genotype
E-MTAB-6975		ERR2685837	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-6975		ERR2685837	characteristic	progenitor cell type	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322
E-MTAB-6975		ERR2685837	factor	sampling time point	12 hour
E-MTAB-6975		ERR2685837	factor	stimulus	brain-derived neurotrophic factor
E-MTAB-6975		ERR2685838	characteristic	cell line	H9
E-MTAB-6975		ERR2685838	characteristic	cell type	neuron	http://purl.obolibrary.org/obo/CL_0000540
E-MTAB-6975		ERR2685838	characteristic	developmental stage	embryo	http://purl.obolibrary.org/obo/UBERON_0000922
E-MTAB-6975		ERR2685838	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-6975		ERR2685838	characteristic	genotype	wild type genotype
E-MTAB-6975		ERR2685838	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-6975		ERR2685838	characteristic	progenitor cell type	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322
E-MTAB-6975		ERR2685838	factor	sampling time point	12 hour
E-MTAB-6975		ERR2685838	factor	stimulus	brain-derived neurotrophic factor
E-MTAB-6975		ERR2685839	characteristic	cell line	H9
E-MTAB-6975		ERR2685839	characteristic	cell type	neuron	http://purl.obolibrary.org/obo/CL_0000540
E-MTAB-6975		ERR2685839	characteristic	developmental stage	embryo	http://purl.obolibrary.org/obo/UBERON_0000922
E-MTAB-6975		ERR2685839	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-6975		ERR2685839	characteristic	genotype	wild type genotype
E-MTAB-6975		ERR2685839	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-6975		ERR2685839	characteristic	progenitor cell type	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322
E-MTAB-6975		ERR2685839	factor	sampling time point	12 hour
E-MTAB-6975		ERR2685839	factor	stimulus	brain-derived neurotrophic factor
E-MTAB-6975		ERR2685840	characteristic	cell line	H9
E-MTAB-6975		ERR2685840	characteristic	cell type	neuron	http://purl.obolibrary.org/obo/CL_0000540
E-MTAB-6975		ERR2685840	characteristic	developmental stage	embryo	http://purl.obolibrary.org/obo/UBERON_0000922
E-MTAB-6975		ERR2685840	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-6975		ERR2685840	characteristic	genotype	wild type genotype
E-MTAB-6975		ERR2685840	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-6975		ERR2685840	characteristic	progenitor cell type	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322
E-MTAB-6975		ERR2685840	factor	sampling time point	12 hour
E-MTAB-6975		ERR2685840	factor	stimulus	brain-derived neurotrophic factor
E-MTAB-6975		ERR2685841	characteristic	cell line	H9
E-MTAB-6975		ERR2685841	characteristic	cell type	neuron	http://purl.obolibrary.org/obo/CL_0000540
E-MTAB-6975		ERR2685841	characteristic	developmental stage	embryo	http://purl.obolibrary.org/obo/UBERON_0000922
E-MTAB-6975		ERR2685841	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-6975		ERR2685841	characteristic	genotype	wild type genotype
E-MTAB-6975		ERR2685841	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-6975		ERR2685841	characteristic	progenitor cell type	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322
E-MTAB-6975		ERR2685841	factor	sampling time point	12 hour
E-MTAB-6975		ERR2685841	factor	stimulus	brain-derived neurotrophic factor
E-MTAB-6975		ERR2685842	characteristic	cell line	H9
E-MTAB-6975		ERR2685842	characteristic	cell type	neuron	http://purl.obolibrary.org/obo/CL_0000540
E-MTAB-6975		ERR2685842	characteristic	developmental stage	embryo	http://purl.obolibrary.org/obo/UBERON_0000922
E-MTAB-6975		ERR2685842	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-6975		ERR2685842	characteristic	genotype	wild type genotype
E-MTAB-6975		ERR2685842	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-6975		ERR2685842	characteristic	progenitor cell type	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322
E-MTAB-6975		ERR2685842	factor	sampling time point	12 hour
E-MTAB-6975		ERR2685842	factor	stimulus	brain-derived neurotrophic factor
