         13662333 function calls (13516061 primitive calls) in 12.827 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5519    0.001    0.000    0.001    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2118(_sum_dispatcher)
     5590    0.001    0.000    0.001    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/multiarray.py:736(dot)
        6    0.001    0.000    0.001    0.000 {built-in method io.open}
      311    0.001    0.000    0.001    0.000 {built-in method builtins.round}
       84    0.001    0.000    0.001    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:470(<listcomp>)
     5525    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
       75    0.001    0.000    0.001    0.000 {built-in method numpy.array}
        3    0.001    0.000    0.001    0.000 {method 'close' of '_io.TextIOWrapper' objects}
     2822    0.001    0.000    0.001    0.000 {built-in method builtins.min}
        1    0.001    0.001    0.001    0.001 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:363(<listcomp>)
        1    0.001    0.001    0.014    0.014 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:522(p_values_of_list)
     3659    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       84    0.001    0.000    0.011    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:516(p_value)
        5    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
        7    0.000    0.000    0.016    0.002 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
        5    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.182    0.182 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:631(load_annotation_data)
        1    0.000    0.000    0.010    0.010 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:762(writeOut)
     2506    0.000    0.000    0.000    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:910(<lambda>)
      134    0.000    0.000    0.004    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/ipykernel/iostream.py:502(write)
     4023    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
3297/3274    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      143    0.000    0.000    0.003    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/ipykernel/iostream.py:208(schedule)
       89    0.000    0.000    0.001    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/_methods.py:162(_mean)
        1    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/io/parsers/c_parser_wrapper.py:45(__init__)
        1    0.000    0.000    0.000    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:460(<listcomp>)
        1    0.000    0.000    0.002    0.002 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:458(mean_gene_level)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.700    0.700 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:336(<listcomp>)
