         13664404 function calls (13518132 primitive calls) in 24.845 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      293    0.001    0.000    0.001    0.000 {built-in method builtins.round}
        6    0.001    0.000    0.001    0.000 {built-in method io.open}
       75    0.001    0.000    0.001    0.000 {built-in method numpy.array}
        1    0.001    0.001    0.001    0.001 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:359(<listcomp>)
     2771    0.001    0.000    0.001    0.000 {built-in method builtins.min}
        1    0.001    0.001    0.015    0.015 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:518(p_values_of_list)
       77    0.001    0.000    0.012    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:512(p_value)
     3659    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        5    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
        3    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
       93    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.011    0.011 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:758(writeOut)
        1    0.000    0.000    0.170    0.170 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:627(load_annotation_data)
       82    0.000    0.000    0.001    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/_methods.py:162(_mean)
        1    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:456(<listcomp>)
        1    0.000    0.000    0.004    0.004 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:454(mean_gene_level)
     2506    0.000    0.000    0.000    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:906(<lambda>)
        7    0.000    0.000    0.012    0.002 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
        5    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       82    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(mean)
3255/3232    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      134    0.000    0.000    0.004    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/ipykernel/iostream.py:502(write)
       82    0.000    0.000    0.002    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3322(mean)
       84    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/_methods.py:66(_count_reduce_items)
     3995    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      143    0.000    0.000    0.003    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/ipykernel/iostream.py:208(schedule)
        1    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/io/parsers/c_parser_wrapper.py:45(__init__)
        1    0.000    0.000    0.691    0.691 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:332(<listcomp>)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.001    0.001 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:709(writeOut_MCMC)
       19    0.000    0.000    0.004    0.000 {built-in method builtins.print}
      143    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/threading.py:1071(is_alive)
        1    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_2d_axis0_object_object}
        1    0.000    0.000    0.001    0.001 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/sorting.py:357(nargsort)
        1    0.000    0.000    0.000    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:566(delete_too_large_and_too_small_terms)
       10    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_2d_axis0_float64_float64}
        1    0.000    0.000    0.000    0.000 {method 'take' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/internals/managers.py:2060(_stack_arrays)
        3    0.000    0.000    0.000    0.000 {pandas._libs.lib.maybe_convert_objects}
        1    0.000    0.000    0.013    0.013 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:39(get_expression_data)
      6/3    0.000    0.000    0.001    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/indexes/base.py:397(__new__)
      134    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/ipykernel/iostream.py:420(_is_master_process)
        1    0.000    0.000    0.011    0.011 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/io/parsers/readers.py:539(_read)
      143    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/threading.py:1017(_wait_for_tstate_lock)
      143    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/io/parsers/c_parser_wrapper.py:344(_concatenate_chunks)
        2    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/_methods.py:195(_var)
        5    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        2    0.000    0.000    0.000    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:35(<listcomp>)
      143    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/ipykernel/iostream.py:97(_event_pipe)
      261    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        5    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
      6/5    0.000    0.000    0.001    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/series.py:323(__init__)
        1    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.054    0.018 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:606(loadvar)
        1    0.000    0.000    0.000    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:333(<listcomp>)
        7    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/construction.py:470(sanitize_array)
       14    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/IPython/core/interactiveshell.py:3215(_update_code_co_name)
        1    0.000    0.000    0.011    0.011 <__array_function__ internals>:2(searchsorted)
      129    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      134    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/ipykernel/iostream.py:439(_schedule_flush)
       46    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1587(_is_dtype_type)
       90    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/dtypes/generic.py:43(_check)
      156    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/function_base.py:23(linspace)
        2    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
