         12947837 function calls (12801565 primitive calls) in 19.157 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5589    6.436    0.001    6.436    0.001 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/2384768003.py:179(<listcomp>)
  5494162    2.969    0.000    2.969    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/2384768003.py:213(gene_no_longer_annotated_to_selected_terms)
  5495406    2.968    0.000    2.968    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/2384768003.py:203(new_gene_annotated_to_selected_terms)
    85124    2.219    0.000    5.187    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/2384768003.py:223(add_term)
    85098    2.122    0.000    5.091    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/2384768003.py:245(remove_term)
     5591    0.702    0.000    0.702    0.000 {built-in method builtins.sum}
        1    0.334    0.334   18.882   18.882 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/2384768003.py:376(MCMC_alg)
225024/78781    0.319    0.000    0.563    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    54999    0.249    0.000   12.674    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/2384768003.py:142(propose_MCMC_state)
    55000    0.127    0.000    0.166    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/2384768003.py:292(get_score)
        1    0.087    0.087    0.120    0.120 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/2384768003.py:575(remove_genes_not_annotated_to_any_term)
       20    0.071    0.004    0.590    0.030 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/2384768003.py:115(get_specific_rates)
    73120    0.064    0.000    0.416    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/lib/function_base.py:4762(append)
        3    0.055    0.018    0.055    0.018 {built-in method _pickle.load}
   289636    0.048    0.000    0.048    0.000 {built-in method math.log}
    54285    0.042    0.000    5.098    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/2384768003.py:273(undo_proposal)
    73120    0.038    0.000    0.080    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1718(ravel)
    73123    0.035    0.000    0.177    0.000 <__array_function__ internals>:2(concatenate)
    73120    0.029    0.000    0.519    0.000 <__array_function__ internals>:2(append)
    73120    0.029    0.000    0.167    0.000 <__array_function__ internals>:2(ravel)
   146336    0.026    0.000    0.026    0.000 {built-in method numpy.asanyarray}
        1    0.019    0.019    0.019    0.019 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/2384768003.py:576(<listcomp>)
   164997    0.016    0.000    0.016    0.000 {method 'random' of '_random.Random' objects}
    73120    0.015    0.000    0.015    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        2    0.013    0.007    0.013    0.007 {method 'union' of 'set' objects}
        3    0.013    0.004    0.013    0.004 {method 'argsort' of 'numpy.ndarray' objects}
73915/73914    0.011    0.000    0.011    0.000 {built-in method builtins.isinstance}
        1    0.010    0.010    0.010    0.010 {method 'searchsorted' of 'numpy.ndarray' objects}
        1    0.008    0.008    0.009    0.009 {method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
        1    0.008    0.008    0.008    0.008 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/2384768003.py:795(<listcomp>)
