Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	44	35	1.0	0.0	3.607e+02	0.321	0.385	GO:0031424
2	25	19	0.80231	0.31045	1.359e+02	0.15	0.52	GO:0051693
3	32	26	0.6859	0.34702	1.779e+02	0.291	0.49	GO:0045620
4	32	23	0.65557	0.34658	2.528e+02	0.281	0.407	GO:0016486
5	63	50	0.65253	0.3995	7.413e+02	0.32	0.399	GO:0030819
6	58	43	0.62151	0.41249	7.652e+02	0.3	0.384	GO:0032943
7	45	31	0.57992	0.36185	5.394e+02	0.214	0.365	GO:0006094
8	45	34	0.52673	0.35214	4.406e+02	0.187	0.556	GO:0045685
9	32	23	0.50089	0.19963	2.528e+02	0.217	0.474	GO:0016445
10	29	24	0.42378	0.29555	1.359e+02	0.303	0.502	GO:0014014
11	56	42	0.37849	0.41249	6.933e+02	0.319	0.377	GO:0046651
12	65	51	0.34798	0.39912	8.191e+02	0.3	0.408	GO:0030816
13	49	33	0.33228	0.27135	6.642e+02	0.193	0.371	GO:0019319
14	39	25	0.27279	0.18918	4.555e+02	0.075	0.548	GO:0030004
15	23	19	0.2171	0.30073	8.697e+01	0.301	0.475	GO:0045581
16	28	19	0.17777	0.2371	2.169e+02	0.231	0.438	GO:2001238
17	25	16	0.09404	0.14944	1.899e+02	0.141	0.401	GO:0061217
18	52	32	0.0559	0.06998	8.498e+02	0.055	0.515	GO:0006282
19	20	14	0.05498	0.08318	1.059e+02	0.099	0.539	GO:2000779
20	27	17	0.05403	0.08136	2.258e+02	0.068	0.555	GO:0007052
21	61	42	0.04915	0.10398	9.877e+02	0.152	0.517	GO:0014013
22	24	15	0.04806	0.05777	1.809e+02	0.218	0.396	GO:0043500
23	20	13	0.04691	0.0539	1.199e+02	0.135	0.476	GO:0015721
24	46	27	0.04232	0.05918	7.031e+02	-0.02	0.617	GO:1902600
25	54	33	0.03705	0.07759	9.236e+02	0.134	0.371	GO:0046364
26	49	30	0.03138	0.04534	7.600e+02	0.076	0.543	GO:0051084
27	29	18	0.02294	0.03206	2.648e+02	-0.018	0.658	GO:0015988
28	20	13	0.02223	0.0329	1.199e+02	0.106	0.493	GO:0014743
29	22	14	0.01735	0.02657	1.489e+02	0.076	0.578	GO:0045879
30	22	13	0.01672	0.03124	1.629e+02	0.087	0.4	GO:0090189
31	30	18	0.01464	0.01842	2.947e+02	0.169	0.41	GO:0045604
32	24	18	0.01316	0.02956	1.299e+02	0.292	0.449	GO:0016447
33	23	14	0.01314	0.02725	1.719e+02	0.079	0.463	GO:0033146
34	54	33	0.01246	0.02589	9.236e+02	0.081	0.523	GO:0006458
35	22	13	0.012	0.03391	1.629e+02	0.065	0.52	GO:0006278
36	29	19	0.0118	0.03541	2.458e+02	0.076	0.52	GO:0030835
37	22	13	0.0107	0.01606	1.629e+02	0.112	0.431	GO:0043576
38	22	13	0.00945	0.01552	1.629e+02	0.08	0.422	GO:0051926
39	31	19	0.00908	0.01477	3.067e+02	0.05	0.566	GO:0030641
40	32	19	0.00887	0.02662	3.387e+02	-0.013	0.574	GO:0006488
41	41	25	0.00874	0.02184	5.364e+02	0.1	0.493	GO:0002200
42	47	26	0.00862	0.02003	7.769e+02	0.105	0.43	GO:0006096
43	100	59	0.0085	0.0218	3.272e+03	0.07	0.465	GO:2001020
44	23	13	0.00798	0.02102	1.859e+02	-0.063	0.555	GO:0006270
45	28	17	0.00784	0.01702	2.538e+02	0.169	0.382	GO:0032845
46	22	18	0.00731	0.01795	8.297e+01	0.243	0.559	GO:0048710
47	42	25	0.00626	0.01573	5.783e+02	0.036	0.516	GO:0032092
48	28	18	0.00518	0.0131	2.358e+02	0.079	0.494	GO:0043114
49	23	13	0.00508	0.01205	1.859e+02	-0.006	0.451	GO:0003254
50	20	12	0.00482	0.01409	1.329e+02	0.069	0.45	GO:0007029
51	22	12	0.00461	0.01382	1.759e+02	0.096	0.369	GO:0003208
52	20	14	0.00449	0.01134	1.059e+02	0.082	0.654	GO:0030104
53	33	17	0.00407	0.01222	4.085e+02	0.072	0.39	GO:0071326
54	60	36	0.00398	0.00619	1.163e+03	0.066	0.497	GO:2001235
55	34	20	0.00379	0.01138	3.856e+02	0.037	0.542	GO:0030834
56	53	30	0.00374	0.00867	9.655e+02	-0.025	0.491	GO:0050807
57	24	17	0.00347	0.0104	1.479e+02	0.128	0.574	GO:0045687
58	27	16	0.00309	0.0064	2.428e+02	0.058	0.615	GO:0051983
59	20	11	0.00303	0.0091	1.449e+02	-0.082	0.47	GO:0051962
60	37	21	0.0029	0.00457	4.725e+02	0.045	0.471	GO:0031047
61	28	16	0.00252	0.00527	2.708e+02	0.011	0.537	GO:0005979
62	21	13	0.00246	0.00511	1.409e+02	0.075	0.535	GO:0010165
63	20	10	0.00227	0.00682	1.559e+02	-0.108	0.419	GO:0033574
64	37	27	0.00213	0.0064	3.258e+02	0.295	0.399	GO:0042098
65	27	16	0.00199	0.00399	2.428e+02	-0.045	0.646	GO:0040020
66	21	12	0.00197	0.00592	1.539e+02	0.092	0.511	GO:0033198
67	22	14	0.0019	0.00526	1.489e+02	0.113	0.467	GO:0019933
68	30	17	0.00173	0.00518	3.127e+02	0.123	0.39	GO:0071333
69	21	14	0.00171	0.00425	1.269e+02	0.123	0.527	GO:0008045
70	37	19	0.00171	0.00353	5.134e+02	-0.038	0.559	GO:0010833
71	26	15	0.00157	0.00472	2.318e+02	0.024	0.509	GO:0043502
72	59	32	0.00151	0.00452	1.241e+03	-0.057	0.61	GO:0015992
73	22	12	0.00148	0.00443	1.759e+02	0.037	0.489	GO:0061005
74	31	16	0.00146	0.00437	3.606e+02	0.005	0.501	GO:0071825
75	33	19	0.00145	0.00291	3.716e+02	0.001	0.589	GO:0009069
76	21	10	0.00139	0.00288	1.779e+02	0.033	0.354	GO:0000718
77	23	12	0.00131	0.00392	1.988e+02	-0.124	0.616	GO:0007176
78	34	17	0.0013	0.00353	4.425e+02	-0.085	0.622	GO:0042254
79	33	17	0.00118	0.00354	4.085e+02	-0.122	0.477	GO:0051963
80	23	13	0.00118	0.00353	1.859e+02	0.042	0.463	GO:0009148
81	36	19	0.00117	0.0035	4.764e+02	0.008	0.454	GO:0030433
82	35	19	0.0011	0.00251	4.405e+02	0.076	0.478	GO:0007566
83	20	10	0.00101	0.00304	1.559e+02	-0.07	0.578	GO:0008210
84	40	21	0.00096	0.00289	5.892e+02	-0.009	0.488	GO:0050819
85	22	12	0.00096	0.00287	1.759e+02	0.048	0.476	GO:0035249
86	21	12	0.00094	0.00188	1.539e+02	0.134	0.414	GO:0045616
87	34	17	0.0009	0.0027	4.425e+02	0.109	0.453	GO:0010812
88	21	11	0.00088	0.00247	1.659e+02	-0.018	0.477	GO:0035813
89	29	17	0.00085	0.00254	2.828e+02	0.037	0.55	GO:0051453
90	29	15	0.00079	0.00238	3.157e+02	0.02	0.533	GO:1902115
91	20	12	0.00077	0.00175	1.329e+02	-0.082	0.633	GO:0021795
92	22	18	0.00077	0.0023	8.297e+01	0.307	0.507	GO:0045686
93	22	11	0.00073	0.0022	1.879e+02	-0.032	0.437	GO:0006906
94	23	12	0.00073	0.0022	1.988e+02	-0.091	0.605	GO:0050927
95	98	54	0.00071	0.00149	3.357e+03	-0.001	0.539	GO:0006487
96	26	14	0.0007	0.00211	2.468e+02	0.017	0.481	GO:0046825
97	34	18	0.00069	0.00146	4.245e+02	-0.051	0.477	GO:0045840
98	61	32	0.00068	0.00203	1.361e+03	-0.087	0.61	GO:0006818
99	46	25	0.00065	0.00194	7.559e+02	0.07	0.442	GO:0072164
100	21	13	0.00064	0.00193	1.409e+02	0.032	0.629	GO:0031016
101	47	25	0.00064	0.00193	8.028e+02	0.049	0.442	GO:0072163
102	22	13	0.00064	0.00191	1.629e+02	0.103	0.482	GO:0034698
103	25	14	0.00062	0.00185	2.208e+02	-0.013	0.478	GO:0060444
104	63	44	0.00058	0.00175	1.026e+03	0.258	0.379	GO:0070661
105	34	20	0.00058	0.00173	3.856e+02	0.095	0.476	GO:0002562
106	34	18	0.00058	0.00173	4.245e+02	-0.036	0.531	GO:0032881
107	21	12	0.00056	0.00168	1.539e+02	0.173	0.335	GO:0072009
108	20	12	0.00056	0.00113	1.329e+02	-0.009	0.553	GO:0030902
109	23	15	0.00056	0.00168	1.569e+02	0.148	0.459	GO:0002828
110	31	19	0.00054	0.00162	3.067e+02	0.005	0.585	GO:0051445
111	35	18	0.0005	0.00151	4.595e+02	0.021	0.415	GO:0042993
112	36	18	0.00048	0.00144	4.954e+02	-0.106	0.655	GO:0006040
113	48	25	0.00047	0.0014	8.507e+02	-0.044	0.596	GO:0008589
114	27	14	0.00044	0.00132	2.738e+02	-0.013	0.489	GO:0009220
115	21	13	0.00043	0.00128	1.409e+02	0.141	0.408	GO:0002720
116	40	21	0.00042	0.00126	5.892e+02	0.042	0.435	GO:0001657
117	28	16	0.00042	0.00126	2.708e+02	0.056	0.493	GO:0045739
118	42	21	0.00042	0.00126	6.720e+02	-0.039	0.549	GO:0072528
119	33	18	0.00041	0.00122	3.906e+02	-0.003	0.46	GO:0007131
120	20	10	0.00038	0.00114	1.559e+02	0.046	0.491	GO:0050685
121	22	13	0.00037	0.001	1.629e+02	0.055	0.429	GO:1902229
122	23	11	0.00036	0.00108	2.118e+02	-0.07	0.479	GO:0009595
123	26	15	0.00036	0.00107	2.318e+02	0.117	0.423	GO:0051602
124	34	18	0.00034	0.00103	4.245e+02	-0.079	0.598	GO:0051055
125	28	15	0.00034	0.00102	2.867e+02	-0.065	0.505	GO:0009225
126	39	20	0.00034	0.00101	5.703e+02	-0.028	0.56	GO:0090382
127	23	12	0.00032	0.00097	1.988e+02	0.01	0.46	GO:0071695
128	48	26	0.00032	0.00095	8.248e+02	0.042	0.447	GO:0033143
129	24	13	0.00032	0.00095	2.098e+02	-0.022	0.601	GO:0048147
130	45	24	0.00031	0.00062	7.349e+02	0.027	0.458	GO:0046717
131	44	25	0.0003	0.00091	6.651e+02	0.087	0.421	GO:0060078
