Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	94	71	1.0	0.0	1.907e+03	0.316	0.377	GO:0045471
2	139	103	0.99046	0.02861	4.364e+03	0.274	0.435	GO:0032259
3	45	30	0.74798	0.15442	5.704e+02	0.139	0.521	GO:0001704
4	27	20	0.66585	0.23926	1.689e+02	0.393	0.31	GO:0045912
5	62	40	0.64033	0.34667	1.132e+03	0.162	0.46	GO:0031023
6	22	18	0.56082	0.31574	8.297e+01	0.324	0.402	GO:0002886
7	55	37	0.52976	0.18947	8.369e+02	0.11	0.523	GO:0050806
8	71	50	0.47204	0.35381	1.280e+03	0.142	0.528	GO:0038123
9	21	17	0.27861	0.26614	7.897e+01	0.311	0.407	GO:0043300
10	97	64	0.17941	0.26548	2.668e+03	0.153	0.484	GO:0034142
11	35	23	0.17051	0.10192	3.547e+02	0.114	0.46	GO:0001942
12	73	51	0.16778	0.20516	1.374e+03	0.147	0.519	GO:0034134
13	38	26	0.16228	0.21002	3.907e+02	0.173	0.488	GO:0051225
14	58	37	0.12423	0.20157	1.007e+03	0.172	0.443	GO:0051297
15	65	46	0.0947	0.13521	1.064e+03	0.147	0.529	GO:0034146
16	50	31	0.09045	0.11244	7.789e+02	0.142	0.467	GO:0008630
17	34	22	0.08949	0.15856	3.427e+02	0.14	0.454	GO:0034121
18	32	20	0.08914	0.07927	3.187e+02	0.102	0.458	GO:0006312
19	82	54	0.078	0.11271	1.915e+03	0.095	0.525	GO:0002755
20	34	22	0.07097	0.09962	3.427e+02	0.063	0.587	GO:0001707
21	27	18	0.06834	0.06957	2.079e+02	0.106	0.547	GO:0034453
22	23	15	0.05366	0.03944	1.569e+02	0.149	0.475	GO:0006536
23	36	22	0.04846	0.05271	4.136e+02	0.087	0.506	GO:0070997
24	21	14	0.04654	0.061	1.269e+02	0.051	0.561	GO:1901099
25	23	16	0.04316	0.06742	1.409e+02	0.345	0.316	GO:0010677
