Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	39	36	1.0	0.0	1.150e+02	0.47	0.419	GO:0060411
2	31	25	0.99107	0.02678	1.719e+02	0.24	0.535	GO:0070192
3	73	52	0.94983	0.1505	1.322e+03	0.236	0.459	GO:0090305
4	29	21	0.77344	0.22995	2.049e+02	0.235	0.369	GO:0050805
5	23	18	0.72387	0.22913	1.060e+02	0.205	0.532	GO:1901992
6	63	51	0.69664	0.23236	6.904e+02	0.359	0.411	GO:0070304
7	106	75	0.52856	0.45495	2.816e+03	0.218	0.403	GO:0042129
8	69	54	0.45783	0.46509	9.300e+02	0.299	0.412	GO:0042102
9	62	50	0.24175	0.24299	6.784e+02	0.355	0.413	GO:0032874
10	66	45	0.2411	0.24858	1.175e+03	0.088	0.575	GO:0002687
11	24	18	0.15715	0.17512	1.299e+02	0.188	0.532	GO:1901989
12	115	71	0.14251	0.21308	4.103e+03	0.093	0.497	GO:0048562
13	28	20	0.13725	0.12099	1.969e+02	0.185	0.452	GO:0003073
14	22	15	0.12026	0.18167	1.339e+02	0.13	0.451	GO:0018200
15	30	23	0.11358	0.14568	1.899e+02	0.124	0.594	GO:0003156
16	133	77	0.10555	0.20451	5.887e+03	0.056	0.492	GO:0044703
17	49	30	0.07122	0.09436	7.600e+02	0.088	0.474	GO:0006998
18	53	44	0.0646	0.14246	4.417e+02	0.383	0.421	GO:0046330
19	26	18	0.05928	0.04141	1.809e+02	0.168	0.431	GO:0007215
20	30	20	0.05673	0.07507	2.558e+02	0.042	0.583	GO:0045168
21	22	16	0.05611	0.0825	1.179e+02	0.105	0.556	GO:0048048
22	21	18	0.05085	0.06807	6.098e+01	0.385	0.421	GO:0032673
23	23	16	0.04752	0.06512	1.409e+02	0.236	0.359	GO:0001990
24	25	20	0.03901	0.05052	1.160e+02	0.294	0.474	GO:0045058
25	25	17	0.03828	0.08055	1.729e+02	0.216	0.499	GO:0040036
26	22	17	0.03598	0.06032	1.010e+02	0.33	0.362	GO:0010799
27	21	16	0.03412	0.04634	9.596e+01	0.252	0.507	GO:0035710
28	21	15	0.0282	0.07989	1.119e+02	0.169	0.564	GO:0002675
29	72	46	0.02804	0.08413	1.545e+03	0.128	0.478	GO:0006308
30	42	28	0.02548	0.03603	4.975e+02	0.099	0.59	GO:0001755
31	66	40	0.02523	0.06192	1.389e+03	0.064	0.551	GO:0042475
32	29	18	0.02514	0.0381	2.648e+02	0.035	0.502	GO:0045777
33	26	16	0.02216	0.04173	2.158e+02	0.197	0.397	GO:0016339
34	20	14	0.01771	0.03244	1.059e+02	0.2	0.427	GO:0030902
35	22	14	0.01666	0.03766	1.489e+02	0.002	0.571	GO:0051181
36	51	35	0.01619	0.02819	6.962e+02	0.206	0.345	GO:0032945
37	31	19	0.01464	0.02653	3.067e+02	0.031	0.535	GO:0035094
38	29	19	0.01425	0.01449	2.458e+02	0.039	0.569	GO:0031128
39	150	98	0.01276	0.03828	6.452e+03	0.173	0.407	GO:0050670
40	26	16	0.0101	0.01586	2.158e+02	0.001	0.582	GO:0009954
41	37	23	0.00942	0.01645	4.276e+02	0.072	0.492	GO:0007077
42	37	21	0.00941	0.02287	4.725e+02	-0.042	0.611	GO:0001656
43	34	22	0.00845	0.01719	3.427e+02	0.178	0.468	GO:0045840
44	95	53	0.00841	0.02524	3.121e+03	0.013	0.482	GO:0048167
45	24	14	0.00738	0.01501	1.959e+02	0.027	0.569	GO:0006361
46	23	14	0.00728	0.0118	1.719e+02	0.015	0.594	GO:0051180
47	39	22	0.00692	0.01611	5.274e+02	-0.012	0.528	GO:0001756
48	36	23	0.00686	0.014	3.906e+02	0.172	0.418	GO:0046631
49	21	13	0.00651	0.01954	1.409e+02	0.234	0.397	GO:0030239
50	20	12	0.00624	0.0124	1.329e+02	0.092	0.426	GO:0003341
51	30	22	0.00612	0.01317	2.129e+02	0.191	0.463	GO:2000514
52	22	13	0.00599	0.01796	1.629e+02	-0.002	0.572	GO:0006906
53	92	54	0.00596	0.01558	2.787e+03	0.046	0.535	GO:0042476
54	21	14	0.00585	0.0073	1.269e+02	0.173	0.468	GO:0033081
55	29	18	0.00557	0.01405	2.648e+02	0.09	0.503	GO:0007157
56	21	14	0.00546	0.01168	1.269e+02	0.18	0.405	GO:0072009
57	33	23	0.00543	0.0163	2.858e+02	0.207	0.445	GO:0043550
58	21	12	0.00537	0.00825	1.539e+02	0.045	0.501	GO:0006363
59	27	18	0.00494	0.01003	2.079e+02	0.18	0.442	GO:0050663
60	30	19	0.00477	0.00948	2.758e+02	0.153	0.43	GO:0046632
61	24	14	0.0045	0.01351	1.959e+02	0.138	0.42	GO:0006261
62	28	20	0.00425	0.00879	1.969e+02	0.153	0.487	GO:0043370
63	73	44	0.00422	0.01082	1.709e+03	0.101	0.477	GO:0048704
64	71	41	0.00395	0.01157	1.693e+03	0.056	0.499	GO:0006606
65	63	35	0.00378	0.00864	1.384e+03	0.056	0.458	GO:0043484
66	31	16	0.00373	0.01008	3.606e+02	-0.062	0.6	GO:0009452
67	23	13	0.0037	0.00777	1.859e+02	0.022	0.538	GO:0048484
68	20	11	0.00364	0.01026	1.449e+02	0.047	0.405	GO:0045773
69	22	13	0.00346	0.01038	1.629e+02	0.038	0.487	GO:0021915
70	22	14	0.00334	0.00696	1.489e+02	0.144	0.494	GO:0017145
71	23	12	0.00329	0.00986	1.988e+02	-0.086	0.516	GO:0007530
72	32	19	0.00287	0.00607	3.387e+02	0.133	0.489	GO:0097194
73	20	12	0.00261	0.00782	1.329e+02	0.154	0.441	GO:0010714
74	39	22	0.0026	0.00781	5.274e+02	0.092	0.453	GO:0002260
75	22	15	0.0026	0.00592	1.339e+02	0.14	0.45	GO:0045622
76	41	27	0.0026	0.00651	4.835e+02	0.143	0.395	GO:0010464
77	31	19	0.00245	0.00431	3.067e+02	0.053	0.522	GO:0030279
78	20	12	0.00244	0.0061	1.329e+02	0.073	0.57	GO:0000381
79	26	14	0.00244	0.00554	2.468e+02	-0.026	0.476	GO:0051851
80	40	25	0.00235	0.00706	4.955e+02	0.113	0.474	GO:0031343
81	21	11	0.00224	0.00541	1.659e+02	-0.045	0.598	GO:0009651
82	89	53	0.00215	0.00564	2.569e+03	0.073	0.505	GO:0048520
83	21	13	0.00195	0.00536	1.409e+02	0.173	0.413	GO:0032925
84	74	43	0.00194	0.00582	1.826e+03	0.108	0.424	GO:0032481
85	20	14	0.00192	0.00385	1.059e+02	0.264	0.457	GO:0060045
86	83	43	0.00191	0.00574	2.534e+03	0.01	0.505	GO:0006353
87	21	13	0.00188	0.0054	1.409e+02	0.063	0.495	GO:0043300
88	21	11	0.00181	0.00422	1.659e+02	0.041	0.528	GO:0009084
89	28	17	0.0018	0.00369	2.538e+02	0.104	0.464	GO:0016574
90	43	23	0.00179	0.00375	6.701e+02	-0.05	0.545	GO:0035282
91	77	47	0.00167	0.00502	1.872e+03	0.094	0.487	GO:0050921
92	52	34	0.00155	0.00466	7.830e+02	0.075	0.534	GO:0002690
93	24	12	0.00151	0.00454	2.228e+02	0.071	0.375	GO:0051385
94	25	16	0.00147	0.00442	1.899e+02	0.181	0.432	GO:0010543
95	67	45	0.00142	0.00351	1.242e+03	0.162	0.487	GO:0045621
96	20	11	0.00137	0.0039	1.449e+02	0.025	0.505	GO:0009235
97	29	16	0.00133	0.004	2.997e+02	0.007	0.466	GO:0048747
98	51	27	0.00126	0.00377	9.474e+02	-0.011	0.507	GO:0007200
99	49	31	0.00121	0.00271	7.291e+02	0.041	0.511	GO:0060485
100	39	24	0.00118	0.00236	4.805e+02	0.074	0.46	GO:0071322
101	28	16	0.00116	0.00282	2.708e+02	0.103	0.357	GO:0018146
102	36	20	0.00112	0.00317	4.565e+02	0.057	0.492	GO:0048024
103	23	14	0.00102	0.00306	1.719e+02	0.137	0.439	GO:0032965
104	21	12	0.00099	0.0024	1.539e+02	0.074	0.428	GO:0045823
105	20	12	0.00096	0.00219	1.329e+02	0.021	0.551	GO:0002861
106	78	44	0.00096	0.00287	2.087e+03	0.056	0.463	GO:0007565
107	39	23	0.00094	0.00282	5.044e+02	0.126	0.443	GO:0060420
108	22	14	0.00091	0.00221	1.489e+02	0.028	0.5	GO:2000401
109	41	22	0.00086	0.00259	6.082e+02	0.092	0.422	GO:0002200
110	151	98	0.00085	0.00254	6.602e+03	0.165	0.407	GO:0032944
111	23	11	0.00084	0.00252	2.118e+02	-0.027	0.484	GO:1903313
112	20	9	0.00083	0.0025	1.679e+02	-0.15	0.558	GO:0070271
113	40	23	0.00082	0.00245	5.443e+02	0.036	0.472	GO:0050772
114	34	19	0.0008	0.00175	4.056e+02	0.031	0.501	GO:0045668
115	20	16	0.00079	0.00213	7.497e+01	0.388	0.374	GO:0046640
116	22	12	0.00079	0.00167	1.759e+02	0.047	0.479	GO:0042417
117	32	21	0.00076	0.00171	2.978e+02	0.077	0.505	GO:2000107
118	26	15	0.00076	0.00154	2.318e+02	0.128	0.436	GO:0048013
119	28	18	0.00076	0.00227	2.358e+02	0.149	0.448	GO:0043551
120	36	20	0.00075	0.00226	4.565e+02	0.091	0.445	GO:0045333
121	22	12	0.00075	0.00224	1.759e+02	0.103	0.473	GO:0051293
122	30	19	0.0007	0.00168	2.758e+02	0.122	0.466	GO:0072175
123	22	12	0.00068	0.00203	1.759e+02	0.075	0.393	GO:0051491
124	29	15	0.00066	0.00198	3.157e+02	0.004	0.476	GO:0051893
125	113	64	0.00065	0.00196	4.348e+03	0.056	0.484	GO:0044706
126	24	13	0.00064	0.00128	2.098e+02	-0.062	0.474	GO:0042537
127	28	15	0.00061	0.00182	2.867e+02	-0.037	0.528	GO:0043114
128	26	14	0.00059	0.00178	2.468e+02	0.092	0.397	GO:2000243
129	26	12	0.00059	0.00176	2.757e+02	-0.121	0.528	GO:0000722
130	28	22	0.00059	0.00118	1.539e+02	0.288	0.484	GO:0006309
131	60	31	0.00059	0.00176	1.332e+03	0.028	0.445	GO:0015833
132	21	20	0.00056	0.00169	2.200e+01	0.526	0.369	GO:0060412
133	34	19	0.00054	0.00163	4.056e+02	0.051	0.521	GO:2000379
134	47	30	0.00053	0.00115	6.632e+02	0.137	0.509	GO:0042733
135	39	20	0.00053	0.00113	5.703e+02	0.027	0.404	GO:0006778
136	40	21	0.0005	0.00104	5.892e+02	0.024	0.511	GO:0006383
137	37	22	0.0005	0.00149	4.505e+02	0.074	0.544	GO:0001974
138	37	25	0.00048	0.00143	3.787e+02	0.204	0.439	GO:0003151
139	23	13	0.00047	0.00142	1.859e+02	0.111	0.342	GO:0043534
140	22	11	0.00047	0.0014	1.879e+02	-0.07	0.4	GO:0071384
141	36	22	0.00046	0.00139	4.136e+02	0.118	0.434	GO:0048538
142	24	15	0.00045	0.00092	1.809e+02	0.08	0.415	GO:0003279
