Creation Time:	2022-12-29 18:22:01

INPUT:
File name:	crfe_v018.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_10_seed_19.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	2.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	1190145101

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4862
Proportion perturbed genes:	0.41541353383458646

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3548387096774194
beta (FNR):	0.2838709677419355
q (penalization parameter):	0.001


Best log-likelihood value (mean +- standard deviation across replicates):	-7972.98542687039 +- 2.387315058995201

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	48	38	1.0	0.0	4.357e+02	0.318	0.414	GO:0006939
2	22	22	1.0	0.0	1.000e+00	0.556	0.397	GO:0048873
3	32	29	1.0	0.0	9.397e+01	0.284	0.566	GO:0071277
4	92	63	0.74486	0.26764	2.258e+03	0.143	0.492	GO:0006721
5	130	102	0.64128	0.34597	3.256e+03	0.333	0.376	GO:0010951
6	29	23	0.62764	0.33473	1.599e+02	0.277	0.449	GO:0050805
7	28	22	0.60772	0.35914	1.539e+02	0.215	0.498	GO:0060348
8	115	76	0.6	0.4899	3.735e+03	0.197	0.413	GO:0016051
9	148	104	0.50666	0.35424	5.550e+03	0.171	0.482	GO:0045216
10	176	119	0.49367	0.3544	8.404e+03	0.148	0.481	GO:0034330
11	34	24	0.39702	0.27039	2.958e+02	0.151	0.468	GO:0018107
12	28	18	0.38464	0.26045	2.358e+02	0.132	0.427	GO:0018146
13	133	103	0.35872	0.34597	3.548e+03	0.315	0.378	GO:0010466
14	20	15	0.33494	0.18511	9.096e+01	0.269	0.449	GO:0045773
15	37	26	0.32045	0.28742	3.527e+02	0.136	0.496	GO:0018210
16	45	39	0.27494	0.42493	2.559e+02	0.434	0.385	GO:0006094
17	33	20	0.20035	0.27023	3.517e+02	0.085	0.43	GO:0042339
18	109	70	0.17873	0.27229	3.501e+03	0.115	0.48	GO:0006720
19	47	29	0.1531	0.26912	6.931e+02	0.123	0.467	GO:0005977
20	23	16	0.10961	0.17388	1.409e+02	0.091	0.582	GO:0009595
21	69	43	0.10816	0.1309	1.467e+03	0.084	0.461	GO:0048660
22	49	39	0.10106	0.29965	4.457e+02	0.369	0.385	GO:0019319
23	34	22	0.09216	0.11231	3.427e+02	0.15	0.421	GO:2001021
24	26	18	0.07735	0.13396	1.809e+02	0.162	0.463	GO:0048662
25	48	29	0.07184	0.14154	7.410e+02	0.109	0.467	GO:0006073
26	76	51	0.04951	0.13988	1.598e+03	0.124	0.516	GO:0001523
27	114	65	0.04518	0.05598	4.396e+03	0.047	0.465	GO:0007281
28	30	18	0.04197	0.08109	2.947e+02	0.142	0.384	GO:0018208
29	33	22	0.03829	0.08465	3.087e+02	0.178	0.496	GO:0033692
30	21	14	0.0369	0.06711	1.269e+02	0.215	0.381	GO:0000272
31	26	17	0.03685	0.07198	1.989e+02	0.163	0.477	GO:0044774
32	71	40	0.03295	0.06657	1.733e+03	0.094	0.449	GO:0005976
33	82	54	0.0304	0.09121	1.915e+03	0.113	0.502	GO:0016101
34	23	16	0.02826	0.04301	1.409e+02	0.164	0.426	GO:0090207
35	54	43	0.02506	0.07519	5.395e+02	0.345	0.401	GO:0046364
36	20	13	0.02462	0.04027	1.199e+02	0.181	0.414	GO:0000413
37	20	14	0.02234	0.04474	1.059e+02	0.112	0.583	GO:0098581
38	22	14	0.0214	0.04918	1.489e+02	0.142	0.515	GO:0010799
39	34	22	0.02037	0.03428	3.427e+02	0.164	0.496	GO:0000271
40	42	26	0.0192	0.02389	5.524e+02	0.103	0.451	GO:0034644
41	34	22	0.0167	0.04351	3.427e+02	0.111	0.448	GO:0014823
42	22	14	0.01558	0.01944	1.489e+02	0.108	0.533	GO:0030511
43	40	23	0.01544	0.04472	5.443e+02	0.068	0.496	GO:0048639
44	29	17	0.01381	0.0193	2.828e+02	0.015	0.546	GO:0019370
45	26	16	0.0111	0.0168	2.158e+02	-0.031	0.64	GO:0032350
46	21	13	0.00969	0.01724	1.409e+02	0.108	0.441	GO:0071385
47	68	39	0.0086	0.02155	1.564e+03	0.044	0.426	GO:0045666
48	26	15	0.00784	0.01233	2.318e+02	0.104	0.459	GO:0016339
