Creation Time:	2022-12-29 18:39:51

INPUT:
File name:	crfe_v018.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_10_seed_20.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	2.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	997397903

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4883
Proportion perturbed genes:	0.4172077922077922

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3548387096774194
beta (FNR):	0.3193548387096774
q (penalization parameter):	0.001


Best log-likelihood value (mean +- standard deviation across replicates):	-8031.995033245454 +- 2.7694372899268176

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	111	81	1.0	0.0	2.890e+03	0.236	0.453	GO:0008544
2	84	58	1.0	0.0	1.857e+03	0.14	0.501	GO:0031099
3	69	59	1.0	0.0	6.455e+02	0.356	0.436	GO:0048514
4	44	37	1.0	0.0	2.878e+02	0.436	0.372	GO:0051785
5	81	52	0.65342	0.26162	1.940e+03	0.1	0.506	GO:0051216
6	43	28	0.65152	0.2348	5.404e+02	0.209	0.432	GO:0007270
7	83	58	0.60525	0.40517	1.773e+03	0.243	0.422	GO:0051650
8	31	23	0.5707	0.40039	2.209e+02	0.281	0.357	GO:0035065
9	42	27	0.54348	0.24204	5.254e+02	0.121	0.495	GO:0023021
10	38	26	0.44944	0.30891	3.906e+02	0.159	0.465	GO:0030049
11	139	87	0.39576	0.40517	5.882e+03	0.126	0.437	GO:0051656
12	50	31	0.36854	0.33332	7.789e+02	0.219	0.336	GO:0055002
13	23	16	0.29828	0.19788	1.409e+02	0.212	0.424	GO:0032369
14	45	29	0.28895	0.30036	6.003e+02	0.135	0.472	GO:0070252
15	33	23	0.28482	0.31627	2.858e+02	0.218	0.357	GO:2000756
16	27	19	0.25034	0.24381	1.889e+02	0.188	0.426	GO:0090329
17	21	15	0.2047	0.22923	1.119e+02	0.127	0.444	GO:0002720
18	28	22	0.19424	0.17443	1.539e+02	0.218	0.561	GO:0046579
19	49	30	0.17018	0.17738	7.600e+02	0.15	0.417	GO:0045740
20	39	25	0.15593	0.14133	4.555e+02	0.116	0.492	GO:0038032
21	60	35	0.14484	0.17393	1.199e+03	0.186	0.327	GO:0055001
22	31	24	0.13863	0.21641	1.969e+02	0.189	0.563	GO:0051057
23	24	14	0.11516	0.11621	1.959e+02	0.057	0.42	GO:0042537
