E-MTAB-9667		ERR4676681	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676681	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676681	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676681	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676681	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676681	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676681	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676681	factor	time	24 hour
E-MTAB-9667		ERR4676681	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676681	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676682	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676682	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676682	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676682	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676682	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676682	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676682	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676682	factor	time	24 hour
E-MTAB-9667		ERR4676682	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676682	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676683	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676683	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676683	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676683	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676683	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676683	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676683	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676683	factor	time	24 hour
E-MTAB-9667		ERR4676683	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
