GO:0050885	HMX3 TPP1 FOXS1 NBN PDE8B ADCY5 ABL1 APP HEXA NEFL HEXB GAA BCR GM2A SLC1A3 PAFAH1B1 ALDH1A3 AARS1 RAC3 DLG4 CNTNAP1 POU4F2 CLN3 GRIN2C POU4F3 HERC1 GIGYF2 TIFAB IGDCC3 NLGN2 DCANP1 JPH3 TNR NEUROG1 JPH4 NKX6-2 GPR88 BLOC1S4 RBFOX1 CLN8 ZNF212 NRXN1 NRXN1 SHANK1 CAMTA1
GO:1903241	HTATSF1 SF3B1 SNRPB2 SNRPA1 SNRPB SNRPE SNRPF SNRPG SNRPD1 SNRPD2 SNRPD3 SF3A3 SF3A3 SF3B2 SF3B3 SF3B4 SF3A2 SF3A2 SF3A1 SF3A1 SF3A1 DDX46 PHF5A SNIP1 BUD13 SF3B5 RBMX2 SF3B6
GO:0071444	GNG8
GO:1905049	TIMP1 TIMP2 LRP1
GO:0006641	INSIG1 DGAT1 APOE APOE APOA2 APOC3 APOH CAT CYP2E1 LPL LIPF GPX1 CETP TNXB GK G6PC1 APOBEC1 CPT1A PLAAT3 PNLIPRP2 MTTP CAV3 CAV1 PTPN11 APOA5 APOA5 APOA5 APOA5 PCSK9 NKX2-3 LMF1 SLC22A4 SEL1L INSIG2 CETP GK APOC1 GK5 APOBR GK2 GK3P
GO:0009617	MACROD2 WASL NFIB RAB29 PPM1D VEGFD SNX3 CUBN UPK1B LRAT FGF19 CFD C3 LRG1 CLPS CYP2E1 PYGL LPL CA3 VIL1 MS4A1 GZMA BMP2 CCL2 FABP4 PRLR FCGR2B NOS2 PCK1 ADH7 MLH1 SLC11A1 ST13 RAB7A GPC3 GPM6A CCR4 PLAAT3 DEFB1 DEFB1 SCN7A CAV1 RGS1 SLC10A2 BNIP3 TRDN CHIT1 FKBP5 ADIPOQ KYAT1 FER1L6 OCIAD2 NAALADL2 TMEM255A CEACAM20 CCDC80 CCDC186 NLRC5 GKN2 HERC6 TMEM229B BANK1 IFI44 CEP192 KLHL6 THRSP DHX58 TENT5A FAM20A GBP5 HMCN1 RNF5 FUCA2 REG4 NMES1 SLC17A5 ERAP1 CHD7 ADAMTS9 ABCD2 BAIAP2L1 IKZF3 USP18 BAIAP2 B3GALT5 CA5B LSM5 TRAV27 TRAV39 TRAV30 TRAV1-2 TRAV35 TRAV21 TRAV5 TRAV25 TRAV6 TRAV20 TRAV13-1 TRAV34 TRAV7 TRAV17 TRAV13-2 TRA TRAV24 TRAC TRAV36DV7 TRAV10 TRAV26-2 TRAV26-1 TRAV4 TRAV1-1 NLRP6
GO:0090141	DNM1L DNM1L AURKA PRKN DDHD2 DCN RALA KDR SPIRE1 BNIP3 RALBP1 MCU DDHD1 MUL1 MIEF2 MIEF2 MIEF2 VPS35 MFF MFF MIEF1 MIEF1 MIEF1 MARCHF5 FIS1 MFF PINK1 MIEF1 MIEF2 PGAM5
GO:0043105	GCHFR
GO:0000052	DDAH1 DDAH2 ASS1 DDAH1 DDAH2
GO:1900102	RACK1
GO:0061343	FLRT2
GO:1900026	NRP1 ARPC2 CSPG5 ABL1 APOA1 FGA FGB FGG ITGB3 P4HB BRAF FLNA MDK CALR CRK CRKL LIMS1 DNM2 RAC3 S100A10 CDC42 RAC1 DAB2 C1QBP DMTN ILK ARHGEF7 DOCK1 NEDD9 TESK1 CARMIL1 OLFM4 UNC13D PREX1 RREB1 HAS2 FERMT2 MYADM CIB1 MYOC TRIOBP DOCK5 CASS4 TRIOBP LIMS1 LIMS2
GO:0043982	OGT KAT7 HCFC1 WDR5 JADE1 KANSL1 ING5 JADE3 MCRS1 PHF20 KAT8 KANSL2 MEAF6 JADE2 KANSL3 KANSL3 ING4 KANSL2 PHF20 KANSL3
GO:0006620	UBL4A BAG6 SEC61A1 GET4 SEC62 CHMP4A CHMP4B SEC63 GET3 SGTA SEC63 UBL4A SGTB
GO:2000291	ZNF609 KLHL41 KLHL41
GO:0120094	CDYL
GO:0046754	ARL8B
GO:0051282	SLC25A23
GO:0018894	CYP1A2 SRD5A2
GO:0060470	PLCZ1 PLCZ1 PLCZ1
