Creation Time:	2023-01-04 16:49:52

INPUT:
File name:	crfe_v019_b1.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/random/random9.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.3
threshold type:	proportion
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.5
Maximal possible value for alpha and beta:	0.5
Probability parameter change:	0.2
seed for RNG:	3789383477

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	3511
Proportion perturbed genes:	0.2999829118250171

OUTPUT:
Learnt parameters:
alpha (FPR):	0.30000000000000004
beta (FNR):	0.5
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-7151.678477942628 +- 1.9506488196863954e-12

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	33	20	0.17222	0.10475	3.517e+02	0.64	0.545	GO:0032370
2	23	14	0.03187	0.03242	1.719e+02	0.677	0.596	GO:0032892
3	22	13	0.02699	0.04091	1.629e+02	0.622	0.547	GO:0010880
4	23	13	0.0169	0.02628	1.859e+02	0.625	0.459	GO:0032369
5	45	22	0.01538	0.02794	7.830e+02	0.613	0.525	GO:0032024
6	20	11	0.01312	0.01273	1.449e+02	0.674	0.454	GO:0046949
7	40	20	0.01053	0.02274	6.103e+02	0.629	0.557	GO:0032890
8	51	24	0.00853	0.01474	1.029e+03	0.612	0.508	GO:0044070
9	36	18	0.00819	0.01204	4.955e+02	0.607	0.57	GO:0001890
10	24	13	0.00662	0.01424	2.099e+02	0.597	0.439	GO:0060334
11	23	13	0.0065	0.01343	1.859e+02	0.66	0.49	GO:2000191
12	25	13	0.00586	0.01037	2.348e+02	0.58	0.439	GO:0060330
13	32	16	0.00507	0.00545	3.926e+02	0.584	0.473	GO:0000578
14	26	13	0.0043	0.00733	2.608e+02	0.637	0.467	GO:0035384
15	20	11	0.00412	0.00658	1.449e+02	0.626	0.464	GO:0021795
16	21	11	0.00396	0.00809	1.659e+02	0.634	0.394	GO:0071385
