Creation Time:	2023-01-04 16:51:48

INPUT:
File name:	crfe_v019_b1.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/random/random8.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.3
threshold type:	proportion
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.5
Maximal possible value for alpha and beta:	0.5
Probability parameter change:	0.2
seed for RNG:	2816570007

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	3511
Proportion perturbed genes:	0.2999829118250171

OUTPUT:
Learnt parameters:
alpha (FPR):	0.30000000000000004
beta (FNR):	0.5
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-7151.61128047244 +- 2.246286209852491e-12

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
69	22	10	0.00076	0.00117	2.009e+02	0.626	0.45	GO:0050829
70	24	9	0.00075	0.00161	2.678e+02	0.553	0.383	GO:0050850
71	24	11	0.00074	0.00165	2.368e+02	0.588	0.432	GO:0003179
72	34	15	0.00073	0.00162	4.815e+02	0.572	0.482	GO:0000271
73	24	10	0.00071	0.00154	2.518e+02	0.539	0.497	GO:0042537
74	30	13	0.00069	0.00106	3.806e+02	0.558	0.461	GO:0048265
75	47	20	0.00069	0.00101	9.336e+02	0.53	0.567	GO:0061097
76	32	14	0.00068	0.00141	4.296e+02	0.577	0.432	GO:0032720
77	25	11	0.00068	0.00203	2.638e+02	0.554	0.606	GO:0006656
78	30	13	0.00067	0.00129	3.806e+02	0.528	0.593	GO:0003156
79	33	14	0.00066	0.00162	4.655e+02	0.561	0.504	GO:0033692
80	33	14	0.00066	0.00107	4.655e+02	0.557	0.502	GO:0060393
81	34	13	0.00064	0.00097	5.244e+02	0.533	0.44	GO:0014823
82	31	14	0.00063	0.00099	3.956e+02	0.548	0.489	GO:0051004
83	37	17	0.00061	0.00171	5.544e+02	0.605	0.527	GO:0032755
84	23	11	0.0006	0.00124	2.118e+02	0.59	0.418	GO:0034405
85	31	14	0.0006	0.00121	3.956e+02	0.55	0.55	GO:0048663
86	35	14	0.00058	0.0017	5.413e+02	0.564	0.488	GO:0050848
87	26	11	0.00058	0.00116	2.917e+02	0.537	0.525	GO:0043502
88	22	10	0.00055	0.00088	2.009e+02	0.536	0.525	GO:0008207
89	22	9	0.00054	0.00085	2.148e+02	0.589	0.378	GO:0010799
90	22	10	0.00053	0.00111	2.009e+02	0.51	0.584	GO:0006699
91	62	26	0.00052	0.00116	1.630e+03	0.576	0.489	GO:0003014
92	32	14	0.0005	0.00064	4.296e+02	0.604	0.451	GO:0032722
93	82	33	0.0005	0.00098	2.907e+03	0.552	0.528	GO:0090090
94	20	8	0.00049	0.00128	1.809e+02	0.571	0.518	GO:0031122
95	45	18	0.00049	0.00087	8.886e+02	0.556	0.659	GO:0046456
96	32	14	0.00048	0.00121	4.296e+02	0.57	0.403	GO:0046928
97	27	11	0.00048	0.00074	3.217e+02	0.529	0.51	GO:0045912
98	23	10	0.00048	0.00115	2.258e+02	0.621	0.436	GO:0000083
99	20	7	0.00048	0.00098	1.948e+02	0.423	0.745	GO:0030149
100	26	12	0.00047	0.00084	2.758e+02	0.584	0.575	GO:0050710
101	21	10	0.00046	0.00065	1.779e+02	0.581	0.528	GO:0019915
102	56	24	0.00046	0.00084	1.315e+03	0.615	0.449	GO:2000106
103	51	20	0.00045	0.00133	1.151e+03	0.558	0.429	GO:0051952
104	36	14	0.00045	0.00097	5.813e+02	0.551	0.522	GO:0030195
105	43	17	0.00044	0.00103	8.178e+02	0.597	0.503	GO:0032677
106	48	20	0.00044	0.00088	9.854e+02	0.576	0.517	GO:0006939
107	26	10	0.00043	0.00061	3.087e+02	0.448	0.618	GO:0043631
108	34	14	0.00043	0.00108	5.024e+02	0.561	0.505	GO:0046580
109	22	9	0.00042	0.00061	2.148e+02	0.55	0.406	GO:0034105
110	23	10	0.00042	0.00069	2.258e+02	0.556	0.546	GO:0010677
111	23	10	0.00042	0.00116	2.258e+02	0.638	0.491	GO:0043030
112	30	12	0.00042	0.0007	3.996e+02	0.535	0.613	GO:0048864
113	40	16	0.00041	0.00124	7.040e+02	0.549	0.496	GO:0001541
114	22	7	0.0004	0.00089	2.458e+02	0.448	0.394	GO:0086002
115	41	17	0.0004	0.00119	7.240e+02	0.58	0.457	GO:0043967
116	25	10	0.00039	0.00114	2.798e+02	0.559	0.444	GO:0061077
117	20	8	0.00038	0.00115	1.809e+02	0.605	0.342	GO:0003341
118	23	10	0.00038	0.00051	2.258e+02	0.63	0.405	GO:0032459
119	24	9	0.00038	0.00094	2.678e+02	0.496	0.63	GO:0014031
120	61	26	0.00038	0.00071	1.563e+03	0.589	0.488	GO:0060491
121	26	10	0.00037	0.0011	3.087e+02	0.521	0.539	GO:0010862
122	28	11	0.00037	0.00085	3.527e+02	0.523	0.442	GO:0030032
123	21	7	0.00037	0.00105	2.198e+02	0.59	0.335	GO:0050704
124	78	34	0.00036	0.0008	2.511e+03	0.577	0.456	GO:0007565
125	37	13	0.00036	0.00077	6.481e+02	0.517	0.636	GO:0001656
126	21	8	0.00036	0.00062	2.048e+02	0.54	0.503	GO:0045907
127	21	6	0.00036	0.00107	2.358e+02	0.465	0.577	GO:0001662
128	20	7	0.00036	0.00107	1.948e+02	0.536	0.46	GO:0001782
129	27	11	0.00035	0.00055	3.217e+02	0.518	0.53	GO:0045923
130	100	42	0.00035	0.00054	4.207e+03	0.57	0.508	GO:0046165
131	31	13	0.00035	0.00093	4.146e+02	0.595	0.362	GO:0006206
132	26	10	0.00035	0.00052	3.087e+02	0.562	0.475	GO:0050869
133	34	14	0.00035	0.00073	5.024e+02	0.627	0.392	GO:0010633
134	40	15	0.00034	0.00067	7.300e+02	0.543	0.504	GO:0050772
135	54	23	0.00034	0.00075	1.228e+03	0.57	0.505	GO:0006458
136	25	11	0.00034	0.00078	2.638e+02	0.624	0.43	GO:0010543
137	29	12	0.00033	0.00063	3.666e+02	0.629	0.541	GO:0048742
138	24	10	0.00033	0.00077	2.518e+02	0.557	0.401	GO:0008089
139	61	24	0.00032	0.00073	1.638e+03	0.542	0.42	GO:0010522
140	22	9	0.00032	0.00057	2.148e+02	0.528	0.469	GO:0032728
141	35	13	0.00032	0.00051	5.643e+02	0.529	0.367	GO:2001239
142	23	9	0.00032	0.00058	2.408e+02	0.562	0.606	GO:0006662
143	23	9	0.00032	0.00052	2.408e+02	0.574	0.45	GO:0009081
144	29	12	0.0003	0.00057	3.666e+02	0.562	0.618	GO:0019370
145	39	14	0.0003	0.00091	7.110e+02	0.533	0.507	GO:0042147
146	24	10	0.0003	0.0008	2.518e+02	0.565	0.63	GO:0016447
147	41	16	0.0003	0.00061	7.499e+02	0.553	0.589	GO:0050709
148	22	7	0.00029	0.00086	2.458e+02	0.574	0.55	GO:0042417
149	49	20	0.00029	0.00061	1.039e+03	0.554	0.601	GO:0006636
150	26	10	0.00028	0.00085	3.087e+02	0.498	0.482	GO:0045806
151	21	8	0.00028	0.0007	2.048e+02	0.551	0.492	GO:0090022
