Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	96	76	1.0	0.0	1.728e+03	0.349	0.402	GO:0032526
2	92	52	0.9122	0.26341	2.893e+03	0.07	0.467	GO:0006518
3	49	31	0.87442	0.24797	7.291e+02	0.164	0.384	GO:0061035
4	169	137	0.85759	0.29834	4.901e+03	0.343	0.404	GO:1901988
5	47	34	0.78147	0.27415	5.335e+02	0.137	0.524	GO:0061097
6	187	95	0.75467	0.40045	1.294e+04	0.034	0.429	GO:1902105
7	126	88	0.6608	0.42959	4.075e+03	0.213	0.453	GO:0046390
8	42	33	0.65778	0.3883	3.428e+02	0.224	0.515	GO:0001755
9	121	67	0.6572	0.44811	5.085e+03	0.074	0.458	GO:0010721
10	97	72	0.61512	0.4732	2.122e+03	0.205	0.508	GO:0009108
11	119	62	0.61206	0.46463	5.168e+03	0.04	0.449	GO:0050954
12	112	55	0.61164	0.37577	4.773e+03	0.001	0.413	GO:0051495
13	38	21	0.61024	0.45403	5.104e+02	0.149	0.337	GO:0048385
14	89	45	0.58974	0.37573	2.962e+03	0.015	0.473	GO:0050707
15	97	48	0.58383	0.3733	3.567e+03	0.028	0.432	GO:0031123
16	55	45	0.49197	0.43487	5.056e+02	0.326	0.455	GO:0032941
17	139	65	0.48516	0.31048	7.574e+03	-0.055	0.437	GO:1901617
18	65	53	0.47056	0.46015	7.143e+02	0.299	0.477	GO:0007589
19	62	35	0.46929	0.31545	1.322e+03	0.125	0.379	GO:0030500
20	43	20	0.4388	0.34916	7.398e+02	0.047	0.312	GO:0042157
21	49	26	0.4374	0.39314	8.736e+02	0.037	0.414	GO:0006626
22	83	42	0.41556	0.3723	2.577e+03	0.03	0.423	GO:0031124
23	33	17	0.37478	0.46404	4.085e+02	0.112	0.311	GO:0048387
24	24	14	0.37464	0.23594	1.959e+02	0.146	0.348	GO:0055090
25	50	30	0.34584	0.22495	8.098e+02	0.087	0.45	GO:0031032
26	49	27	0.32332	0.34383	8.467e+02	0.003	0.498	GO:0006835
27	28	16	0.32151	0.17135	2.708e+02	0.115	0.36	GO:0016574
28	51	26	0.27392	0.28809	9.743e+02	0.012	0.414	GO:0072655
29	119	57	0.26272	0.36267	5.474e+03	-0.009	0.407	GO:0050851
30	73	38	0.25306	0.31781	1.956e+03	0.078	0.403	GO:0034162
31	104	55	0.24585	0.33409	3.908e+03	-0.01	0.483	GO:0016049
32	65	38	0.24422	0.16695	1.402e+03	0.089	0.476	GO:0009798
33	94	54	0.2428	0.39921	2.973e+03	0.097	0.435	GO:0050768
34	41	22	0.2407	0.30244	6.082e+02	0.009	0.437	GO:0051588
35	116	61	0.24002	0.33386	4.878e+03	0.043	0.454	GO:0007605
36	33	17	0.23871	0.33214	4.085e+02	0.093	0.384	GO:0032233
37	87	50	0.22012	0.39446	2.547e+03	0.082	0.442	GO:0045580
38	50	29	0.2195	0.25751	8.398e+02	0.019	0.457	GO:0006885
39	76	58	0.2082	0.39653	1.214e+03	0.297	0.407	GO:0009156
40	126	83	0.2	0.4	4.502e+03	0.137	0.508	GO:0051188
41	44	23	0.19369	0.18501	7.140e+02	0.066	0.389	GO:0000018
42	185	106	0.18488	0.3713	1.147e+04	0.034	0.52	GO:0006732
43	34	14	0.17891	0.15124	5.023e+02	-0.033	0.333	GO:0051865
44	69	39	0.17705	0.2192	1.633e+03	0.023	0.483	GO:0019217
45	42	20	0.16675	0.22468	6.950e+02	0.044	0.38	GO:0015918
46	21	16	0.16166	0.21055	9.596e+01	0.236	0.471	GO:0051354
47	56	31	0.14488	0.20795	1.099e+03	0.078	0.41	GO:0050871
48	52	33	0.14159	0.19496	8.169e+02	0.125	0.462	GO:0060688
49	26	21	0.1341	0.16107	1.209e+02	0.243	0.544	GO:0061098
50	56	27	0.13374	0.13912	1.219e+03	-0.023	0.436	GO:0007033
51	115	59	0.13167	0.23951	4.883e+03	-0.007	0.499	GO:0034599
52	80	59	0.13009	0.26452	1.469e+03	0.266	0.407	GO:0009124
53	20	13	0.1281	0.18078	1.199e+02	0.161	0.379	GO:0051954
54	165	133	0.12522	0.301	4.774e+03	0.338	0.404	GO:1901991
55	165	87	0.12204	0.18614	9.817e+03	0.039	0.453	GO:0007611
56	68	37	0.11731	0.24825	1.640e+03	0.121	0.376	GO:0070167
57	66	39	0.11222	0.12133	1.429e+03	0.03	0.465	GO:0055067
58	43	23	0.10893	0.0884	6.701e+02	-0.001	0.443	GO:0007270
59	85	42	0.10599	0.2984	2.746e+03	-0.002	0.481	GO:0031345
60	62	37	0.10509	0.2431	1.249e+03	0.103	0.454	GO:0009953
61	61	36	0.1	0.3	1.224e+03	0.121	0.405	GO:0014013
62	38	18	0.09967	0.09767	5.722e+02	0.008	0.4	GO:0009311
63	75	45	0.09795	0.20007	1.812e+03	0.084	0.498	GO:0018958
64	29	15	0.09296	0.16992	3.157e+02	0.081	0.386	GO:0051496
65	109	53	0.09213	0.16697	4.552e+03	0.018	0.438	GO:0006720
66	51	31	0.09092	0.24763	8.298e+02	0.05	0.481	GO:0051952
67	36	25	0.09012	0.15324	3.417e+02	0.209	0.503	GO:0046131
68	32	20	0.0836	0.14409	3.187e+02	0.173	0.423	GO:0045599
69	21	15	0.0793	0.07251	1.119e+02	0.199	0.378	GO:0030239
70	154	80	0.07763	0.2329	8.653e+03	0.029	0.483	GO:0043603
71	42	25	0.0711	0.10564	5.783e+02	0.116	0.443	GO:0007249
72	60	28	0.06983	0.14179	1.428e+03	0.003	0.44	GO:0042440
73	79	38	0.0652	0.19561	2.417e+03	-0.031	0.514	GO:0032675
74	46	25	0.06476	0.08261	7.559e+02	0.034	0.464	GO:0006940
75	31	21	0.06118	0.12253	2.658e+02	0.172	0.483	GO:0030318
76	36	22	0.06068	0.16493	4.136e+02	0.076	0.427	GO:0055081
77	23	13	0.06017	0.1522	1.859e+02	0.141	0.347	GO:0061515
78	37	17	0.05813	0.10787	5.542e+02	-0.046	0.469	GO:0032755
79	45	28	0.05606	0.13231	6.292e+02	0.041	0.532	GO:0072089
80	25	15	0.05238	0.08585	2.058e+02	0.164	0.312	GO:0090311
81	75	39	0.05181	0.09168	2.066e+03	0.033	0.474	GO:0031669
82	31	18	0.04948	0.07386	3.257e+02	0.125	0.385	GO:0060325
83	56	33	0.04938	0.06975	1.034e+03	0.084	0.532	GO:0009880
84	30	16	0.04915	0.07752	3.297e+02	0.015	0.404	GO:0007040
85	35	21	0.04887	0.06706	3.996e+02	0.081	0.518	GO:0043044
86	57	29	0.04867	0.09575	1.217e+03	0.084	0.447	GO:0007254
87	55	30	0.04842	0.08243	1.074e+03	0.068	0.402	GO:0007224
88	75	44	0.04717	0.07425	1.857e+03	0.022	0.539	GO:0034614
89	29	21	0.04634	0.12204	2.049e+02	0.181	0.509	GO:0009218
90	24	13	0.04495	0.09719	2.098e+02	0.097	0.451	GO:0033003
91	148	74	0.04234	0.07199	8.211e+03	0.013	0.452	GO:0009612
92	79	40	0.04093	0.0695	2.335e+03	0.049	0.398	GO:0034138
93	50	31	0.04087	0.06094	7.789e+02	0.035	0.535	GO:0070301
94	33	18	0.03897	0.04573	3.906e+02	-0.013	0.486	GO:1901796
95	50	36	0.03822	0.06234	6.094e+02	0.228	0.394	GO:0051784
96	38	34	0.03746	0.11239	1.469e+02	0.389	0.467	GO:0007595
97	121	55	0.03731	0.03853	5.852e+03	-0.063	0.458	GO:0006665
98	62	42	0.03632	0.06863	1.049e+03	0.182	0.442	GO:0009142
99	32	16	0.03623	0.05534	3.926e+02	-0.032	0.429	GO:0046928
100	22	13	0.03618	0.09886	1.629e+02	0.122	0.391	GO:0001702
101	163	77	0.03483	0.0656	1.033e+04	-0.001	0.476	GO:0009581
102	71	27	0.03416	0.07281	2.253e+03	-0.031	0.396	GO:0018105
103	28	17	0.03269	0.05412	2.538e+02	0.101	0.44	GO:0046189
104	92	43	0.03178	0.03872	3.334e+03	0.006	0.428	GO:0006721
105	38	19	0.03059	0.05099	5.513e+02	0.09	0.425	GO:0050982
106	23	14	0.02986	0.06958	1.719e+02	0.117	0.466	GO:0009148
107	36	22	0.02902	0.04711	4.136e+02	0.126	0.462	GO:0003007
108	26	15	0.02841	0.03496	2.318e+02	0.021	0.459	GO:0061178
109	45	22	0.02736	0.05797	7.828e+02	-0.044	0.447	GO:0046717
110	27	15	0.02718	0.03993	2.588e+02	-0.043	0.502	GO:0043516
111	85	43	0.02671	0.08006	2.702e+03	0.026	0.445	GO:0050864
112	73	36	0.02621	0.06363	2.032e+03	0.058	0.42	GO:0034134
113	34	16	0.0261	0.04122	4.614e+02	-0.064	0.394	GO:0006695
114	112	59	0.02606	0.07818	4.543e+03	0.053	0.44	GO:0045619
115	34	21	0.02573	0.06646	3.647e+02	0.14	0.453	GO:0045840
116	63	32	0.02517	0.04302	1.486e+03	0.006	0.458	GO:0072073
117	24	10	0.02487	0.04844	2.518e+02	-0.039	0.397	GO:0070588
118	46	26	0.0247	0.06656	7.300e+02	0.1	0.429	GO:0014068
119	40	17	0.02465	0.04063	6.789e+02	-0.091	0.38	GO:0016126
120	64	33	0.02339	0.05176	1.517e+03	0.005	0.523	GO:0051899
121	27	16	0.0231	0.06574	2.428e+02	0.111	0.445	GO:0045933
122	33	15	0.02307	0.03568	4.454e+02	-0.059	0.415	GO:0016056
123	86	49	0.02298	0.04879	2.511e+03	0.038	0.5	GO:0045995
124	47	24	0.0222	0.0666	8.277e+02	-0.006	0.462	GO:0072163
125	27	17	0.0221	0.03444	2.258e+02	0.172	0.507	GO:0006775
126	96	49	0.02194	0.03923	3.421e+03	0.032	0.476	GO:0031668
127	30	15	0.02149	0.03136	3.456e+02	0.106	0.418	GO:0030261
128	32	18	0.02117	0.03159	3.576e+02	0.063	0.495	GO:0009948
129	32	21	0.02092	0.04207	2.978e+02	0.161	0.483	GO:0050931
130	36	16	0.01995	0.0418	5.363e+02	-0.047	0.446	GO:0070997
131	21	7	0.01963	0.05888	2.198e+02	-0.133	0.307	GO:0046466
132	29	18	0.01863	0.03725	2.648e+02	0.089	0.518	GO:0043486
133	84	34	0.01852	0.02513	3.038e+03	-0.011	0.405	GO:0018209
134	41	24	0.01851	0.02884	5.613e+02	0.094	0.478	GO:0050709
135	20	10	0.01849	0.02848	1.559e+02	-0.022	0.471	GO:0046854
136	107	47	0.01798	0.05395	4.681e+03	-0.03	0.402	GO:0008203
137	28	17	0.01756	0.0306	2.538e+02	0.113	0.473	GO:0043114
138	199	146	0.01737	0.0521	9.135e+03	0.259	0.424	GO:1901990
139	32	21	0.01708	0.02074	2.978e+02	0.155	0.543	GO:0000578
140	58	26	0.01698	0.02809	1.370e+03	-0.097	0.479	GO:0051297
141	163	71	0.01601	0.04052	1.087e+04	-0.03	0.431	GO:0006869
142	38	19	0.01594	0.0196	5.513e+02	0.027	0.371	GO:0006513
143	25	10	0.01558	0.03249	2.797e+02	-0.109	0.417	GO:0045058
144	34	19	0.0152	0.03628	4.056e+02	0.144	0.33	GO:0035019
145	122	85	0.01484	0.04451	3.839e+03	0.208	0.46	GO:0009260
146	20	13	0.01456	0.02894	1.199e+02	0.16	0.474	GO:0009208
147	63	33	0.01366	0.02969	1.453e+03	0.019	0.457	GO:0045638
148	35	15	0.01357	0.04072	5.193e+02	-0.071	0.394	GO:0017144
