Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	43	35	1.0	0.0	3.168e+02	0.353	0.399	GO:0042157
2	112	97	1.0	0.0	1.574e+03	0.37	0.463	GO:0042692
3	187	133	1.0	0.0	8.635e+03	0.186	0.495	GO:0050804
4	145	121	1.0	0.0	3.199e+03	0.371	0.413	GO:0051607
5	91	57	0.93196	0.11392	2.528e+03	0.146	0.449	GO:0060537
6	47	35	0.8	0.4	4.985e+02	0.316	0.369	GO:0050810
7	40	24	0.63907	0.28312	5.204e+02	0.09	0.414	GO:0001541
8	22	17	0.6044	0.4147	1.010e+02	0.235	0.516	GO:0032201
9	100	72	0.60013	0.44259	2.418e+03	0.204	0.453	GO:0043524
10	53	33	0.59731	0.38455	8.697e+02	0.11	0.469	GO:0006213
11	116	57	0.58793	0.48075	5.116e+03	0.056	0.436	GO:0016052
12	34	24	0.58536	0.23864	2.958e+02	0.219	0.422	GO:0035019
13	46	28	0.51702	0.23398	6.751e+02	0.137	0.406	GO:0021782
14	89	69	0.51433	0.45088	1.589e+03	0.279	0.462	GO:0071241
15	85	65	0.48614	0.45102	1.509e+03	0.28	0.449	GO:0071248
16	54	40	0.45614	0.47055	6.653e+02	0.301	0.4	GO:0070664
17	22	12	0.43892	0.16238	1.759e+02	0.079	0.372	GO:0006906
18	39	25	0.41668	0.451	4.555e+02	0.197	0.449	GO:0038032
19	58	33	0.35824	0.39647	1.149e+03	0.08	0.45	GO:0045744
20	102	47	0.35436	0.26715	4.131e+03	-0.029	0.42	GO:0008037
21	48	31	0.34404	0.27049	6.802e+02	0.189	0.423	GO:0033143
22	67	39	0.33033	0.31681	1.496e+03	0.14	0.396	GO:0090317
23	38	21	0.32468	0.27251	5.104e+02	0.047	0.403	GO:0051225
24	110	55	0.31227	0.45102	4.549e+03	0.065	0.44	GO:0044724
25	133	70	0.30786	0.42688	6.400e+03	0.022	0.427	GO:0030336
26	145	77	0.2812	0.35581	7.548e+03	0.044	0.437	GO:0043123
27	57	33	0.26829	0.3219	1.091e+03	0.148	0.393	GO:0046823
28	51	38	0.25509	0.39581	5.854e+02	0.3	0.397	GO:0032945
29	154	88	0.24932	0.37943	7.984e+03	0.069	0.449	GO:0009611
30	20	16	0.24522	0.14647	7.497e+01	0.208	0.535	GO:0030879
31	42	26	0.22394	0.35732	5.524e+02	0.189	0.438	GO:0023021
32	108	53	0.22238	0.31602	4.441e+03	0.027	0.39	GO:0001503
33	66	36	0.21102	0.29514	1.543e+03	0.062	0.391	GO:0042060
