Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	36	28	1.0	0.0	2.608e+02	0.274	0.46	GO:0042312
2	22	18	0.99758	0.00726	8.297e+01	0.343	0.397	GO:0090103
3	172	88	0.8378	0.18982	1.090e+04	-0.004	0.485	GO:0032318
4	24	19	0.83347	0.23344	1.110e+02	0.312	0.357	GO:0070098
5	135	63	0.80334	0.23569	7.157e+03	-0.018	0.458	GO:0006470
6	133	67	0.7807	0.37579	6.606e+03	-0.001	0.449	GO:0006986
7	113	53	0.73118	0.3649	5.008e+03	-0.094	0.46	GO:0006865
8	77	40	0.69454	0.35043	2.179e+03	-0.001	0.444	GO:0002274
9	144	65	0.66601	0.31526	8.310e+03	-0.022	0.439	GO:0010927
10	89	54	0.61527	0.38686	2.515e+03	0.097	0.476	GO:0048520
11	43	24	0.52882	0.29763	6.462e+02	0.06	0.454	GO:0007369
12	27	20	0.52756	0.43599	1.689e+02	0.318	0.399	GO:0043489
13	26	20	0.49776	0.34615	1.419e+02	0.292	0.389	GO:0043113
14	41	27	0.48664	0.34581	4.835e+02	0.129	0.535	GO:0008593
15	186	86	0.4259	0.31593	1.362e+04	-0.049	0.45	GO:0006367
16	42	21	0.39568	0.3425	6.721e+02	0.009	0.44	GO:0032092
17	200	90	0.38142	0.21649	1.600e+04	-0.038	0.456	GO:0006457
18	53	34	0.37738	0.32761	8.359e+02	0.109	0.51	GO:0042509
19	45	26	0.35185	0.16967	6.841e+02	0.027	0.474	GO:0031110
20	50	25	0.32498	0.22183	9.494e+02	0.025	0.416	GO:0031032
21	108	59	0.32338	0.29556	4.104e+03	0.015	0.503	GO:0032409
22	44	27	0.29818	0.35367	6.123e+02	0.167	0.441	GO:0043487
23	36	20	0.28625	0.30796	4.565e+02	0.075	0.434	GO:0006821
24	46	30	0.2805	0.28985	6.163e+02	0.106	0.499	GO:0042531
25	59	26	0.2803	0.19275	1.433e+03	-0.021	0.414	GO:0045454
26	74	40	0.2791	0.29876	1.952e+03	0.035	0.479	GO:0010518
27	88	39	0.26986	0.37897	3.157e+03	-0.052	0.426	GO:0055072
28	41	23	0.23851	0.27161	5.853e+02	0.082	0.419	GO:0050764
29	98	55	0.22778	0.33117	3.303e+03	0.005	0.505	GO:0002831
30	88	46	0.20569	0.27818	2.828e+03	0.01	0.437	GO:0034612
31	57	27	0.1982	0.08487	1.277e+03	-0.061	0.462	GO:0051258
32	59	28	0.19049	0.22128	1.366e+03	0.008	0.386	GO:0009306
33	140	69	0.19029	0.3812	7.424e+03	-0.016	0.456	GO:0035966
34	28	15	0.18579	0.23078	2.867e+02	0.029	0.42	GO:0045055
35	46	20	0.1836	0.23573	8.825e+02	0.014	0.385	GO:1902600
36	70	37	0.18246	0.21259	1.779e+03	-0.003	0.435	GO:0071356
37	31	20	0.18106	0.13945	2.868e+02	0.185	0.381	GO:0060325
38	66	44	0.17955	0.2944	1.220e+03	0.141	0.496	GO:0002687
39	43	25	0.1576	0.13357	6.212e+02	0.084	0.482	GO:0001910
40	63	34	0.15747	0.2655	1.419e+03	0.029	0.503	GO:0010863
41	41	25	0.15594	0.28313	5.364e+02	0.167	0.444	GO:0043488
42	89	43	0.15403	0.28714	3.055e+03	-0.005	0.452	GO:0006814
43	93	53	0.14893	0.21849	2.933e+03	0.043	0.499	GO:0032412
44	36	20	0.14174	0.14873	4.565e+02	0.055	0.451	GO:0050909
45	89	56	0.12902	0.30083	2.405e+03	0.107	0.509	GO:0002685
46	29	13	0.12103	0.14647	3.486e+02	0.047	0.329	GO:0015988
47	33	18	0.11602	0.09863	3.906e+02	0.1	0.482	GO:0030809
48	26	13	0.11464	0.19617	2.608e+02	0.111	0.371	GO:0007215
49	50	25	0.11322	0.09248	9.494e+02	-0.027	0.441	GO:0010001
50	46	27	0.10992	0.12914	7.031e+02	0.098	0.485	GO:0060041
51	24	15	0.1058	0.09437	1.809e+02	0.084	0.473	GO:0043500
52	45	23	0.10286	0.11214	7.589e+02	-0.017	0.455	GO:0007193
53	97	55	0.10113	0.17837	3.205e+03	0.037	0.509	GO:0022898
54	26	17	0.09479	0.2087	1.989e+02	0.193	0.331	GO:0097028
55	64	34	0.09155	0.22855	1.483e+03	0.026	0.503	GO:1900274
56	26	20	0.09124	0.11391	1.419e+02	0.262	0.457	GO:0070373
57	34	20	0.091	0.12668	3.856e+02	0.109	0.429	GO:0001569
58	27	16	0.08987	0.13612	2.428e+02	0.091	0.49	GO:0001914
59	22	12	0.0887	0.05118	1.759e+02	0.143	0.309	GO:1902229
60	46	26	0.08781	0.11413	7.300e+02	0.059	0.492	GO:0031341
