Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	50	40	1.0	0.0	4.556e+02	0.345	0.409	GO:0051784
2	85	59	0.94147	0.159	1.883e+03	0.203	0.45	GO:0036294
3	26	22	0.93575	0.10537	9.897e+01	0.3	0.495	GO:0045814
4	28	23	0.89778	0.29933	1.309e+02	0.365	0.405	GO:0035637
5	89	56	0.89338	0.17227	2.404e+03	0.111	0.496	GO:2001236
6	57	46	0.86553	0.29578	5.725e+02	0.396	0.356	GO:0002793
7	38	31	0.74316	0.38797	2.459e+02	0.432	0.306	GO:0007595
8	60	36	0.70009	0.24295	1.163e+03	0.153	0.433	GO:0006968
9	105	61	0.49715	0.41522	3.664e+03	0.114	0.386	GO:0010675
10	29	23	0.46523	0.34349	1.599e+02	0.264	0.48	GO:0009394
11	110	64	0.33579	0.37546	4.013e+03	0.112	0.389	GO:0006109
12	34	25	0.28229	0.30915	2.708e+02	0.198	0.473	GO:0009262
13	31	24	0.24157	0.23919	1.969e+02	0.227	0.485	GO:0019692
14	25	16	0.22471	0.19949	1.899e+02	0.149	0.413	GO:0000038
15	22	15	0.21194	0.11301	1.339e+02	0.219	0.457	GO:0048710
16	55	38	0.21098	0.36942	7.990e+02	0.283	0.306	GO:0032941
17	40	23	0.19089	0.2468	5.443e+02	0.088	0.418	GO:0007006
18	55	44	0.13147	0.29697	5.505e+02	0.39	0.355	GO:0090277
19	23	17	0.1243	0.12132	1.239e+02	0.224	0.458	GO:0043534
20	92	50	0.12019	0.18151	2.996e+03	0.046	0.38	GO:1901606
21	37	23	0.1125	0.11552	4.276e+02	0.168	0.427	GO:0030514
22	58	38	0.10496	0.25716	9.696e+02	0.155	0.456	GO:0043467
23	22	17	0.10253	0.29925	1.010e+02	0.343	0.369	GO:0061337
24	26	21	0.07948	0.06668	1.209e+02	0.373	0.362	GO:0070979
25	20	14	0.07043	0.0772	1.059e+02	0.204	0.431	GO:0090559
26	22	14	0.06916	0.07116	1.489e+02	0.209	0.402	GO:0045686
27	27	20	0.06584	0.0586	1.689e+02	0.206	0.518	GO:0060740
28	65	35	0.06537	0.07024	1.513e+03	0.032	0.489	GO:0030816
29	76	42	0.0645	0.05993	2.019e+03	0.072	0.425	GO:0022407
30	32	18	0.05875	0.06762	3.576e+02	0.118	0.265	GO:0046626
31	92	62	0.05853	0.159	2.321e+03	0.192	0.443	GO:0071453
32	34	23	0.05822	0.04157	3.197e+02	0.143	0.461	GO:0070228
33	24	13	0.05248	0.05951	2.098e+02	0.035	0.333	GO:0046627
34	65	42	0.04609	0.10161	1.241e+03	0.243	0.326	GO:0007589
35	33	19	0.04348	0.04744	3.716e+02	0.093	0.43	GO:0022409
36	77	42	0.04261	0.03769	2.096e+03	0.02	0.5	GO:1900544
37	20	15	0.03982	0.03396	9.096e+01	0.265	0.428	GO:0001782
38	31	21	0.03534	0.06234	2.658e+02	0.132	0.515	GO:0030279
39	29	17	0.03521	0.04119	2.828e+02	0.128	0.417	GO:0014014
40	115	61	0.03506	0.05811	4.763e+03	0.026	0.408	GO:0009063
41	63	33	0.0334	0.04557	1.453e+03	0.03	0.463	GO:0030819
42	38	22	0.03006	0.0369	4.884e+02	0.061	0.477	GO:0009066
43	49	26	0.02928	0.03623	8.736e+02	0.073	0.423	GO:0051084
44	41	25	0.02918	0.04024	5.364e+02	0.089	0.538	GO:0019748
45	28	16	0.02775	0.0345	2.708e+02	0.085	0.35	GO:0033077
46	20	13	0.02674	0.02519	1.199e+02	0.206	0.529	GO:0052652
47	20	13	0.02672	0.023	1.199e+02	0.177	0.429	GO:0031102
48	21	18	0.02669	0.0447	6.098e+01	0.321	0.481	GO:0006342
49	30	19	0.02606	0.05905	2.758e+02	0.166	0.432	GO:0070873
50	25	15	0.0243	0.04638	2.058e+02	0.076	0.475	GO:0006893
51	28	16	0.02427	0.03466	2.708e+02	-0.015	0.474	GO:0045055
52	45	26	0.02387	0.02882	6.841e+02	0.132	0.418	GO:0045685
53	30	18	0.02356	0.02635	2.947e+02	0.062	0.528	GO:0007040
54	40	21	0.02086	0.0298	5.892e+02	-0.013	0.466	GO:0006953
55	56	29	0.02048	0.04817	1.160e+03	-0.028	0.502	GO:0007033
56	26	14	0.02017	0.02057	2.468e+02	0.024	0.35	GO:1900077
57	27	16	0.01914	0.02102	2.428e+02	0.104	0.478	GO:0044253
58	28	15	0.01909	0.03049	2.867e+02	0.064	0.437	GO:0016574
59	60	32	0.01795	0.03094	1.301e+03	0.047	0.449	GO:0042108
60	35	23	0.01667	0.05	3.547e+02	0.084	0.548	GO:2001239
61	21	13	0.01658	0.02794	1.409e+02	0.091	0.51	GO:0008045
62	21	12	0.01485	0.01891	1.539e+02	0.067	0.401	GO:0052312
63	32	19	0.0146	0.02758	3.387e+02	0.094	0.402	GO:0040018
64	20	13	0.0138	0.02719	1.199e+02	0.092	0.542	GO:0070271
65	26	16	0.01341	0.02117	2.158e+02	0.109	0.506	GO:0021955
66	21	13	0.01326	0.02553	1.409e+02	0.084	0.475	GO:0043029
67	21	14	0.01313	0.02637	1.269e+02	0.075	0.588	GO:1901099
68	22	15	0.01272	0.02948	1.339e+02	0.17	0.5	GO:0043567
69	20	13	0.0122	0.02803	1.199e+02	0.251	0.371	GO:0045736
70	57	31	0.0121	0.01331	1.156e+03	0.061	0.451	GO:0051258
71	21	15	0.01201	0.01168	1.119e+02	0.201	0.532	GO:0009651
72	24	13	0.01106	0.01488	2.098e+02	0.093	0.364	GO:0001539
73	70	36	0.01092	0.02322	1.816e+03	-0.002	0.491	GO:0030804
74	24	14	0.01087	0.0246	1.959e+02	0.134	0.441	GO:0042537
75	25	17	0.01077	0.02007	1.729e+02	0.169	0.499	GO:0051155
76	28	17	0.01028	0.03085	2.538e+02	0.144	0.43	GO:0005979
77	22	14	0.00987	0.01493	1.489e+02	0.093	0.541	GO:0033108
78	69	39	0.00922	0.01654	1.633e+03	0.094	0.373	GO:0010906
79	72	38	0.0091	0.01177	1.884e+03	0.015	0.485	GO:0030810
80	23	13	0.00903	0.01091	1.859e+02	0.121	0.41	GO:0007032
81	69	40	0.00895	0.01423	1.593e+03	0.066	0.518	GO:0060606
82	36	22	0.00887	0.01884	4.136e+02	0.137	0.452	GO:0048538
