Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	175	155	1.0	0.0	3.306e+03	0.435	0.404	GO:0007420
2	165	121	1.0	0.0	6.295e+03	0.214	0.474	GO:0032103
3	29	25	1.0	0.0	1.110e+02	0.419	0.411	GO:0043588
4	31	25	0.97089	0.08732	1.719e+02	0.331	0.422	GO:0051004
5	61	41	0.95978	0.09338	1.030e+03	0.236	0.424	GO:2000377
6	32	30	0.91238	0.26286	6.399e+01	0.503	0.361	GO:0045599
7	38	29	0.71847	0.34934	3.068e+02	0.169	0.572	GO:0006754
8	23	18	0.63814	0.43231	1.060e+02	0.203	0.464	GO:0045581
9	47	37	0.62098	0.35005	4.257e+02	0.221	0.485	GO:1901880
10	113	73	0.62031	0.46834	3.731e+03	0.144	0.482	GO:0044706
11	133	83	0.37969	0.46834	5.407e+03	0.12	0.476	GO:0044703
12	120	73	0.26536	0.37033	4.545e+03	0.073	0.433	GO:0050866
13	50	38	0.26419	0.38202	5.345e+02	0.198	0.481	GO:0043242
14	51	34	0.14144	0.3117	7.311e+02	0.086	0.543	GO:0009206
15	22	13	0.13014	0.13223	1.629e+02	0.151	0.391	GO:0006509
16	21	14	0.10736	0.19071	1.269e+02	0.155	0.429	GO:0071804
17	26	15	0.09539	0.10561	2.318e+02	0.148	0.348	GO:0000188
18	68	44	0.08762	0.26286	1.355e+03	0.154	0.388	GO:0045598
19	21	15	0.07432	0.06501	1.119e+02	0.161	0.492	GO:0043029
20	52	34	0.07383	0.12361	7.830e+02	0.076	0.543	GO:0009145
21	21	14	0.06869	0.11797	1.269e+02	0.184	0.417	GO:0043300
22	32	21	0.06178	0.09583	2.978e+02	0.154	0.526	GO:0007094
23	33	22	0.06107	0.09728	3.087e+02	0.151	0.543	GO:0071173
24	30	21	0.05954	0.11585	2.348e+02	0.219	0.405	GO:0048640
25	22	15	0.05693	0.098	1.339e+02	0.177	0.453	GO:0002886
26	29	23	0.05216	0.15017	1.599e+02	0.28	0.431	GO:0030835
27	29	18	0.04755	0.09192	2.648e+02	0.148	0.453	GO:0001975
28	34	22	0.04648	0.08032	3.427e+02	0.159	0.442	GO:0070228
29	22	15	0.04269	0.08155	1.339e+02	0.139	0.489	GO:0015985
30	61	38	0.0342	0.0433	1.149e+03	0.103	0.424	GO:0043112
31	34	25	0.03368	0.10105	2.708e+02	0.235	0.407	GO:0030834
